名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
中国石油大学,http://travel.qunar.com/p-oi9534915-zhongguoshiyoudaxue,"

地址:
东营市东营区北一路739号


电话:
13805468864


官网:
http://www.upc.edu.cn/

",中国石油大学东营校区地处黄河三角洲的中心城市、生态之城、石油之城，山东东营。建校60多年来，学校形成了鲜明的办学特色，办学实力和办学水平不断提高。在新的历史时期，学校坚持特色发展，开放发展，和谐发展，正在向着“建设国内著名、石油学科国际一流的高水平研究型大学”的办学目标奋力迈进。而且校区内风光秀丽，浓重的文学氛围在这里环绕，让人流连忘返。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/86f1c5719e2dbd9c1970c6a6bdf36b9d.jpg_480x360x95_f63e81ed.jpg,5.0,建议游览时间：2小时 - 3小时,,免费,,1
华八井,http://travel.qunar.com/p-oi703617-huabajing,"

地址:
山东-东营区东营村

",华八井是在燕山以南，太行山以东 ，大别山以北，渤海湾以西40万平方公里的华北平原内进行石油资源普查的第八口探井。位于东营市东营区东营村。1961年4月16日，该井首次用9毫米油嘴求产，获日产8.1吨工业油流，成为当时东部渤海湾地区第一口见原油的探井，也是胜利油田的发现井。该井是在前七口井钻探资料的基础上，结合当时地矿部航测大队提供的东营地区重磁力测量图，构造图进行设计的。1961年2月26日开钻，仅用35天就顺利完井，完钻井深1755.88米，全井共取岩芯50.2米平均收获率31.1...华八井是在燕山以南，太行山以东 ，大别山以北，渤海湾以西40万平方公里的华北平原内进行石油资源普查的第八口探井。位于东营市东营区东营村。1961年4月16日，该井首次用9毫米油嘴求产，获日产8.1吨工业油流，成为当时东部渤海湾地区第一口见原油的探井，也是胜利油田的发现井。该井是在前七口井钻探资料的基础上，结合当时地矿部航测大队提供的东营地区重磁力测量图，构造图进行设计的。1961年2月26日开钻，仅用35天就顺利完井，完钻井深1755.88米，全井共取岩芯50.2米平均收获率31.1%井壁取芯25处，成功率68%；固井质量、井深 质量均一次合格。原石油部部长余秋里同志对这口井的钻探非常重视，在转入试油时专门做了重要指示，加上技术人员精心策划和实施，以至获得圆满的成功。华八井的钻探和试油的成功，实现了华北盆地早期找油的新突破，进而引出了华北石油大会战，并相继发现了大港、华北、冀东、中原等大油田，为我国的石油工业发展树立了新的里程碑。,8:00-18:00,https://img1.qunarzz.com/travel/d7/1703/15/aba1a131965337b5.jpg_480x360x95_8e37f09b.jpg,5.0,,,,,1
西关小镇,http://travel.qunar.com/p-oi39498285-xiguanxiaozhen,,,,,5.0,,,,,2
广饶欢乐时光城水上乐园,http://travel.qunar.com/p-oi39012259-guangraohuanleshiguang,,,,,5.0,,,,,2
荟萃园,http://travel.qunar.com/p-oi38334877-huicuiyuan,,,,,5.0,,,具体收费情况以现场公示为主,,3
黄河,http://travel.qunar.com/p-oi38034585-huanghe,,,,,5.0,,,具体收费情况以现场公示为主,,3
白鹭园湿地公园,http://travel.qunar.com/p-oi36476769-bailuyuanshidigongyuan,"

地址:
东营市东营区东二路与德州路路口向南200米路西


电话:
4000546122

","白鹭园湿地田园综合体项目位于东营市城北生态线主轴上，东至东二路，西至华山路，北至德州路，南邻潍坊路，距东城、西城、垦利区政府均在15分钟车程，于2019年12月被评为国家AAA级旅游景区。东营白鹭园湿地发挥交通便利、天然的湿地资源优势，有4000余只白鹭聚集栖息于此、具备藕稻产业的优势和基础，通过土地流转将土地、林水等农业资源整合，成立合作社，组建旅游资源开发团队，利用土地整理节约出来的建设用地招引社会资本，形成“农户+合作社+公司”的经营模式，抓住景观吸引区、种养集聚区、农业生产区、居民生活区、服务配套区等核心要素，实施整体招商、品牌打造、统一管理，有效保护周边宝贵湿地资源和生态环境，打造集现代农业、休闲旅游、田园社区等产业为一体的东营特色田园综合体。东营白鹭园湿地项目规划整合林水、飞鸟、村落、农业、人文等各类资源，既有特色林果、私家菜园、藕稻等栽培种植业分块布局，又涵盖文化创业、农业产学研、休闲旅游、养生度假、农事体验等“新六产”融合发展。该项目占地面积5500亩，包括综合服务区、现代农业产业示范区、耕读研学体验区、乡村度假区、康养农旅创新区、田园社区6大功能分区。按一期2018—2019年、二期2020—2021年、三期2022—2023年规划落实时间轴，将乡村振兴的画卷缓缓铺开。一期建设园区大门、2000㎡综合服务中心、停车场、儿童游乐园，以湿地、白鹭、莲藕、油菜花等当地元素打造“情景旅游”，利用好六干渠水资源，打造乡村“水立方”。二期以生态有机果园、菜园、有机肥加工为建设主线，推广酵素农业，打造现代生态农业循环产业链。三期打造集现代农业、休闲旅游、田园社区等产业为一体的田园综合体。聚集来创业、就业、生活、养老的新居民，形成政府、集体经济组织、农户以及城市消费者“四赢”局面。目前，白鹭观赏、湿地水系、私家菜地、活动场地等4个发展主体项目已初步建设完成，综合服务中心、观鸟台、湿地人家等9个发展配套项目正在加紧推进。项目建成后，集聚产业和居住功能, 形成民宿经济、农村旅游经济等新经济业态，实现农旅融合，全力打造“湿地在城中，城在湿地中”的特色湿地旅游景区。",全年 08:00-18:00,,5.0,建议游览时间：2小时 - 3小时,,9元,,4
"孤岛万亩槐林Ten-Thousand-Mu Locust Forest, Gudao Town",http://travel.qunar.com/p-oi35832593-gudaowanmuhuailin,,,,,5.0,,,具体收费情况以现场公示为主,,4
东营市黄河油画博物馆Dongyingshi Huanghe Youhua Museum,http://travel.qunar.com/p-oi34270793-dongyingshihuangheyou,"

地址:
东营市西四路623号

",,全年 周二-周日 9:00-17:00,,5.0,,,免费,,6
东营电文化体验馆Dongyingdian Culture Experience Hall,http://travel.qunar.com/p-oi25302181-dongyingdianwenhuatiyan,"

地址:
东营市南二路与迎宾路交汇处向南50米（胜利发电厂内）


电话:
0546-6070356

",东营电文化体验馆位于南二路与迎宾路交汇处胜利发电厂厂区内，布展面积700平方米，是集声、光、电、多媒体展示为一体的青少年科普教育阵地和重要的工业旅游景点。立足文化传承，坚持以文化人、以文育人。现已成为首批“东营区青少年科普教育基地”，并获得第一批“东营市文化产业示范基地”称号。体验馆分为序厅、电的发现、电的奥秘、时代能源、电力改变世界、胜利电厂、互动体验七个展区，充分利用AR技术结合音频、视频营造年代感和历史氛围。场馆内九成以上的项目均可通过动手实验和操控完成，怒发冲冠、电力冲顶、电磁秋千、霍格沃兹魔法墙等互动体验项目，让参观者亲身体验电的奥秘。,5月1日前：9:00-11:30、13:30-16:30。5月1日之后：9:00-11:30、14:00-17:00；每周一闭馆。,,5.0,建议游览时间：1小时 - 3小时,,50元,,7
