名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
新疆东道海子沙漠风光旅游区,http://travel.qunar.com/p-oi38341725-xinjiangdongdaohaizisha,,新疆东道海子沙漠风光旅游区，来到这里能看到海子上成群的白色水鸟，它们安祥的在这片属于它们的天空下游弋。蓝天、碧波、白色的鸟还有这大片的沙漠组成了一片美丽的图画。,,,5.0,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,1
猛进水库Mengjin Reservoir,http://travel.qunar.com/p-oi35832697-mengjinshuiku,,,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,1
新疆兵团第六师五家渠市博物馆Xinjiang Bingtuan Diliu Shi Wu Jia Qushi Museum,http://travel.qunar.com/p-oi19977955-xinjiangbingtuandiliu,,新疆兵团第六师五家渠市博物馆通过丰富而详实的图片资料，珍贵的历史文物向游客展示了战士们艰苦创业、屯垦戍边、改革奋进的丰功伟绩。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
新疆东道海子沙漠风光旅游区,http://travel.qunar.com/p-oi38341725-xinjiangdongdaohaizisha,,新疆东道海子沙漠风光旅游区，来到这里能看到海子上成群的白色水鸟，它们安祥的在这片属于它们的天空下游弋。蓝天、碧波、白色的鸟还有这大片的沙漠组成了一片美丽的图画。,,,5.0,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,2
猛进水库Mengjin Reservoir,http://travel.qunar.com/p-oi35832697-mengjinshuiku,,,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,2
新疆兵团第六师五家渠市博物馆Xinjiang Bingtuan Diliu Shi Wu Jia Qushi Museum,http://travel.qunar.com/p-oi19977955-xinjiangbingtuandiliu,,新疆兵团第六师五家渠市博物馆通过丰富而详实的图片资料，珍贵的历史文物向游客展示了战士们艰苦创业、屯垦戍边、改革奋进的丰功伟绩。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,2
新疆东道海子沙漠风光旅游区,http://travel.qunar.com/p-oi38341725-xinjiangdongdaohaizisha,,新疆东道海子沙漠风光旅游区，来到这里能看到海子上成群的白色水鸟，它们安祥的在这片属于它们的天空下游弋。蓝天、碧波、白色的鸟还有这大片的沙漠组成了一片美丽的图画。,,,5.0,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,3
猛进水库Mengjin Reservoir,http://travel.qunar.com/p-oi35832697-mengjinshuiku,,,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,3
新疆东道海子沙漠风光旅游区,http://travel.qunar.com/p-oi38341725-xinjiangdongdaohaizisha,,新疆东道海子沙漠风光旅游区，来到这里能看到海子上成群的白色水鸟，它们安祥的在这片属于它们的天空下游弋。蓝天、碧波、白色的鸟还有这大片的沙漠组成了一片美丽的图画。,,,5.0,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,4
猛进水库Mengjin Reservoir,http://travel.qunar.com/p-oi35832697-mengjinshuiku,,,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,4
新疆兵团第六师五家渠市博物馆Xinjiang Bingtuan Diliu Shi Wu Jia Qushi Museum,http://travel.qunar.com/p-oi19977955-xinjiangbingtuandiliu,,新疆兵团第六师五家渠市博物馆通过丰富而详实的图片资料，珍贵的历史文物向游客展示了战士们艰苦创业、屯垦戍边、改革奋进的丰功伟绩。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,4
新疆东道海子沙漠风光旅游区,http://travel.qunar.com/p-oi38341725-xinjiangdongdaohaizisha,,新疆东道海子沙漠风光旅游区，来到这里能看到海子上成群的白色水鸟，它们安祥的在这片属于它们的天空下游弋。蓝天、碧波、白色的鸟还有这大片的沙漠组成了一片美丽的图画。,,,5.0,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,5
猛进水库Mengjin Reservoir,http://travel.qunar.com/p-oi35832697-mengjinshuiku,,,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,5
