名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
八五九农场二十六队859 Farm Team 26 Village,http://travel.qunar.com/p-oi35474466-bawujiunongchangershi,,,,,5.0,,,具体收费情况以现场公示为主,,3
刘皮铺南分屯Liupipu Nanfentun Village,http://travel.qunar.com/p-oi35312010-liupipunanfentun,,,,,5.0,,,具体收费情况以现场公示为主,,3
前进农场十一队,http://travel.qunar.com/p-oi35300972-qianjinnongchangshiyi,,,,,5.0,,,具体收费情况以现场公示为主,,3
"桦南县双龙林场Shuanglong Forest Farm, Huanan County",http://travel.qunar.com/p-oi35290959-huananxianshuanglonglin,,,,,5.0,,,具体收费情况以现场公示为主,,4
赫哲雪村Hezhe Snow Village,http://travel.qunar.com/p-oi35213538-hezhexuecun,,,,,5.0,,,,,5
南山Nan Mountain,http://travel.qunar.com/p-oi32808961-nanshan,"

地址:
佳木斯市抚远市

",南山茂林修竹，古木参天，树木茂盛，郁郁葱葱。这里也是欣赏日出日落的好地方。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/241be4f6d1720a91a157adb61e1f6b5f.jpg_480x360x95_76a2034d.jpg,5.0,建议游览时间：3天,,,,5
乌苏大桥Wusu Bridge,http://travel.qunar.com/p-oi31784307-wusudaqiao,"

地址:
佳木斯市抚远市

",乌苏大桥历经数年得以完工，全长一千多米，由主桥、桥塔、斜拉索、桥墩、两岸引桥及各立交匝道组成。其中主桥主塔以及主桥钢梁颜色为中国红，代表着吉祥、富贵、庄重和威严。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/d7939bc0fc99847d3ac310726055ab38.jpg_480x360x95_b339d45a.jpg,5.0,建议游览时间：0.5小时 - 1小时,,,,6
抚远规划展示馆Fuyuan Planning Exhibition Hall,http://travel.qunar.com/p-oi29812419-fuyuanguihuazhanshiguan,"

地址:
佳木斯市抚远市抚远镇迎宾路政府西北200米

",,全年 周二-周日 9:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/af3abc1e23ac27561420ba502bbc4583.jpg_480x360x95_a98cc466.jpg,5.0,,,具体收费情况以现场公示为主,,6
西山公园Xi Mountain Park,http://travel.qunar.com/p-oi29810852-xishangongyuan,"

地址:
友谊路


电话:
13559059143

",西山公园是为了纪念苏联红军牺牲的战士而建立的。也是一座烈士陵园。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/cab0d8b756575728e9dc8c7f81697da3.jpg_480x360x95_64ba6e1a.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,6
苏联海军英雄烈士纪念碑Soviet Naval Hero Martyr's Monument,http://travel.qunar.com/p-oi19990365-sulianhaijunyingxiong,,苏联海军英雄烈士纪念碑位于抚远，这是一座花岗石碑，高约为三十米，主碑两侧各有一座约十米高的陪塔，四周为宽敞的石铺平台，石碑上刻有“苏联海军英雄烈士纪念碑”十一个金色大字。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/7ce857cb9af394ae2e87be93c3f02dce.jpg_480x360x95_3bd39a34.jpg,5.0,建议游览时间：1小时,,,,9
鹤林公园Helin Park,http://travel.qunar.com/p-oi19989054-helingongyuan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/d2cf5cb73177a98105ddee08d9d7bb7a.jpg_480x360x95_09dc4f5b.jpg,5.0,,,具体收费情况以现场公示为主,,9
