名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
响洪甸,http://travel.qunar.com/p-oi701638-xianghongdian,,位于西淠河流域，主要风景有响洪甸水库、齐山、莲花山等处。响洪甸水库：响洪甸水库坐落在响洪甸镇驻驾湾村的西淠河上，坝型为半径同心圆混凝土重力坝，坝高875米，弧长304米，横臣于苍山云海之间，库区通航里程多20公里，烟波浩渺、碧水千里、两岸山峰峙，重峦迭翠被誉为皖西的“小桂林”。齐 山：在库区的响齐办事处、响洪甸镇之间，一面依山，三面环水。《六安州志称》：齐山因“顶峰而平，故名”。齐山拥雾，旧为六安州八景之一。,,,5.0,,,,,2
望江寺塔,http://travel.qunar.com/p-oi712387-wangjiangsita,"

地址:
安徽省六安县西河口镇东南1公里愣河边岩石上

",望江寺塔 ，宋代建。望江寺今为河口粮站。塔呈六棱形，高21米，第六层和塔顶南侧抗战期间遭日军炮击毁损。龙头塔位于舒城城关东侧，俗称“城锥”，因第四层有碑刻“龙头”二字而称龙头塔。青砖砌，实心，六角形，阁式造型，高20．7米，七层，落刹为生铁所铸，分三层，葫芦状。始建于明天启元年（162年），清乾隆二十九年（172年）重修。建国后，人民政府于1956年、 1979年两次拨款维修。 1984年11月公布为县级重点文物保护文物。,全天,,5.0,,,免费,,3
《大别山传奇》实景演出,http://travel.qunar.com/p-oi40011371-dabieshanchuanqishijing,,《大别山传奇》是六万情峡景区一个具有代表性的大型实景剧。是由数百人专业团队倾力打造的一场大型抗战题材实景剧。该剧结合当地发生的真实抗战故事，在经过艺术加工创作之后呈现出的一场振奋人心的实景演出。数百名演员阵容，恢弘真实的战争场面、紧张激烈的战斗情节，扣人心弦的舞台艺术，给观众呈现出一场身临其境的历史记忆。该剧运用现代科技，较为真实地表现飞机轰炸、阵地进攻、刀枪飞舞等情景，是一席实景科技和表演艺术相结合的文化盛宴。演出时间大约50分钟，采用真实爆破，真实飞机等实景的打造，辅以声、光、电、乐等艺术表现手法，分为鬼子大扫荡、伏击战、军民大融合、国共合作军民团结、全歼日寇等几个章节进行讲述，全面展现了抗日战争时期，在中国共产党的领导之下，国共合作，军民团结，不畏强敌，共同抗击日寇的壮烈诗篇。为观众带来一场身临其境、印象深刻的演出，让观众跟随剧情沉浸式感受战争场景！,,,5.0,,,,,3
金寨县千年古树群,http://travel.qunar.com/p-oi39571790-jinzhaixianqianniangu,,,,,5.0,,,,,4
大别山狼谷,http://travel.qunar.com/p-oi38948513-dabieshanlanggu,,景区地处大别山深处，环境清幽、植被繁茂，森林覆盖率达95%以上，奇石、幽潭、飞瀑、清泉星罗棋布。全长4.5公里，是一处旅游胜地。,,,5.0,,,,,4
一九五八年大食堂,http://travel.qunar.com/p-oi38667053-yijiuwubaniandashitang,,,,,5.0,,,具体收费情况以现场公示为主,,5
六安市科技馆,http://travel.qunar.com/p-oi38135736-liuanshikejiguan,,,,,5.0,,,具体收费情况以现场公示为主,,5
金寨县科技馆,http://travel.qunar.com/p-oi37189577-jinzhaixiankejiguan,,,,,5.0,,,具体收费情况以现场公示为主,,6
大湾村,http://travel.qunar.com/p-oi36452777-dawancun,,,,,5.0,,,具体收费情况以现场公示为主,,7
红军广场Red Army Square,http://travel.qunar.com/p-oi35831925-hongjunguangchang,"

地址:
梅山镇史河路与双拥路交叉口


电话:
0564-7068306,0564-7062308

",,1,,5.0,,,具体收费情况以现场公示为主,,7
