名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
古宇湖Guyu Lake,http://travel.qunar.com/p-oi713715-guyuhu,"

地址:
内江市隆昌市古湖街道环湖路


电话:
0832-3939535

",古宇湖位于内江市东隆昌县境内，距县城2公里。风景区包括鹅洞飞瀑、古牌坊群、云峰关、云顶寨、云顶场、圣灯山及古宇湖等。古宇湖中岛屿和半岛较多，冬季是候鸟栖息的乐园，很多人来此观鸟。古宇湖是70年代修建的人工中型湖泊，湖中岛屿和半岛较多，冬季是候鸟栖息的乐园。景区内有环湖公路，适合环湖骑行。湖的周围遍布农家乐，尝尝当地美食也是不错的选择。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/2acd2fe6716b31316d803d5de9b92135.jpg_480x360x95_36268fa8.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
古佛顶旅游景区,http://travel.qunar.com/p-oi38156319-gufodinglu:youjingqu,"

地址:
四川省内江市威远县曹胜村


电话:
0832-8727788

",景区以千年盐煤古道为核心，整合万亩林海、三叠峡湖、烟霞石室、古佛洪崖、峭壁流丹、祥龙盘山、藏金仙洞、石筑民居、宝光古刹、巨石矩阵等旅游资源，总体布局为“一园、三区”，即古道遗址公园、山地运动区、石居民宿区和休闲农业体验区。这里“春赏花海、夏寻古道、秋品石乡、冬瞻佛光”，是盐煤古道文化体验的旅游目的地。盐煤古道始于春秋，兴于明朝，至今已有2700多年历史，是古川黔经贸大通道和陆上丝绸之路的重要组成部分，承载了威远煤、铁及自贡井盐南来北往的重要经贸史，是人力运输时代川黔物质往来的大动脉。古佛顶上完整保存古道近2千米。古道拥有双向错车道、减速石拦、防护石栏、高架土桥、服务客栈、管理机构等，被誉为“山顶上的古高速路”。威远县古佛顶景区位于威远穹隆地貌腹地。威远县穹窿地貌总面积约641.5平方公里，地貌发育典型、景观奇特，有第七大旅游地质奇观之称，是全球规模较大的穹窿地貌区。古道沿途松木成片，生态环境优美，生物种类繁多，夏季温度低于周边3-6℃。是理想的观赏游憩场所。,全年 08:30-17:30,,5.0,建议游览时间：2小时 - 3小时,,,,1
张大千纪念馆,http://travel.qunar.com/p-oi712504-zhangdaqianjinianguan,"

地址:
内江城北沱江东岩园顶山上


电话:
0832-2022519

",张大千纪念馆座落于内江城北沱江东岩园顶山上，为纪念一代国画大师张大千而建。张大千(1899-1983)，中国当代著名画家，生于内江。自幼学画，曾留学日本。其绘画造诣高深，作品神韵秀丽，风格别具，被评为“当代第一画家”。纪念馆占地31.46亩，建筑面积1060平方米，立体建筑有大风堂、画苑，还有廊、亭、榭、水池、假山等附属设施，采用三合院、四合院、几重几进院落式布局，独具民族民居风格，中厅塑有大千先生铜像，左右两侧画苑分别陈列张大千、张善子书画等，正门匾额“内江张大...张大千纪念馆座落于内江城北沱江东岩园顶山上，为纪念一代国画大师张大千而建。张大千(1899-1983)，中国当代著名画家，生于内江。自幼学画，曾留学日本。其绘画造诣高深，作品神韵秀丽，风格别具，被评为“当代第一画家”。纪念馆占地31.46亩，建筑面积1060平方米，立体建筑有大风堂、画苑，还有廊、亭、榭、水池、假山等附属设施，采用三合院、四合院、几重几进院落式布局，独具民族民居风格，中厅塑有大千先生铜像，左右两侧画苑分别陈列张大千、张善子书画等，正门匾额“内江张大千纪念馆”为张学良将军亲笔题写。,8：00—17：30,https://img1.qunarzz.com/travel/d3/1508/95/335b236a2ce590.jpg_480x360x95_6035fc8c.jpg,5.0,,,10元,,1
文庙,http://travel.qunar.com/p-oi703972-wenmiao,"

地址:
四川内江资中县城北门外


电话:
0832-2022519

",资中文庙在资中县城北门外。北宋雍熙年间（984-987）始建于县城东街，清道光九年（1829）迁此重建。资中文庙占地7035平方米，建筑面积2191平方米。主体建筑及布局仿山东曲阜孔庙，灵星门、大成门、大成殿排列于南北中轴线上，东西厢房、钟楼、鼓楼、乡贤祠、名宦祠对称分布两侧。 庙中竖有清康熙手书《四书大景》、明成化年间《重修文庙碑》两碑，字迹清晰，有较高的艺术价值。资中文庙现为四川省文物保护单位。,7：00---17：30,,5.0,,,20元,,2
隆昌石牌坊群Longchang Memorial Stone Archways,http://travel.qunar.com/p-oi713158-longchangshipaifangqun,"

地址:
内江市隆昌县金鹅镇南北二关（成渝古驿道古关隘）


电话:
0832-3982995

",隆昌石牌坊群位于内江市隆昌县，现存石牌坊17座，大部分为清道光、咸丰、同治、光绪年间所建，每个牌坊都有有一段故事，充满历史、文化氛围，是了解我国牌坊文化的好去处。隆昌石牌坊大多为四柱三门三重檐五滴水石质牌楼式建筑，在历史、建筑、雕刻、书法等方面都具有极高的价值。在众多牌坊中，“郭王氏功德坊”是非常出名的。牌坊建于1887年，雕工精美，奢华而霸气，不可不看。,全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/d8a50d797d32aa4aeb7fdaeac2aa326b.jpg_480x360x95_a4f5ce4e.jpg,5.0,建议游览时间：1小时 - 2小时,,"{'隆昌石牌坊旅游区恤嫠会展馆门票成人票\n\n': ['¥10起'], '隆昌石牌坊旅游区牛树梅官邸门票成人票\n\n': ['¥10起'], '隆昌石牌坊旅游区石牌坊展馆门票大小同价\n\n': ['¥15起']}",,2
汉安湖生态湿地公园,http://travel.qunar.com/p-oi38952605-hananhushengtaishidigong,,,,,5.0,,,,,2
古宇湖孔子文化公园,http://travel.qunar.com/p-oi38351460-guyuhukongziwenhuagong,,隆昌古宇湖旁，有一个以宣扬孔子为代表，以儒家文化为主题的城市公园—孔子公园。孔子公园在沿景观主轴线布局了孔子讲学、二十四孝雕塑群、孔子纪念广场等，合理分布牌坊、亭、廊、桥 、石雕等景观。孔子广场中有万世师表牌坊、高大的孔子雕像。厚重的牌坊文化集文学、建筑学、美学、石雕艺术为一体，具有科学艺术价值和观赏价值。青石雕塑的故事人物，比真人高大许多，个个栩栩如生、惟妙惟肖，体现了儒家经典故事。景区把自然风光和人文景观相结合，环境优美，置身其中，令人心旷神怡。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/c535f5a0e826b7698b37ac9623abda12.jpg_480x360x95_9de5995b.jpg,5.0,建议游览时间：1小时 - 3小时,,,,3
北关石牌坊,http://travel.qunar.com/p-oi38337118-beiguanshipaifang,,,,,5.0,,,具体收费情况以现场公示为主,,4
莲峰公园,http://travel.qunar.com/p-oi38336933-lianfenggongyuan,,,,,5.0,,,,,4
隆昌古湖Longchang Guhu Scenic Spot,http://travel.qunar.com/p-oi24411986-longchangguhu,"

地址:
隆昌市西部

",隆昌古湖景区以古宇庙为主体，由市区石牌坊群、古宇湖圣灯山片区、云顶山片区三个风景区组成。景区内有峭壁、怪石、瀑布溶洞、寺庙、牌坊等景点。,全年 全天开放,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,8
