名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
伏牛山地质公园,http://travel.qunar.com/p-oi706863-funiushandizhigongyuan,"

地址:
南阳市内乡县 

",,全天,,5.0,,,免费,,1
卧龙墓园,http://travel.qunar.com/p-oi701821-wolongmuyuan,,卧龙墓园位于市区西南、卧龙岗南侧。卧龙岗系八百里伏牛之余脉，其南北二岭在武侯祠西南3公里处交会，卧龙墓园即建在此地。这里地势开阔，水土深厚，环境幽静，因而被人称为“二龙戏珠”之宝地。同时，又因此地东枕十二里河，南面白河，而成为远近弥足珍贵的“风水宝地”。南阳卧龙岗历来为杰地灵，这里曾是诸葛亮躬耕之地，也是东汉光武帝刘秀阅兵台旧址。现在以南阳师院、医专为主的南阳大学区域日益形成，与文化毗邻而居的墓园因此平添更多的灵气。,,,5.0,,,,,2
丹霞寺,http://travel.qunar.com/p-oi703356-danxiasi,,"丹霞寺又名仙霞寺，为河南省重点文物保护单位。丹霞寺""山峦重重环绕，水流曲曲迂回，松竹丛茂，佛殿高耸，实为南阳之古迹，南召之胜地是也。""寺院建筑分为四重，整个主体建筑排列在一条中轴线上，两侧建有东西廊房、藏经楼、膳房院等，均为清代硬山式建筑。有""八百里伏牛山、五百里丹霞""之称，为著名的游览胜地。颇负盛名的河南南召丹霞山，位于南召县城东北18公里处，山中并有丹霞寺一座。明正统七年（公元1422年）《重修留山丹霞禅寺记》碑载：“南阳郡城北百里许，有山曰留山，又...丹霞寺又名仙霞寺，为河南省重点文物保护单位。丹霞寺""山峦重重环绕，水流曲曲迂回，松竹丛茂，佛殿高耸，实为南阳之古迹，南召之胜地是也。""寺院建筑分为四重，整个主体建筑排列在一条中轴线上，两侧建有东西廊房、藏经楼、膳房院等，均为清代硬山式建筑。有""八百里伏牛山、五百里丹霞""之称，为著名的游览胜地。颇负盛名的河南南召丹霞山，位于南召县城东北18公里处，山中并有丹霞寺一座。明正统七年（公元1422年）《重修留山丹霞禅寺记》碑载：“南阳郡城北百里许，有山曰留山，又曰丹霞山……唐元和十五年（公元820年），天然禅师因究生死大事，遍游诸方之末，钟爱兹山之盛，辟创为道场之所。”碑文说明，丹霞寺是在丹霞山（或俗称留山）创建的。《明嘉靖南阳府志校注》及清代《天然禅师塔铭》均云，南召丹霞寺于唐长庆四年由天然禅师开基，寺的创建距今已有一千一百六十多年的历史了。",,,5.0,,,,,2
丹江,http://travel.qunar.com/p-oi706502-danjiang,,"丹江，发源于秦岭，注入汉江，全长384公里，全部为山区河道，是汉江的主要分支。古时曾称丹江为“粉青江”，因尧帝的长子葬于丹江而改名。丹江通航历史渊远,我国最早的地理书籍《禹贡》记载，早在战国时期已经通航。航道上至陕西龙驹寨，下达湖北老河口，顺汉江又可入航长江，是我国古代长江地带通往古都西安的一条重要水路交通枢纽。明、清时期的丹江航运日趋繁荣。鼎盛时仅荆紫关码头每日泊船百余艘，帆樯林立十余里。近代随着铁路公路等陆路交通工具的兴起，丹江上游的航道日渐堵塞...丹江，发源于秦岭，注入汉江，全长384公里，全部为山区河道，是汉江的主要分支。古时曾称丹江为“粉青江”，因尧帝的长子葬于丹江而改名。丹江通航历史渊远,我国最早的地理书籍《禹贡》记载，早在战国时期已经通航。航道上至陕西龙驹寨，下达湖北老河口，顺汉江又可入航长江，是我国古代长江地带通往古都西安的一条重要水路交通枢纽。明、清时期的丹江航运日趋繁荣。鼎盛时仅荆紫关码头每日泊船百余艘，帆樯林立十余里。近代随着铁路公路等陆路交通工具的兴起，丹江上游的航道日渐堵塞，目前仅在丹江口水库通航。丹江两岸历史悠久，文化灿烂，沿岸发现有一亿年前的恐龙蛋化石和50万年前的大象门齿化石以及20余种古脊椎动物化石。还发现有猿人牙齿化石和30余处新石器时代遗址、10余处古城址、20余处大型古代墓葬、残留一些古建筑群。历史上比较著名的“秦晋伐？e”“秦楚丹阳血战”等战役在沿岸发生。春秋五霸之一的楚国的早期都城――丹阳，很大可能就在丹江沿岸的龙城。丹江后靠商洛险地，前可窥荆、襄一带，东北可下宛、洛，易守难攻，是兵家必争之地。",,,5.0,,,,,2
老鹳河漂流风景区,http://travel.qunar.com/p-oi702169-laoguanhepiaoliufengjing,"

地址:
河南省南阳市西峡县军马河乡夫子岈电站


电话:
0377-69948869

",,8:00-17:00,https://img1.qunarzz.com/travel/poi/1411/5f/5f871768aaa14242213a9cdb.jpg_480x360x95_1b068094.jpg,5.0,建议游览时间：2小时,,"门票
 168元
 包含：安全帽、救生衣、漂流艇、保险、洗浴、寄存柜、上下码头乘车费。


Tips
 1、不接受12岁以下儿童，60岁以上老人参与漂流 ；
 2、1.2米以上儿童与成人价格相同；
 3、安全起见，老人和5岁以下儿童禁止参加本漂流。",,3
杏山地质公园,http://travel.qunar.com/p-oi39874970-xingshandizhigongyuan,,,,,5.0,,,,,5
国锋家庭农场,http://travel.qunar.com/p-oi39640437-guofengjiatingnongchang,,,,,5.0,,,,,6
观园博物馆,http://travel.qunar.com/p-oi39366366-guanyuanbowuguan,,,,,5.0,,,,,8
福田莲海观光园,http://travel.qunar.com/p-oi37604521-futianlianhaiguanguang,,,,,5.0,建议游览时间：2小时 - 3小时,,,,10
梅城公园,http://travel.qunar.com/p-oi37189709-meichenggongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,10
