名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
东大塘,http://travel.qunar.com/p-oi3864501-dongdatang,"

地址:
新疆维吾尔自治区塔城地区沙湾县


电话:
0901-31826

",东大塘风景区 是国家A级旅游景区，位于天山深处，依连哈比尔尕山北麓，东临设合资，据沙湾县城80余公里。奇特的天山草原风光，壮观的石山大佛，纯朴的哈萨克牧民，古老的游牧生活，浓郁的草原文化气息和源远流长的佛教文化是这里的主要特色。　　东大塘历史上就有佛教文化较为发达的记载，近年来景区借助这一优势，积极开展佛教文化旅游，在悬崖上人工雕刻了一座大佛，成为吸引游客的一个重要人文景观。,8：00-18：00,,5.0,,,15元,,1
乌苏泥火山景区Wusuni Volcano Scenic Area,http://travel.qunar.com/p-oi3761653-wusunihuoshanjingqu,,这里是典型的丹霞地貌，具有独特的自然景观。高山大川，连绵不绝。见之忘俗，让人流连忘返。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/471b02a97792734d449c51780ffba3ab.jpg_480x360x95_d1214f82.jpg,5.0,,,具体收费情况以现场公示为主,,1
阔捏扎瓦特,http://travel.qunar.com/p-oi35301056-kuoniezhawate,,,,,5.0,,,具体收费情况以现场公示为主,,4
和布克赛尔蒙古自治县江格尔博物馆He Bukesai'er Menggu Zizhixian Jiangge'er Museum,http://travel.qunar.com/p-oi34271812-hebukesaiermengguzizhi,,,,,5.0,,,免费,,5
裕民县博物馆Yuminxian Museum,http://travel.qunar.com/p-oi34271234-yuminxianbowuguan,,,,,5.0,,,免费,,5
奥布森农场Aobusen Farm,http://travel.qunar.com/p-oi26640021-aobusennongchang,, 奥布森农场风景如画，空气清新，悠闲别致，闹中取静，还可以品尝到当地的美食。让人流连忘返。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/93707eae0b3c7816aa47884e5f006ee3.jpg_480x360x95_00633904.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,6
农九师团结农场场部,http://travel.qunar.com/p-oi26585438-nongjiushituanjienong,,这里是一个以农为主，农牧结合的城郊型团场。这里地势平坦，土层深厚，适宜各种作物生长。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/48ba6efb39b88a4deed8299a221c2c21.jpg_480x360x95_c3899c5d.jpg,5.0,建议游览时间：12小时 - 3天,,,,6
吐尔加辽草原Tuerjialiao Grassland,http://travel.qunar.com/p-oi19967087-tuerjialiaocaoyuan,,吐尔加辽草原幅员辽阔，三面环山，一年四季景色不同。春天草芽萌发，一片碧绿；夏天百花盛开，错落有致；秋天牧草成熟，遍地金黄；冬天大雪覆盖，漫漫洁白。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e7fd9cc54c9ef9dc08a2bedac7bcd060.jpg_480x360x95_fdfca612.jpg,5.0,建议游览时间：3天,,,,8
九莲泉公园Jiulianquan Park,http://travel.qunar.com/p-oi19967083-jiulianquangongyuan,,九莲泉公园面积宽广，呈带状分布。园内绿树成荫，水质清澈，有音乐喷泉、休闲广场、游览长廊等设施，是休闲散步的好地方。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/c91b579bcad08b0fdc84adb69e8c13a9.jpg_480x360x95_cbe5750f.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,8
额敏县民族文化基地Eminxian Minzu Culture Base,http://travel.qunar.com/p-oi19967068-eminxianminzuwenhuaji,,额敏县民族文化基地内展示了额敏县政治、经济、文化、社会各方面的发展成果，是集科普、教育、文化、旅游为一体的场所。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/6e8b3dc403cc1c66643a1420bba55b3f.jpg_480x360x95_8e60f72f.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,8
石河子市143团万福寺Shihezishi 143 Tuan Wanfu Temple,http://travel.qunar.com/p-oi19967053-shihezishi143tuanwanfu,,,,,5.0,,,具体收费情况以现场公示为主,,9
额敏博物馆Emin Museum,http://travel.qunar.com/p-oi19476156-eminbowuguan,,额敏博物馆内藏品丰富，有石人等展品，是人们了解当地历史文化的好地方。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,9
