名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
陆羽纪念馆Lu Yu Memorial Hall,http://travel.qunar.com/p-oi24412243-luyujinianguan,"

地址:
文学泉道与西寺路交叉口西北100米

",,全年 7:00-19:00,,5.0,建议游览时间：2小时,,,,1
东湖公园Donghu Park,http://travel.qunar.com/p-oi23059769-donghugongyuan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/294107c715e41968e5844871785c8a90.jpg_480x360x95_5a0fecd4.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
西塔寺,http://travel.qunar.com/p-oi9137551-xitasi,,"西塔寺是天门市最大的佛教寺院，也是江汉平原最古老的寺院。始建于东汉，迄今已有一千七百多年历史,为历代高僧驻锡。在唐开元21年西塔寺住持智积禅师收养了弃婴，这就是后来写出史上第一部茶学专著《茶经》而享誉世界的茶圣陆羽。",,https://img1.qunarzz.com/travel/poi/1511/e9/91f94253bd3c7af7.jpg_480x360x95_f37d5cc1.jpg,5.0,建议游览时间：1小时 - 2小时,四季皆宜。,,,2
陆羽纪念馆Lu Yu Memorial Hall,http://travel.qunar.com/p-oi24412243-luyujinianguan,"

地址:
文学泉道与西寺路交叉口西北100米

",,全年 7:00-19:00,,5.0,建议游览时间：2小时,,,,3
东湖公园Donghu Park,http://travel.qunar.com/p-oi23059769-donghugongyuan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/294107c715e41968e5844871785c8a90.jpg_480x360x95_5a0fecd4.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
陆羽纪念馆Lu Yu Memorial Hall,http://travel.qunar.com/p-oi24412243-luyujinianguan,"

地址:
文学泉道与西寺路交叉口西北100米

",,全年 7:00-19:00,,5.0,建议游览时间：2小时,,,,4
东湖公园Donghu Park,http://travel.qunar.com/p-oi23059769-donghugongyuan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/294107c715e41968e5844871785c8a90.jpg_480x360x95_5a0fecd4.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,4
陆羽纪念馆Lu Yu Memorial Hall,http://travel.qunar.com/p-oi24412243-luyujinianguan,"

地址:
文学泉道与西寺路交叉口西北100米

",,全年 7:00-19:00,,5.0,建议游览时间：2小时,,,,5
东湖公园Donghu Park,http://travel.qunar.com/p-oi23059769-donghugongyuan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/294107c715e41968e5844871785c8a90.jpg_480x360x95_5a0fecd4.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,5
陆羽纪念馆Lu Yu Memorial Hall,http://travel.qunar.com/p-oi24412243-luyujinianguan,"

地址:
文学泉道与西寺路交叉口西北100米

",,全年 7:00-19:00,,5.0,建议游览时间：2小时,,,,6
东湖公园Donghu Park,http://travel.qunar.com/p-oi23059769-donghugongyuan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/294107c715e41968e5844871785c8a90.jpg_480x360x95_5a0fecd4.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,6
陆羽纪念馆Lu Yu Memorial Hall,http://travel.qunar.com/p-oi24412243-luyujinianguan,"

地址:
文学泉道与西寺路交叉口西北100米

",,全年 7:00-19:00,,5.0,建议游览时间：2小时,,,,7
东湖公园Donghu Park,http://travel.qunar.com/p-oi23059769-donghugongyuan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/294107c715e41968e5844871785c8a90.jpg_480x360x95_5a0fecd4.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,7
陆羽纪念馆Lu Yu Memorial Hall,http://travel.qunar.com/p-oi24412243-luyujinianguan,"

地址:
文学泉道与西寺路交叉口西北100米

",,全年 7:00-19:00,,5.0,建议游览时间：2小时,,,,8
东湖公园Donghu Park,http://travel.qunar.com/p-oi23059769-donghugongyuan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/294107c715e41968e5844871785c8a90.jpg_480x360x95_5a0fecd4.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,8
陆羽纪念馆Lu Yu Memorial Hall,http://travel.qunar.com/p-oi24412243-luyujinianguan,"

地址:
文学泉道与西寺路交叉口西北100米

",,全年 7:00-19:00,,5.0,建议游览时间：2小时,,,,9
东湖公园Donghu Park,http://travel.qunar.com/p-oi23059769-donghugongyuan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/294107c715e41968e5844871785c8a90.jpg_480x360x95_5a0fecd4.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,9
陆羽纪念馆Lu Yu Memorial Hall,http://travel.qunar.com/p-oi24412243-luyujinianguan,"

地址:
文学泉道与西寺路交叉口西北100米

",,全年 7:00-19:00,,5.0,建议游览时间：2小时,,,,10
东湖公园Donghu Park,http://travel.qunar.com/p-oi23059769-donghugongyuan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/294107c715e41968e5844871785c8a90.jpg_480x360x95_5a0fecd4.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,10
