名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
娄底大江口景区Loudi Dajiangkou Scenic Resort,http://travel.qunar.com/p-oi710014-loudidajiangkoujingqu,"

地址:
湄江

",,全年 8:00-18:30,https://img1.qunarzz.com/travel/d8/1609/42/3fa189518d833cb5.jpg_480x360x95_5f0e1a53.jpg,5.0,,,具体收费情况以现场公示为主,,1
娄底玄武观,http://travel.qunar.com/p-oi38336673-loudixuanwuguan,,玄武观位于湖南省娄底市，玄武观有着悠久的人文历史、其中盟峰山上的祭天台是古人用来祭拜天上28星宿的娄星、氐星的。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,3
"渠江源茶溪谷Chaxi Valley, Source of Qujiang River",http://travel.qunar.com/p-oi35832595-qujiangyuanchaxigu,,,,,5.0,,,具体收费情况以现场公示为主,,3
豆子圫,http://travel.qunar.com/p-oi35645024-douziyu,,,,,5.0,,,具体收费情况以现场公示为主,,3
梓芳冲,http://travel.qunar.com/p-oi35304600-zifangchong,,,,,5.0,,,具体收费情况以现场公示为主,,5
湄江风景区Meijiang Sceneic Area,http://travel.qunar.com/p-oi35213340-meijiangfengjingqu,, 湄江风景区地处涟源市北部，跨越了湄江、石陶、古塘、四古、漆树5个乡镇，景区内风景秀丽、山水奇特，既有山水美景、洞石奇观，又有飞瀑流泉、悬崖峭壁。景区内有数量众多的溶洞，尤其是仙人府的薄层状灰岩类硅质岩，国内罕见；又有四层自生桥，造型奇特、得天独厚，景观尤其独特。湄水蜿蜒崇山峻岭之间，似玉带轻扬，清澈透明、静影沉壁，两岸高峰耸立、怪石嶙峋。,,,5.0,,,,,6
归古三生花海Guigu Sansheng flower sea,http://travel.qunar.com/p-oi35097867-guigusanshenghuahai,,归古三生花海，四季花时各不同，不同颜色的鲜花，组成了一条美丽的彩带。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,6
归古青少年夏令营Guigu summer camp,http://travel.qunar.com/p-oi35096360-guiguqingshaonianxialing,,归古青少年夏令营有许多娱乐项目，是集玩耍、娱乐于一体的景区。,,,5.0,建议游览时间：3天,,,,6
"新化资江二桥Zijiang No.2 Bridge, Xinhua",http://travel.qunar.com/p-oi32788787-xinhuazijiangerqiao,"

地址:
湖南省娄底市新化县上梅镇白沙洲路(资水内)

",,全年 全天开放,,5.0,,,具体收费情况以现场公示为主,,6
湄江风景名胜区Meijiang Scenic Resort,http://travel.qunar.com/p-oi27338806-meijiangfengjingmingsheng,"

地址:
娄底市涟源市湄江镇031县道旁


电话:
+86 738 472 0366

",湄江风景区在娄底涟源，水晶幽静无语，绿岭青山横卧。,全年 全天开放,,5.0,,,具体收费情况以现场公示为主,,7
罗盛教故居Luoshengjiao Former Residence,http://travel.qunar.com/p-oi26577331-luoshengjiaoguju,,该景点位于新化县圳上镇松山乡桐梓村，建筑市座东朝西的木结构座东朝西的木结构重檐楼房。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/792c520f3a0dc161e9a4b8218388a059.jpg_480x360x95_c4104ffb.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,7
大乘山Dacheng Mountain,http://travel.qunar.com/p-oi20949535-dachengshan,"

地址:
湖南省冷水江市禾青镇和三尖乡境内

",,全年 8:00-17:00,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,10
