名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
神河源风景区,http://travel.qunar.com/p-oi704114-shenheyuanfengjingqu,"

地址:
陕西省安康市

","这里融山、水、泉、洞于一体,集雄、奇、秀、阔、幽、险于一身，不到新疆可以看到天山风光,不到云贵可以看到千姿百态的溶洞石林,不到武当可以看到金顶雄姿,不到西双版纳可以看到原始森林,不到哈尔滨可以看到婀娜多姿的雪景,不出国门可以看到西欧的自然风光。",全天,https://img1.qunarzz.com/travel/d4/1508/b2/0303b64d3459fe.jpg_480x360x95_c7ef7c66.jpg,5.0,建议游览时间：4小时,春、秋。,"朝阳洞20元 
 巴山秋池20元 
 巴山神田草原20元。",,1
白云寺,http://travel.qunar.com/p-oi704110-baiyunsi,,因主峰如柱插入云端而得名。现住寺僧侣10余人，年接待游客万余人次，是安康市佛教胜地。史载创建于唐麟2年（664年）。白云寺是陕南佛教圣地四大丛林之一，列为安康八景之一。寺庙由三进四塔、一炉五殿、九洞三院组成。沿台阶攀至12层，便是建真武祖师殿石碑。此碑为清代楷书精品。最高处三进佛殿的佛像，均为明代石雕精品。寺后有莲花池，前有方池。据传，看天池可知汉江水位。山北峭壁处有自然形成的9个洞，洞洞相通。化身炉建于明代，四座灵骨塔均高两丈余，系该寺宋至清代的灵骨。...因主峰如柱插入云端而得名。现住寺僧侣10余人，年接待游客万余人次，是安康市佛教胜地。史载创建于唐麟2年（664年）。白云寺是陕南佛教圣地四大丛林之一，列为安康八景之一。寺庙由三进四塔、一炉五殿、九洞三院组成。沿台阶攀至12层，便是建真武祖师殿石碑。此碑为清代楷书精品。最高处三进佛殿的佛像，均为明代石雕精品。寺后有莲花池，前有方池。据传，看天池可知汉江水位。山北峭壁处有自然形成的9个洞，洞洞相通。化身炉建于明代，四座灵骨塔均高两丈余，系该寺宋至清代的灵骨。白云寺旧有亭宇、楼阁、大殿、厢房数百间。寺院内外松柏葱郁，寒梅飘香。大殿雕梁画栋，金碧辉煌，佛像千尊，香火鼎盛。现在的白云寺，保留有殿宇、厢房60余间。,,,5.0,,,10元,,2
东梁,http://travel.qunar.com/p-oi39177947-dongliang,,,,,5.0,,,,,3
汉江画廊白河景区,http://travel.qunar.com/p-oi38909978-hanjianghualangbaihejing,,"汉江画廊生态旅游区，位于陕西省东大门安康市的水色白河秦楚边城（白河县），是湖北孤山＋葛洲坝水电站建成后形成的西北地区古有小汉口之称水色白河、秦楚边城的汉江画廊。
生态旅游区周边，是有“秦头楚尾”的美称的葛洲坝水电站大坝，每当泄洪时，雷霆万钧，蔚为壮观。大坝一侧是久负盛名的旅游胜地郧西夹河关、坝下不远处是一座白河郧西建造的白陨大桥、古镇明清桥儿沟。
 汉江广阔秀丽，江中沙滩山峰棋布，相映成趣。汉江水产丰富，出产价值较高的银鱼。此外，白河产茶，素有古代“白河贡茶”春燕毛尖茶，颇有名声，陕南特色美食白河肉糕。汉江四面环山，湖面既有宽阔洁净的水域，又有蜿蜒曲折的两条红石河和白石河水境，景区为游客提供商业服务游轮（特色夜航筹备中）、快艇、摩托汽艇、网红脚踏脚、手划船，水上飞人、冲锋舟、飞鱼、香蕉船、水陆两栖船（筹备中）等各项服务。这里四周山势较低，坡度平缓，植被非常茂密，是消夏纳凉的好地方。白河境内内还有不少特色餐馆，游客在这里可以品尝到白河三点水、八大件及特色农家菜等美食。
",,,5.0,,,,,4
平利芍药谷景区,http://travel.qunar.com/p-oi38880182-pinglishaoyaogujingqu,,芍药溪谷是以女娲文化为背景，以归隐文化为主题建设的一处乡村田园综合体。位于陕西省安康市平利县，处于湖北、四川、陕西三省交界。神秘的大巴山与巍巍秦岭在此交汇，形成天然的崩塌岩地质博物馆，造就了此地是奇石幽潭，溪流纵横的人间胜景，大陆性温润的气候，年平均13度，常年云雾绕如临仙境。水土天然富硒，野生名贵药材3000余种，被称作“巴山药乡” 2012年在北京举办的中国十佳最美乡村评选活动中平利县位居江西婺源获第二名的殊荣。电视剧《栀子花开》在此取景，2014年央视《远方的家》栏目做专题报道称平利是“秦巴山最后的秘境”,,,5.0,,,,,4
明清古梯田,http://travel.qunar.com/p-oi38340631-mingqinggutitian,,,,,5.0,,,具体收费情况以现场公示为主,,4
黄安坝景区,http://travel.qunar.com/p-oi38336660-huanganbajingqu,,黄安坝景区地处重庆市城口县东部渝陕交界处，与陕西省的镇坪县、平利县及本市的巫溪县毗邻达界，景区草场东西长50余公里，南北宽10多公里，地处大巴山南麓，分布在大巴山主锋上，平均海拨2000米至2600米之间，景色秀丽。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,4
安康美术馆,http://travel.qunar.com/p-oi38335473-ankangmeishuguan,,,,,5.0,,,具体收费情况以现场公示为主,,5
旬阳县太极城森林公园,http://travel.qunar.com/p-oi37806854-xunyangxiantaijicheng,,旬阳市太极城森林公园面积有四百多公顷，主要景点有中华太极观光区、历史文化园林区、汉水民俗风情区、揽胜休闲康乐区和林果观光区等，集观光、度假、科普、娱乐于一体。,,,5.0,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,5
硒茶小镇,http://travel.qunar.com/p-oi37806022-xichaxiaozhen,,硒茶小镇是石板铺就的，街道上有古老的建筑，通幽的小巷，环境安静，小桥流水，非常有古朴气息。这里山美、水美、茶香，是个适合出游的好地方。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,5
白河县桥儿沟古镇景区,http://travel.qunar.com/p-oi37805947-baihexianqiaoergouguzhen,,这里有一条明清时期的古街道，青石板街，古老的建筑，古色各香，非常有古朴的气息。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,5
