名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
首阳山,http://travel.qunar.com/p-oi714622-shouyangshan,"

地址:
甘肃省定西市渭源县莲峰镇

",首阳山位于渭源县东南34公里的莲峰乡享堂沟，海拔在2186-2509米之间，因其列群山之首，阳光先照而得名。首阳山因商未周初孤竹国（今河北庐龙县）君之二子伯夷、叔齐相让嗣君，相偕至周，后闻武王伐纣，叩马谏阴。因武王不听，遂愤而不食周粟，西行至首阳山，采薇而食，后饿死于首阳山而成为陇右名山。秦汉在此建县时就名首阳县了。渭源首阳山最早见于庄子所言伯夷、叔齐西至岐阳，见周武王伐殷曰：吾闻古之士，遭治世还避其任，遇乱世不为苟存，今天下暗，周德衰，其并乎周以涂吾身...首阳山位于渭源县东南34公里的莲峰乡享堂沟，海拔在2186-2509米之间，因其列群山之首，阳光先照而得名。首阳山因商未周初孤竹国（今河北庐龙县）君之二子伯夷、叔齐相让嗣君，相偕至周，后闻武王伐纣，叩马谏阴。因武王不听，遂愤而不食周粟，西行至首阳山，采薇而食，后饿死于首阳山而成为陇右名山。秦汉在此建县时就名首阳县了。渭源首阳山最早见于庄子所言伯夷、叔齐西至岐阳，见周武王伐殷曰：吾闻古之士，遭治世还避其任，遇乱世不为苟存，今天下暗，周德衰，其并乎周以涂吾身也，不若逊之，以洁吾行二子北至于首阳之山，遂饥饿而死。又东汉经文学家曹大家（即班昭）注《幽通赋》说：夷齐饿于首阳山在陇西首阳。渭源在秦末汉初建县，就名首阳县，归陇西郡管辖，县以山得名。直到西魏文帝大统十七年（公元551）始改名渭源县。据此看来，渭源首阳山得名最早，历史悠久，为夷齐隐居采蕨直至饿死的最确首阳山。首阳山西北侧有石门，因两座石崖东西对峙，间开一线，形似石门而得名。石门夜月为当地一景。两崖之间有一水库，容量500多万立方米，是一处理想的水上乐园。水库后面为长十五里的天井峡谷，这里座座陡峭的山崖相对挺立，四山合围，蓝天变成一条细线，人如处井底，其地势恰似一大锯解开的板缝，故此当地俗称解板沟。天井峡山奇水美，恰似仙境，有鬼斧神工的自然造型27处景点。沿十五里天井画廊，到处充满着奇、险、壮、绝、清、秀、幽、静、古、野之情趣。如从县城向南行直抵天井峡，约有20多公里路程。,09:00-17:00,https://img1.qunarzz.com/travel/d5/1510/98/3f55b9c8ca110f.jpg_480x360x95_82907aca.jpg,5.0,,,25元,,1
狼渡湿地草原Langdu Wetland Grassland,http://travel.qunar.com/p-oi35832201-langdushidicaoyuan,,,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,3
临洮县博物馆Lintaoxian Museum,http://travel.qunar.com/p-oi34274228-lintaoxianbowuguan,"

地址:
临洮县洮阳镇东大街6号

",临洮县博物馆位于洮阳镇，博物馆展览分为序厅、古陶彩韵、玉石精华、铜器、瓷珍荟宝、砖瓦集萃、佛光普照等七个单元，馆内陈列有新石器时代马家窑类型、半山类型、马厂类型、齐家文化、辛店文化、寺洼文化石器、骨器、彩陶、玉器和战国秦汉时期文物，铜铁器、瓷器、画像砖等。,"全年 周一 全天不开放 ;全年 周二-周日 09:00-11:30,14:30-17:00",,5.0,建议游览时间：1小时 - 2小时,,免费,,5
定西市马家窑彩陶博物馆Dingxishi Majiayao Caitao Museum,http://travel.qunar.com/p-oi34272172-dingxishimajiayaocaitao,"

地址:
甘肃省定西市临洮县南关1号


官网:
http://www.dxmjy.com

",博物馆内珍藏了各类彩陶实物，涵盖了仰韶文化。是以展示、交流、收藏为主要功能的综合性场馆。,每周三至周日9：00—17：00,,5.0,建议游览时间：3小时,,,,6
通渭县博物馆Tongweixian Museum,http://travel.qunar.com/p-oi34269635-tongweixianbowuguan,"

地址:
通渭县平襄镇西街2号

",,全年 周二-周日 9:00-17:00,,5.0,,,免费,,6
甘肃省定西市渭源县步行街GanSuSheng DingXiShi WeiYuanXian BuXingJie,http://travel.qunar.com/p-oi24439464-gansushengdingxishiwei,,,,,5.0,,,具体收费情况以现场公示为主,,8
二郎山Erlangshan Mountain,http://travel.qunar.com/p-oi23341871-erlangshan,,二郎山位于岷县城南方向，这里森林覆盖率高，山上还有大量古墓及寺庙，是集自然、人文为一体的综合景区。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/153faaf0f6cadb179a8c13fb5c1b8e02.jpg_480x360x95_b8ea68d4.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,8
灞陵桥公园Weiyuan Balingqiao Park,http://travel.qunar.com/p-oi23341869-balingqiaogongyuan,,灞陵桥公园有历史悠久的纯木悬臂式拱桥，雕像，环境优美，是人们休闲娱乐的好地方。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/188a1fdaf4c7fbf7851673e2404fedf9.jpg_480x360x95_534254a3.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
定西秦长城遗址Dingxi Great Wall Ruins of Qin Dynasty,http://travel.qunar.com/p-oi22765019-dingxiqinzhangchengyi,,岷县秦长城遗址位于甘肃省临洮县尧甸镇，为长城之首。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/60cfd57a224eea8b0bbfdb0626a76137.jpg_480x360x95_0e4657af.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
通渭县榜罗镇革命遗址Bangluo Revolutionary Site,http://travel.qunar.com/p-oi20895036-tongweixianbangluozhen,,通渭县榜罗镇革命遗址是古代陇中地区西南部的经济和文化中心。同时也是当地很重要的红色爱国教育基地。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/fb7d79bc1fd46b602dfc076b6cbabc95.jpg_480x360x95_29e34cf1.jpg,5.0,建议游览时间：2小时,,,,9
