名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
竹海博物馆Shunan Zhuhai Museum,http://travel.qunar.com/p-oi7647724-zhuhaibowuguan,"

地址:
竹海镇宜宾蜀南竹海风景名胜区内


电话:
0831-4980121

","蜀南竹海位于四川南部的宜宾市境内，幅员面积120平方公里，核心景区45平方公里，共有八大主景区，两大序景区134处景点。由27条峻岭，500多座峰峦组成，景区内共有竹子400余种，7万余亩，楠竹枝叠根连，葱绿俊秀，浩瀚壮观.蜀南竹海是世界上集中面积大的天然竹林景区，独特的地理位置，造就了“云山竹海，天上人间”。是世界罕见、中国的集竹景、山水、湖泊、瀑布、古庙于一体，同时兼有历史悠久的人文景观的竹文化、竹生态休闲度假旅游目的地。蜀南竹海的植被覆盖率达92.4%，景区内绿...蜀南竹海位于四川南部的宜宾市境内，幅员面积120平方公里，核心景区45平方公里，共有八大主景区，两大序景区134处景点。由27条峻岭，500多座峰峦组成，景区内共有竹子400余种，7万余亩，楠竹枝叠根连，葱绿俊秀，浩瀚壮观.蜀南竹海是世界上集中面积大的天然竹林景区，独特的地理位置，造就了“云山竹海，天上人间”。是世界罕见、中国的集竹景、山水、湖泊、瀑布、古庙于一体，同时兼有历史悠久的人文景观的竹文化、竹生态休闲度假旅游目的地。蜀南竹海的植被覆盖率达92.4%，景区内绿色怡人、空气清新，是一座天然的绿色大氧吧。更是川南地区的影视基地,《卧虎藏龙》、《大人物》、《大酒商》、《风云2》、《爱到春潮滚滚来》、《勇士》、浙江卫视《24小时》真人秀栏目等诸多影视作品和综艺节目都将蜀南竹海作为了外景拍摄地点。",全年 09:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/000fdcebed4362da53027aab4d2fd390.jpg_480x360x95_aaa85844.jpg,5.0,建议游览时间：2小时 - 3小时,,100元,,1
仙寓硐,http://travel.qunar.com/p-oi713321-xianyudong,"

地址:
仙寓硐洞位于长宁、江宁两县交界的擦耳岩

",仙寓硐洞位于长宁、江宁两县交界的擦耳岩，是蜀南竹海中一处比较重要的景点。这一带山势回环，丹崖如削。去仙寓洞要从构筑在悬崖边的小径上去，上行百余米即达洞口，洞高15米，进深约10米，内有石刻佛像和道教神像40余尊。这里是观赏竹海的好地方，站在洞口眺望，只见崇山峻岭竹波荡漾，竹海的奇特风光尽收眼底。离仙寓硐不远有一天宝洞，前不久这里修整了一条长达1500米的古栈道。这条栈道开凿在悬崖峭壁上，沿着栈道行走，真有腾空走壁之感。,9:00 - 17:00,https://img1.qunarzz.com/travel/d6/1506/47/7a8284c69c5c89.jpg_480x360x95_0242e19a.jpg,5.0,,,成人：80元 儿童：50元,,2
筠连古楼山,http://travel.qunar.com/p-oi709778-yunlianguloushan,"

地址:
古楼山景区位于四川宜宾地区筠连县境内

",古楼山景区位于宜宾地区筠连县境内，面积130平方公里。景区处于四川盆地与云贵高原的过渡地带，由于长期受内外地质力的作用，形成了奇特多姿的景观。这里有四川盆地内水温最高、流量最大、水质独特的“巡司温泉”，有海瀛乡陈家沟的间歇潮涌泉，有类似黄龙寺钙华彩池的腾达乡仙人洞内的大型边石坝钙华景观，有塘坝乡董家湾的“千鸟归林”、巡司乡的“千亩茶园”、巴茅坡的森林公园等生物景观，有廉溪乡的“横山桂榜”、 塘坝乡的“木浪晓晴”等气象景观，有棘人人悬棺、龙碗大埝、玉壶...古楼山景区位于宜宾地区筠连县境内，面积130平方公里。景区处于四川盆地与云贵高原的过渡地带，由于长期受内外地质力的作用，形成了奇特多姿的景观。这里有四川盆地内水温最高、流量最大、水质独特的“巡司温泉”，有海瀛乡陈家沟的间歇潮涌泉，有类似黄龙寺钙华彩池的腾达乡仙人洞内的大型边石坝钙华景观，有塘坝乡董家湾的“千鸟归林”、巡司乡的“千亩茶园”、巴茅坡的森林公园等生物景观，有廉溪乡的“横山桂榜”、 塘坝乡的“木浪晓晴”等气象景观，有棘人人悬棺、龙碗大埝、玉壶井公园莲花石佛等人文景观。景区内峰丛、溶洞、地下河也较丰富。,9:00 - 17:00,,5.0,,,成人：80元 儿童：60元,,2
华藏寺,http://travel.qunar.com/p-oi710310-huazangsi,"

地址:
位于四川宜宾市东城武庙街10号

",位于宜宾市东城武庙街10号，是蜀南著名的佛教寺院。 华藏寺始建于清康熙二十四年（1685年），由曹洞宗著名高僧智源和尚兴建，弘扬禅宗文化 。当时建有天王殿、观音殿、地藏殿、药师殿、大雄宝殿、东西厢房等百余间。后经历代住持的培修完善而成为蜀南著名的禅宗弘传道场。,8:00 - 17:00,https://img1.qunarzz.com/piao/fusion/1703/75/62aa78f0179db902.jpg_480x360x95_37ba0452.jpg,5.0,,,成人：80元 儿童：50元,,3
越溪河,http://travel.qunar.com/p-oi711353-yuexihe,"

地址:
宜宾市

",越溪河，古名拥斯茫水，又名大牢溪，自荣县入宜宾县境内，经合什、征远、柳嘉、沙沟、改进、观音、徐家、隆兴、越溪、古柏、缸平、黄伞等十三个乡镇汇入岷江，流长105公里。,全天,,5.0,,,成人：40元 儿童：20元,,3
僰人巨石阵景区,http://travel.qunar.com/p-oi38941956-borenjushizhenjingqu,,,,,5.0,,,,,5
宜宾国际竹产品交易中心,http://travel.qunar.com/p-oi38007252-yibinguojizhuchanpinjiao,"

地址:
宜宾市翠屏区高发路2号附2号804号


电话:
0831-5956666

",宜宾国际竹交易中心，位于宜宾市翠屏区宜长路与宋园大道交汇处，距离市区约25分钟车程，蜀南竹海景区40分钟车程。周边紧邻安石村、李庄、高桥竹村、宜宾野生动物世界等丘陵特色旅游景点，餐饮住宿、游乐设施一应俱全。场馆建筑面积约 1.6 万平方米，项目总投资 1.5 亿元，于2021年5月1日正式投入使用。竹交易中心的整体结构采用钢与圆竹组合承重，系钢竹混合结构建筑体；是国际上单体竹拱建筑，是目前以圆竹作为承重结构面积很大的建筑；是外装饰竹拱单拱跨度很大的建筑，单拱跨度达到60m。其中线下交易区占地2000㎡。现已入驻60多家企业，共计产品800余种，涵盖了日用品类、工艺品类、家具类、食品类、竹茶艺类。竹产品线下交易区有西南片区很名贵的湘妃竹家具展厅供游客观赏、品鉴，家具总价值超7位数。也有四川各地非遗传承大师的竹编作品提供展示，供游客选购。线下交易区同时涵盖宜宾各区县优质农副产品、特色土产、纪念品，以丰富的品类，优惠的价格。为游客提供一站式的购物服务。其中比较具有代表性的有宜宾纸业股份有限公司、四川三名坊传统文化产业股份有限公司、宜宾有正农业开发有限公司、四川宏野食品有限公司等。竹妙课堂承担着“竹”精神与文化传承的艰巨任务。增长孩子见识、拓宽眼界、丰富精神世界，亲手为自己种下更多的梦想，近距离感受竹的魅力，宜宾国际竹交易中心“竹妙课堂”顺应而生！ 现已开发竹技艺、竹科学、竹文创、竹才艺、竹食品等主题，并因此衍生出竹与非遗、竹与建筑、竹与文旅等课程为一体的竹主题特色课程。会议会务中心现有80㎡贵宾接待室、300㎡百人会议室、1000㎡商业交易大厅、4000㎡国际会展大厅、现代化共享办公室区等场地对外招租，场馆配套齐全、物业周到、配有共计超200㎡高清LED功能显示屏多块，可承接各类大中小型会议会务、发布会、商演展览等多形式活动。,全年 09:00-17:00,,5.0,建议游览时间：1小时 - 3小时,,,,6
中国兴文·世界大米博物馆,http://travel.qunar.com/p-oi36417920-zhongguoxingwenshijie,"

地址:
珙晏路附近

","世界大米博物馆位于兴文，博物馆以大米为主题，在这里，游客既可以了解富硒大米的种植生产过程，还可以品尝当地美食。
",全年 09:00-21:00,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,7
千佛寺,http://travel.qunar.com/p-oi36257890-qianfosi,,千佛寺位于宜宾市，倚山而建，现在有千佛殿、观音殿、地藏殿，罗汉堂、达摩殿等建筑，在各游道处特设了凉亭台阁，茶园展厅，以方便香客游人休息，欣赏周围风光。,,,5.0,建议游览时间：1小时 - 2小时,,包含于翠屏山公园风景区内，通用翠屏山公园风景区门票,,8
戎州大桥,http://travel.qunar.com/p-oi36255191-rongzhoudaqiao,"

地址:
宜宾市

",戎州大桥位于三江汇合之处，地理位置独特。是一座中承式钢管混凝土拱桥。,24小时,,5.0,,,,,8
