名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
恩龙生态旅游,http://travel.qunar.com/p-oi707931-enlongshengtailu:you,"

地址:
安徽省宣城宁国市

",宁国市恩龙生态发展有限公司是一家集林木种苗生产、特色林果种植、生态旅游开发三大产业于一体的非公有制企业。公司创建于1997年，现总资产已逾亿元。由公司承建的恩龙生态农业科技示范园先后于2001-2002年连续两年被评为省级生态农业科技示范园，公司苗圃2002年度被评为“全国质量信得过苗圃”和“全国无检疫对象苗圃”，2003年度公司又被评为安徽省农业产业化龙头企业。公司经过几年的发展，注重科技领先，强化内部管理，兼顾企业长、中、短期效益齐头并进，现已初具规模，并逐渐...宁国市恩龙生态发展有限公司是一家集林木种苗生产、特色林果种植、生态旅游开发三大产业于一体的非公有制企业。公司创建于1997年，现总资产已逾亿元。由公司承建的恩龙生态农业科技示范园先后于2001-2002年连续两年被评为省级生态农业科技示范园，公司苗圃2002年度被评为“全国质量信得过苗圃”和“全国无检疫对象苗圃”，2003年度公司又被评为安徽省农业产业化龙头企业。公司经过几年的发展，注重科技领先，强化内部管理，兼顾企业长、中、短期效益齐头并进，现已初具规模，并逐渐形成企业协调、健康、稳步向前发展的三大支柱产业：林木种苗产业、特色林果产业、生态旅游产业。,8：00—18：30,https://img1.qunarzz.com/travel/d7/1612/d1/141e6af01a6c06b5.jpg_480x360x95_e72b0460.jpg,5.0,,,,,3
侯村祠堂,http://travel.qunar.com/p-oi705981-houcuncitang,,侯村祠堂，建于清乾隆年间。祠堂三进，砖木结构，占地1200平方米。为郎溪县现存最完整、建筑面积最大的一座古建筑。该祠为排架式挑梁构造，呈徽派建筑风格。祠内除雕梁画栋、精美的砖雕石刻外，后进南墙保存有四幅完好的彩色花鸟壁画（每幅纵70厘米，横210厘米）。天井内植有两株牡丹，高约1.5米，枝干苍劲，每年开花五、六十朵，花大如碗，艳丽夺目。相传至今已有二百余年，为县内珍稀花木。,,,5.0,,,,,4
旵山头,http://travel.qunar.com/p-oi39418509-chanshantou,,,,,5.0,,,,,5
欢溪原自然公社,http://travel.qunar.com/p-oi39172746-huanxiyuanzirangongshe,,“欢溪原”位于广德四合乡耿村村，总占地约323亩，是一个集合山、水、田、林、湖、草等自然要素于一体，城市、乡村无界为界、浑然共生的有机体。,,,5.0,,,,,5
十八湾景区,http://travel.qunar.com/p-oi38936987-shibawanjingqu,,十八湾景区“湾湾有故事，处处是风景”品山、观竹、憩水、探谷。群峰叠翠，溪谷幽深，山、水、石、林、谷五景竞秀峡谷中，岩岩互峙，崖崖相立，刀削斧斫，犬牙交错，溪涧环扣，峰峦恋偎。谷中河床，青石为砥，光滑圆润，如盆似钵，成潭挂瀑，潭中鱼儿轻舞小尾，恰似支支小毫在绘宫笔画.由诗仙谷、曲水流觞、花果洞天、茶花仙子、花溪叠瀑、叠水迎宾、空谷传音、远古呼唤、曲径通幽、清泉石上流、银河天降、欢乐岛、游击之歌、河东狮吼、竹林访贤、断岸千尺、壶中日月、峡谷飞虹18個景觀合在一起組成的，故名“十八湾”。 十八湾沿水而生，总长度约2.4公里，总占地约20公顷。景区以生态、可持续的发展模式，建立生态、乡村、旅游、度假和谐共生，网红及亲子项目以旅游休闲、娱乐体验、生态住宿为其特色，功能完善、特色鲜明的山水生态休闲旅游。,,,5.0,,,,,6
新和千亩樱花,http://travel.qunar.com/p-oi38818655-xinheqianmuyinghua,,新和千亩樱花，面积约2000多亩，每逢花期，无数朵花蕾含羞绽放，千亩园区粉红一片，仿佛置身于粉色云端，吸引大批游客前来拍照赏花。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,6
桃岭,http://travel.qunar.com/p-oi38034924-taoling,,,,,5.0,,,具体收费情况以现场公示为主,,7
龙门大峡谷风景区,http://travel.qunar.com/p-oi37545866-longmendaxiagufengjing,"

地址:
安徽省宣城市宁国市方塘乡板桥村三组

", 宁国市龙门大峡谷风景位于省级板桥自然保护区内，驱车驶入皖南川藏线来到这里，有保存较好的原始森林，区内景观丰富，集峰、水、石、花、树、鸟为一体，市探险、休闲、森林浴的好去处。景区内有全程2公里的漂流，有沙滩越野车狂飙，还有正在待建的丛林穿越，自然环境又没水质清澈，让你圆一次回归自然的梦。,全年 08:00-17:00,,5.0,建议游览时间：12小时 - 3天,,,,8
汪溪落花荡自然村,http://travel.qunar.com/p-oi36404117-wangxiluohuadangziran,,,,,5.0,,,具体收费情况以现场公示为主,,9
中津大桥,http://travel.qunar.com/p-oi36388706-zhongjindaqiao,"

地址:
宣城市宁国市怀安大道西侧30米处(万福小学西侧)

",中津大桥位于宣城市宁国市，是连接鸡山村与津南村之间一座古老的石拱桥。,全天24小时,,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,10
