名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
皇藏峪,http://travel.qunar.com/p-oi705185-huangzangyu,"

地址:
安徽省宿州市萧县龙岗山


电话:
0557-5960266

",皇藏峪位于萧县东南20余公里的龙岗山中，为山东古老丘陵的延伸部分，山脉大致南北走向，最高峰海拔374米，一般为100―300米，相对高度20―30米，山顶平缓，山坡较陡。， 黄藏峪原名黄桑峪，因峪内长满黄桑树而得名。汉高祖刘帮称帝前曾因避秦兵追捕而藏身于此，故改名皇藏峪。《汉书地理志》记载：“汉高祖微时常隐芒、砀山间，即此山有皇藏峪，汉高祖避难处”。 皇藏峪为陶墟山系南部的剥蚀低山丘陵，山岩为石灰岩体，有许多天然洞穴及井泉、山石景观）四周峰峦层叠，涧水淙淙。峪中...皇藏峪位于萧县东南20余公里的龙岗山中，为山东古老丘陵的延伸部分，山脉大致南北走向，最高峰海拔374米，一般为100―300米，相对高度20―30米，山顶平缓，山坡较陡。， 黄藏峪原名黄桑峪，因峪内长满黄桑树而得名。汉高祖刘帮称帝前曾因避秦兵追捕而藏身于此，故改名皇藏峪。《汉书地理志》记载：“汉高祖微时常隐芒、砀山间，即此山有皇藏峪，汉高祖避难处”。 皇藏峪为陶墟山系南部的剥蚀低山丘陵，山岩为石灰岩体，有许多天然洞穴及井泉、山石景观）四周峰峦层叠，涧水淙淙。峪中天然森林三千多亩，有146种树木和六百多种草药。在平畴千里的淮北大地，有此高峰幽谷，实为难得，乃是徐淮地区游人间往之地。,8:00-17:00,,5.0,,,20元,,1
宿州美术馆,http://travel.qunar.com/p-oi39411625-suzhoumeishuguan,,,,,5.0,,,,,1
灵璧植物园Lingbi Botanical Garden,http://travel.qunar.com/p-oi35832888-lingbizhiwuyuan,,,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,3
君保山前,http://travel.qunar.com/p-oi35305850-junbaoshanqian,,,,,5.0,,,具体收费情况以现场公示为主,,5
钱曹村Qiancao Village,http://travel.qunar.com/p-oi35297574-qiancaocun,,,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,5
垓下村文化广场Gaixia Village Cultural Square,http://travel.qunar.com/p-oi35287866-gaixiacunwenhuaguangchang,,,,,5.0,,,具体收费情况以现场公示为主,,5
宿州植物公园Suzhouzhiwu Park,http://travel.qunar.com/p-oi35215704-suzhouzhiwugongyuan,,宿州植物公园总体规划分为蔷薇园、芳香植物园、松柏园、岩石园、百草园、竹园、采摘园、水生植物园等，涵盖乔木类、灌木类、草本类、水生植物类、竹类等共292种植物，辅以道路系统、电力系统、给水系统和标识系统等基础设施，共同建构永续的自然环境、打造休闲的旅游环境，致力于为宿州市民提供环境优美的植物公园及休闲旅游的生态场所。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,5
砀山县博物馆Dangshanxian Museum,http://travel.qunar.com/p-oi34272406-dangshanxianbowuguan,,砀山县博物馆共分馆藏文物、非遗、书画三个展厅，馆藏近百件珍贵文物。同时博物馆还是当地人民的文化教育基地，丰富了群众的业余文化生活。,,,5.0,建议游览时间：3小时,,,,6
灵璧县博物馆Lingbixian Museum,http://travel.qunar.com/p-oi34271570-lingbixianbowuguan,"

地址:
宿州市灵璧县奇石文化园内

",灵璧县博物馆位于宿州市灵璧县奇石文化园内，占地面积宽广，馆藏种类丰富，藏品高达四千余件。,全年 周二-周日 8:00-17:00,,5.0,建议游览时间：1小时 - 3小时,,免费,,6
三角洲生态公园Sanjiaozhoushengtai Park,http://travel.qunar.com/p-oi34185709-sanjiaozhoushengtaigong,,三角洲生态公园位于安徽省宿州市，公园建筑面积广，有文化长廊、音乐喷泉广场、宿州欢乐世界、灵璧石园、湖心鸟岛、儿童乐园、高山流水、家庭聚会区域、滨湖休闲等景点，集生态、自然、文化、休闲为一体，交通便利，环境优美。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/3a233595f4e02eaf50b96935ebe1aaea.jpg_480x360x95_72069ff2.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,6
大五柳养蜂场(新二中店)Dawuliu Bee Farm (New No.2 Middle School Store),http://travel.qunar.com/p-oi27337211-dawuliuyangfengchang,,,,,5.0,,,具体收费情况以现场公示为主,,6
萧县黄河故道湿地公园Xiaoxian Huanghe Gudao Wetland Park,http://travel.qunar.com/p-oi19990793-xiaoxianhuanghegudaoshi,,萧县黄河故道湿地公园位于萧县刘套镇，以古黄河河道为基础，属暖温带向亚热带过渡带，这里四季分明，光照充足，雨量适中，吸引大量的候鸟栖息于此，同时这里的植物以及动物也都非常丰富。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
