名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
白鹭保护区,http://travel.qunar.com/p-oi701944-bailubaohuqu,,洪泽农场鸟类自然保护区处于泗洪县东南，处于徐洪河和安东河下游，总面积5.22平方公里，核心区58.4公顷。2001年经江苏省人民政府批准列入洪泽湖湿地升级自然保护区。鸟类保护区季风显著，气候温和、光照充足。湿地常年水深0.6米，水体清澈透明。物种丰富多样，是候鸟、旅鸟适宜栖息的地区。区内有植物110余种、鸟类15目44科194种，占江苏省鸟类资源的一半以上。其中43种为留鸟、100种为候鸟(41种夏候鸟、59种冬候鸟)、51种为旅鸟。鸟类以鹭鸟为主，尤以牛背鹭、池鹭、苍鹭、中白鹭等居...洪泽农场鸟类自然保护区处于泗洪县东南，处于徐洪河和安东河下游，总面积5.22平方公里，核心区58.4公顷。2001年经江苏省人民政府批准列入洪泽湖湿地升级自然保护区。鸟类保护区季风显著，气候温和、光照充足。湿地常年水深0.6米，水体清澈透明。物种丰富多样，是候鸟、旅鸟适宜栖息的地区。区内有植物110余种、鸟类15目44科194种，占江苏省鸟类资源的一半以上。其中43种为留鸟、100种为候鸟(41种夏候鸟、59种冬候鸟)、51种为旅鸟。鸟类以鹭鸟为主，尤以牛背鹭、池鹭、苍鹭、中白鹭等居多。近来更发现了大鸨、白鹳、震旦鸦雀等珍稀鸟类。,,,5.0,,,,,1
洋河股份泗阳基地酒文化旅游区,http://travel.qunar.com/p-oi39409493-yanghegufensiyangjidi,,洋河股份泗阳基地酒文化旅游区位于泗阳县来安古镇，地域酿酒历史悠久，源于秦汉，被誉为“天然粮仓，大汉酒国“。是一个融酿酒历史文化、科普教育、休闲购物为一体的综合型文化旅游景区。,,,5.0,,,,,2
泗阳城市森林公园,http://travel.qunar.com/p-oi38614888-siyangchengshisenlingong,,,,,5.0,,,具体收费情况以现场公示为主,,2
泗阳电视塔,http://travel.qunar.com/p-oi37204449-siyangdianshita,,,,,5.0,,,具体收费情况以现场公示为主,,3
项羽像Statue of Xiang Yu,http://travel.qunar.com/p-oi35215020-xiangyuxiang,,,,https://flight-feed.qunarzz.com/as3/288/image/poi_vishnu/2dcd6b7e-6fe2-48c7-a579-c71185f90972.jpg,5.0,,,,,6
古徐城景区Sihonggu Xucheng Sceneic Area,http://travel.qunar.com/p-oi35214368-guxuchengjingqu,,古徐城宗旨以挖掘并弘扬古徐文化为目标，着力于服务泗洪文化产业、旅游业发展的要求，进一步宣传和展示泗洪县丰厚的历史文化底蕴，逐步提升泗洪县建设文化大县和旅游强县的信心和整体形象。景区更是包括了特色美食街、集市作坊、茶楼酒肆、古徐客栈等商业配套设施。是一个度假旅游的好地方。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,7
沭阳县节庆文化博物馆Shuyangxian Jieqing Culture Museum,http://travel.qunar.com/p-oi34270019-shuyangxianjieqingwen,"

地址:
江苏省沭阳县经济开发区金华路南首

",,暂未开放,,5.0,,,,,7
四季青步行街SiJiQing BuXingJie,http://travel.qunar.com/p-oi24437000-sijiqingbuxingjie,,,,,5.0,,,具体收费情况以现场公示为主,,10
夫子庙（泗阳）Confucius Temple,http://travel.qunar.com/p-oi23344856-fuzimiao,,泗阳夫子庙建于明朝嘉靖九年（1530），此庙有两奇：一奇是其它地方的夫子庙都在城里，唯独泗阳夫子庙在县城北的颜家岗；二奇是其它地方的夫子庙供奉的都是孔子木牌位，唯独泗阳夫子庙供奉的是孔子装金塑像。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,10
三台山森林公园-菩提寺(环山路)San Tai Shan Senlin Gongyuan-Puti Temple (huanshanlu),http://travel.qunar.com/p-oi20013639-santaishansenlingongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,10
