名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
高林山,http://travel.qunar.com/p-oi36259145-gaolinshan,,"高林山位于巢湖，山上景色秀丽、空气清新，很多发电风车分布在山顶，远远望去，非常漂亮，站在山顶，人们还可以眺望城市美景。
",,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,1
龟山塔,http://travel.qunar.com/p-oi39599396-guishanta,,,,,5.0,,,,,2
三公山,http://travel.qunar.com/p-oi39366330-sangongshan,,,,,5.0,,,,,2
矾矿遗址公园,http://travel.qunar.com/p-oi38340440-fankuangyizhigongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,4
庐江水西门,http://travel.qunar.com/p-oi38156203-lujiangshuiximen,,是一条集美食文化休闲于一体的特色商业街，保留了罍+村的特色，展示了庐江的特色文化和市井百态。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,4
大汉塘,http://travel.qunar.com/p-oi37807238-dahantang,,,,,5.0,,,具体收费情况以现场公示为主,,4
半岛花溪景区,http://travel.qunar.com/p-oi36213823-bandaohuaxijingqu,"

地址:
合肥市巢湖市黄麓镇王瞳村


电话:
0551-88565777

",半岛花溪乐园项目隶属于“安徽省金海园农业科技开发有限公司”。该项目分三期建设，目前一期建设包含松鼠部落儿童乐园区，花海观赏区，果园采摘区，农耕文化体验区，军事拓展基地区，餐厅区，户外研学拓展区等七大核心功能区。包含无动力设备和动力设备共计50余项，散落于树林草地间，无动力设备有风车小镇，海盗船，轮胎乐园，种子植物，丛林穿越，萌宠乐园六大区域。动力设备有无轨火车，自控飞机，碰碰船，旋转木马，迷你穿梭，激战鲨鱼岛，碰碰车，雷霆战机等，另有网红项目喊泉，网红桥，七彩滑道，自行恐龙，镜子迷宫，光影裸眼秀，霍比特小屋等。,日场:09:00--18:00：夜场 ：16：30--:22:30,,5.0,建议游览时间：3小时 - 4小时,,{'半岛花溪景区门票成人票\n\n': ['¥19.7起']},,5
运漕古镇Yuncao Ancient Town,http://travel.qunar.com/p-oi35818760-yuncaoguzhen,"

地址:
马鞍山市含山县

", 运漕古镇自然条件优越，古镇内名胜古迹众多，是休闲、写生的文化旅游重要场所。,全年 全天开放,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,6
坝东吴Badongwu Village,http://travel.qunar.com/p-oi35238552-badongwu,,坝东吴的徽式建筑富有历史沧桑感，是一个有文化积淀的地方。,,,5.0,建议游览时间：3天,,,,8
含山博物馆Han Mountain Museum,http://travel.qunar.com/p-oi34272204-hanshanbowuguan,"

地址:
马鞍山市含山县环峰镇清溪路东侧


电话:
0555-4310071

",含山博物馆内共有六个展厅，主楼共有3层，1层和2层为开放展示区、藏品库房区，此外，馆内还有开放式休闲广场。,"全年 周二-周日 8:30-11:30,14:30-17:30",,5.0,建议游览时间：1小时 - 2小时,,免费,,8
华阳洞风景区Huayangdong Sceneic Area,http://travel.qunar.com/p-oi29812437-huayangdongfengjingqu,"

地址:
城东北处7.5公里


电话:
4356300

",,全年 8:00-17:30,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
