名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
中国人民抗日军政大学第七分校,http://travel.qunar.com/p-oi36272957-zhongguorenminkangrijun,,中国人民抗日军政大学第七分校位于庆阳市华池县，是由抗大附属陆军中学、二分校附属中学和三分校组建而成，有着重要的历史纪念意义。,,,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,2
陇东民俗博物馆Qingyangshi Longdong Minsu Museum,http://travel.qunar.com/p-oi34272144-longdongminsubowuguan,"

地址:
西峰区董志镇北门村

",庆阳市陇东民俗博物馆分为展厅，库房，办公用房等区域，展出有剪纸、皮影、木偶、泥塑、农耕器具等藏品。,全年 周二-周日 9:00-17:00,,5.0,建议游览时间：1小时 - 2小时,,免费,,4
庆阳岐黄中医药文化博物馆Qingyang Qihuang Zhongyiyao Culture Museum,http://travel.qunar.com/p-oi34271981-qingyangqihuangzhongyi,"

地址:
庆阳市庆城县庆城镇药王洞村柴家塬畔

",,8：30—12:00  14:30—18:00（周一至周五）10:00—17：00（周末及节假日）,,5.0,,,收费,,4
华池县博物馆Huachixian Museum,http://travel.qunar.com/p-oi34271048-huachixianbowuguan,"

地址:
甘肃省庆阳市华池县东山双塔森林公园

",,全年 周二-周日 9:00-17:00,,5.0,,,免费,,5
泾河特大桥Jinghe River Bridge,http://travel.qunar.com/p-oi23343870-jinghetedaqiao,,,,,5.0,,,,,6
凝寿寺塔Ningshou Pagoda,http://travel.qunar.com/p-oi20940459-ningshousita,,凝寿寺在明代遇山洪摧毁，现仅存这座宝塔，塔的建筑样式别致，经久不衰。是庆阳县内保存比较完整的砖塔。,,,5.0,建议游览时间：2小时,,,,6
湘乐砖塔Xiangyue Tower,http://travel.qunar.com/p-oi20937387-xianglezhuanta,,,,,5.0,建议游览时间：1小时 - 3小时,,具体收费情况以现场公示为主,,6
普照寺广场Puzhao Temple Square,http://travel.qunar.com/p-oi19977349-puzhaosiguangchang,,普照寺广场位于庆城，广场始建于北宋太平兴国年间，距今已有九百多年的历史，因广场在普照寺的旁边而得名，但是，当地人却喜欢称之为中街广场。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,6
庆阳市西峰区博物馆Qingyang Xifeng Museum,http://travel.qunar.com/p-oi19977057-qingyangshixifengqubo,,,,,5.0,,,具体收费情况以现场公示为主,,7
镇原县西区城市公园Zhenyuanxian Xiqu Chengshi Park,http://travel.qunar.com/p-oi19976006-zhenyuanxianxiqucheng,,西区城市公园设有娱乐健身区、儿童活动区、观赏游览区和生态休憩区，园内设置了植物景观、亭廊、景墙、廊桥等小品设施。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,7
军民大生产纪念馆Junminda Shengchan Memorial Hall,http://travel.qunar.com/p-oi19973997-junmindashengchanjinian,,,,,5.0,,,具体收费情况以现场公示为主,,8
周旧邦牌坊Zhoujiubang Memorial Archway,http://travel.qunar.com/p-oi19973873-zhoujiubangpaifang,,,,,5.0,,,,,8
庆阳市祥云民俗博物馆Qingyangshi Xiangyun Minsu Museum,http://travel.qunar.com/p-oi19973338-qingyangshixiangyunmin,,,,,5.0,,,具体收费情况以现场公示为主,,9
天下画廊Tianxia Gallery,http://travel.qunar.com/p-oi19529721-tianxiahualang,,,,,5.0,,,,,10
