名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
吴旗革命旧址Wuqi Revolutionary Site,http://travel.qunar.com/p-oi711358-wuqigemingjiuzhi,"

地址:
延安市吴旗城内砚洼山南麓

",1935年11月下旬，取得了直罗镇战役的胜利，给“党中央把全国革命大本营放在西北的任务，举行了一个奠基礼”。1936年10月，红军三大主力会师西北，从此，宣告了红军长征胜利结束。吴旗镇革命旧址包括毛泽东旧居张闻天旧居等。旧居位于吴旗镇砚洼山麓，分为南北两院。南院为毛泽东旧居，5孔土窑洞列成 排。9孔接石口土窑洞和1排4孔石窑洞，共13孔。两院之间，有石砌过洞相连。为纪念吴旗镇“切尾巴”战斗的胜利，平台山改称胜利山。山之东麓建有革命烈士陵园和烈士纪念塔各1座。建国后，...1935年11月下旬，取得了直罗镇战役的胜利，给“党中央把全国革命大本营放在西北的任务，举行了一个奠基礼”。1936年10月，红军三大主力会师西北，从此，宣告了红军长征胜利结束。吴旗镇革命旧址包括毛泽东旧居张闻天旧居等。旧居位于吴旗镇砚洼山麓，分为南北两院。南院为毛泽东旧居，5孔土窑洞列成 排。9孔接石口土窑洞和1排4孔石窑洞，共13孔。两院之间，有石砌过洞相连。为纪念吴旗镇“切尾巴”战斗的胜利，平台山改称胜利山。山之东麓建有革命烈士陵园和烈士纪念塔各1座。建国后，1966年和1985年人民政府对旧址进行大规模维修。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/53b158338c7f3f0f1a4272ae01cf65ec.jpg_480x360x95_3b35fc86.jpg,5.0,,五月和九月，是延安气温最适合的时间，不凉不热，天气舒爽。,10元,,4
洛川相思湖景区,http://travel.qunar.com/p-oi38949921-luochuanxiangsihujing,,,,,5.0,,,,,6
练兵场,http://travel.qunar.com/p-oi38941825-lianbingchang,,,,,5.0,,,,,6
黄土高原观景台,http://travel.qunar.com/p-oi38035249-huangtugaoyuanguanjing,,,,,5.0,,,具体收费情况以现场公示为主,,7
龙巴沟峡谷,http://travel.qunar.com/p-oi37807063-longbagouxiagu,,,,,5.0,,,具体收费情况以现场公示为主,,7
轩辕庙碑廊,http://travel.qunar.com/p-oi37536363-xuanyuanmiaobeilang,"

地址:
延安市黄陵县210国道与轩辕大道交汇西400米轩辕庙内


电话:
0911-5212742

",轩辕庙碑廊内共存放自北宋嘉佑六年以来御制祝文、重修碑记、名人题刻等67幢。这些石碑生动再现了黄帝在历朝历代和全国各族人民心目中的崇高地位，也真实反映了黄帝陵的建设、发展历史。,全年 07:30-18:30,,5.0,建议游览时间：0.5小时 - 1小时,,包含于轩辕庙景区内，通用于轩辕庙景区门票,,7
碑亭,http://travel.qunar.com/p-oi37534654-beiting,,黄帝陵碑亭内共存放四通石碑，分别刻有在我国近现代史上对中华民族历史产生过巨大影响的四位伟大人物的书文题字。,,,5.0,建议游览时间：0.5小时 - 1小时,,,,8
龙驭阁,http://travel.qunar.com/p-oi37533625-longyuge,"

地址:
延安市黄陵县黄帝陵景区内

",龙驭阁位于延安市黄陵县，高18 米，为五层全现浇钢筋混凝土框架结构仿汉代形式的楼阁。 登高远眺，周围景色尽收眼底。,全年 08:00-18:00,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
龙角柏,http://travel.qunar.com/p-oi37533621-longjiaobo,,盘龙岗处，有两棵无叶古柏立着，其状如龙角，也谓为“龙角柏“。龙角柏树形奇异，因生长于盘龙岗，所以叫它“龙角柏”。这两株柏树树肌按照天道左旋的规律盘旋向上，千年不朽、神奇至极，令人叹为观止。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
汉武仙台,http://travel.qunar.com/p-oi37526649-hanwuxiantai,"

地址:
延安市黄陵县黄帝陵景区内

",,全年 07:30-18:30,,5.0,建议游览时间：0.5小时 - 1小时,,包含于黄帝陵景区内，通用于黄帝陵景区门票,,8
刘志丹故居,http://travel.qunar.com/p-oi36280353-liuzhidanguju,"

地址:
延安市志丹县金丁村芦子沟

",,无固定开放时间，需提前联系文物保护管理员,,5.0,,,具体收费情况以现场公示为主,,8
