名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
北塔寺,http://travel.qunar.com/p-oi707574-beitasi,"

地址:
四川德阳市


电话:
0838-028 86657308

",关于中江白塔寺在中江民间流传着一个优美的故事。传说，宋代有兄妹一人修道得法，神通广大。一日，兄妹云游至中江，正值江河洪水泛滥灾祸连绵。为了拯救百姓，兄妹决定各建塔寺镇水，保一方平安。他们议定：兄建灵皈寺，妹建北山塔，为了不让凡人看见，都在鸡叫前把塔和寺建成。兄妹俩各施法术，连夜动手建造。兄长做事粗心，忙天慌地把寺建好，就到北山去看妹建塔。他见妹正在建成的塔顶上装点奇花异草，知道妹的本领已超过自己，顿起嫉妒之心，便学雄鸡啼鸣。妹听见鸡叫，吓得身子...关于中江白塔寺在中江民间流传着一个优美的故事。传说，宋代有兄妹一人修道得法，神通广大。一日，兄妹云游至中江，正值江河洪水泛滥灾祸连绵。为了拯救百姓，兄妹决定各建塔寺镇水，保一方平安。他们议定：兄建灵皈寺，妹建北山塔，为了不让凡人看见，都在鸡叫前把塔和寺建成。兄妹俩各施法术，连夜动手建造。兄长做事粗心，忙天慌地把寺建好，就到北山去看妹建塔。他见妹正在建成的塔顶上装点奇花异草，知道妹的本领已超过自己，顿起嫉妒之心，便学雄鸡啼鸣。妹听见鸡叫，吓得身子一歪，手中花草抛向凯江，这些花草后来成为中江的特产菊花石，而北塔也随着妹妹的身子长期倾斜。妹舍不得她建的北塔，时常白衣素装，盘膝端坐塔中修炼，得成正果。百姓为了消灾免难，也常到北塔山上去叩见仙姑，请求保佑。因感应十分灵验，后来人们称她为白衣观音，又称她为白塔仙姑。以后每逢正月十一（白塔仙姑生日）和六月十一（白塔仙姑得道日），北塔山上下人山人海，方圆几百里的人们从四面八方赶来，瞻仰仙塔雄姿，祈祷保佑平安，恳求消灾免难。宋末元初，人们曾在北塔山脚下建寺院，内塑白衣观音像，定名白塔寺。后来寺院毁于战乱。1993年，中江县为落实宗教政策，批准复修白塔寺。仅两年多时间，一座崭新的仿古建筑群拔地而起，其规模之大，速度之快，无不令人交口赞叹。仅三年多时间，一座建有五重殿、三幢生活楼、七个亭阁（包括钟鼓楼），总建筑面积5850平方米，规模宏大的仿古建筑群迅速落成。目前，寺院整体气势雄伟，金碧辉煌；寺内雕梁画栋，匾、对林立，庭院开阔，花木丛生，廊回梯连，使游人至此往往流连忘返。 　,9：00－11：00，13：00－16：30，周一、四不开放,https://img1.qunarzz.com/travel/d3/1712/3f/68b849ae786647b5.jpg_480x360x95_80310c38.jpg,5.0,,,10元,,1
德阳灯会,http://travel.qunar.com/p-oi39611933-deyangdenghui,,1996年，德阳灯会以一条长68米、会“游动”的玄珠龙名登吉尼斯世界记录。2001年的冰灯夺人眼球，尽管只是在一间百平米的房子里面简单地制作了几盏冰灯，但足以让很少感受的到冰雪天气的四川人惊喜。灯会每年择址展览，将以传统灯会、灯光秀、水幕投影、裸眼3D特效等方式呈现给大众。,,,5.0,,,,,3
黍森豪丽森林部落,http://travel.qunar.com/p-oi38800876-shusenhaolisenlinbuluo,,地处德阳一环路西一段（扬嘉路口）交通便利环境优美，风景宜人。  园区由森林、小河、恐龙探险岛组成 ，园区占地约100多亩，是德阳大型集生态、娱乐、教育于一体的全年龄层皆可共同参与游玩的户外亲子乐园。  园区的游乐项目多种多样，每一主题的项目针对不同年龄的孩子，如恐龙乐园、萌宠乐园、丛林穿越、百鸟园、射击场、马场、水上乐园、呐喊喷泉、帐篷营地、分子攀爬组合、森林号海盗船、植物迷宫阵、戏沙池、玫瑰园、樱花园等。园区游乐项目建设将会日益扩大和完善，是释放压力，度假休闲，亲子游乐的好去处！    园区具备完善的配套服务设施   如自助烧烤、集装箱超市、棋牌品茗、冷饮小吃等   森林部落将秉承“以顾客满意为中心”，为广大游客朋友们提供舒适的环境，真诚的服务，陪伴您在森林小溪间、蓝天白云下、宽阔草坪上，度过一个愉快的假期！,,,5.0,,,,,4
芳菲山谷,http://travel.qunar.com/p-oi38336824-fangfeishangu,,,,,5.0,,,,,6
庐山公园,http://travel.qunar.com/p-oi38336268-lushangongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,6
西眉湖,http://travel.qunar.com/p-oi38135651-ximeihu,,,,,5.0,,,具体收费情况以现场公示为主,,6
广汉夜市,http://travel.qunar.com/p-oi37806203-guanghanyeshi,,广汉夜市汇集了各种各样的美食，如脆皮五花，铁板豆腐，方酥锅盔等。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,7
中江樱花岭,http://travel.qunar.com/p-oi36417620-zhongjiangyinghualing,"

地址:
德阳市中江县辑庆镇钟楼村


电话:
15281144526

",中江樱花岭位于四川省德阳市中江县辑庆镇，是集苗木种植、乡村旅游和文创为一体的农旅综合项目。樱花岭规划面积1000亩，已完成园区测绘和概念规划工作。历经8年潜心育苗，悉心培育，形成观赏区约400亩，种植各类樱花20余个品种3万余株。樱花岭的樱花花期早，每年12月就有少量开花；二、花期长，从12月持续到次年3月；三、颜色红艳喜庆；四、观赏效果好，先开花，后长叶，满树鲜花，鲜艳夺目。,2019年2月5日-3月31日：9:00-18:00,,5.0,建议游览时间：12小时 - 3天,,20元,,8
德阳灯会Lantern Festival of Deyang,http://travel.qunar.com/p-oi35215875-deyangdenghui,,,,,5.0,,,具体收费情况以现场公示为主,,9
红枫林Red Maple Forest,http://travel.qunar.com/p-oi35215075-hongfenglin,,这里的红枫林层次分明，错落有致，从山底到山峰，千树万叶色彩纷呈。是秋季出游，拍照打卡的理想去处。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,9
