名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
听命湖Obeying Lake,http://travel.qunar.com/p-oi701653-tingminghu,"

地址:
怒江傈僳族自治州泸水县片马东北部

",听命湖位于泸水县片马镇东北部，距离高黎贡山风雪垭口600米，为古冰川侵蚀而成的冰蚀湖。听命湖水温低、海拔高，湖水清澈，水质优良，是听命河的源头。听命湖四周林木茂密，大片的杜鹃花海和原始灌木丛及箭竹林。林中生活着国家保护珍稀动物灰腹角子雉、山驴、金丝猴、小熊猫、羚羊等。湖区的景色随着四季变化而不同。春天，雪山融水汇入湖中，漫山杜鹃点缀四野，这里是野生动物的乐园；夏天，葱绿的林间百花盛开，云海茫茫；秋天，碧蓝的湖水倒映着岸边金黄的树叶，五彩斑斓；冬天，寒凝大地，这里一片宁静。,全天,https://img1.qunarzz.com/travel/poi/1803/7e/f931f659dca3e237.jpg_480x360x95_cb0a0f2c.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
四季桶村,http://travel.qunar.com/p-oi7588323-sijitongcun,"

地址:
怒江傈僳族自治州 贡山独龙族怒族自治县	

",怒江四季桶村隶属于丙中洛乡甲生行政村，属于山区。位于丙中洛乡北边，海拔1625米，年平均气温17℃，年降水量1700毫米，适宜种植玉米等农作物。四季桶村属于绝对贫困村，农民收入主要以种植业为主。,全天,https://img1.qunarzz.com/travel/d9/1501/d1/cb8b4305fc21e.jpg_480x360x95_73005b20.jpg,5.0,建议游览时间：1小时 - 2小时,,免费,,1
罗古箐景区路Luoguqing Scenic Area,http://travel.qunar.com/p-oi708059-luoguqingjingqulu,"

地址:
怒江傈僳族自治州兰坪白族普米族自治县罗古箐公路

", 罗古箐风景名胜区总面积达40多平方公里，主要景观由情人坝普米风情、大洋场高山草甸、罗古箐丹霞石林三个片区组成。,全年 全天开放,,5.0,建议游览时间：4小时 - 5小时,,具体收费情况以现场公示为主,,1
丙中洛茶马驿道,http://travel.qunar.com/p-oi703388-bingzhongluochamayidao,"

地址:
云南怒江贡山县

",丙中洛茶马驿道是一条从贡山通往西藏的人马驿道。驿道穿越青藏高原与云贵高原转换的整个地带。途中地形、地貌独特，风光优美，景色无以伦比，瀑布无数，珍稀生物繁多，且不乏危险。全程步行，约四－五天时间，到达西藏的察瓦洛。该人马驿道是当年解放军进驻西藏的通道之一，在领略风光的同时，可体会到当年进藏大军的艰苦。,全天,,5.0,,,免费,,2
那恰洛峡谷Naqialuo Canyon,http://travel.qunar.com/p-oi23343077-neiqialuoxiagu,,,,https://flight-feed.qunarzz.com/as3/271/image/poi_vishnu/9f2f9192-0d8f-4cad-8da6-65fcee2c30e5.jpg,5.0,,,具体收费情况以现场公示为主,,5
四季桶村Sijitong Village,http://travel.qunar.com/p-oi23341634-sijitongcun,,怒江四季桶村隶属于丙中洛乡甲生行政村，属于山区。位于丙中洛乡北边，海拔1625米，年平均气温17℃，年降水量1700毫米，适宜种植玉米等农作物。四季桶村的农民收入主要以种植业为主。,,,5.0,,,具体收费情况以现场公示为主,,5
独龙江Dulong River,http://travel.qunar.com/p-oi19620345-dulongjiang,"

地址:
云南省贡山独龙族怒族自治县贡山县西北


电话:
+86 886 888 1988

",独龙江位于云南省贡山独龙族怒族自治县贡山县，是横断山脉西部“四江并流”的重要组成部分。,全年 全天开放,,5.0,建议游览时间：12小时,,具体收费情况以现场公示为主,,7
龙泉生态园(分店)Longquan Ecological Park (fen),http://travel.qunar.com/p-oi19523945-longquanshengtaiyuan,,,,,5.0,,,具体收费情况以现场公示为主,,7
金满村Jinman Village,http://travel.qunar.com/p-oi18714486-jinmancun,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/993f9c6e0dbe5f2bcd16e9237c6cb21d.jpg_480x360x95_9ed6506d.jpg,5.0,,,具体收费情况以现场公示为主,,8
滇藏茶马古道Yunnan-Tibet Ancient Tea Horse Road,http://travel.qunar.com/p-oi18713527-dianzangchamagudao,,,,https://img1.qunarzz.com/travel/poi/1803/b7/8d2c52f244f26a37.jpg_480x360x95_c802a7fd.jpg,5.0,,,具体收费情况以现场公示为主,,8
