名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
白马寺,http://travel.qunar.com/p-oi714380-baimasi,,在金溪黄通乡黄通村东南5公里的白马峰上，始建于北宋初年。相传本地一江姓进士隐居家后，在山顶盖起一屋，取名“玉马祠”，后一吴僧在屋旁建起一幢寺庙。一日，吴僧迎来一位身骑白马的道长，二人对话片刻，见栓在寺外的白马腾空而起，道长也无踪无影。于是，吴僧便将此寺命名为“白马寺”。“文革”期间，白马寺被毁。1978年后，白马寺拔地而起。1992年，经县人民政府批准对外开放。新建的白马寺古色古香，寺中大雄宝殿金碧辉煌，寺左石砌“古城”形象逼真。寺东数百步有一悬崖石壁，...在金溪黄通乡黄通村东南5公里的白马峰上，始建于北宋初年。相传本地一江姓进士隐居家后，在山顶盖起一屋，取名“玉马祠”，后一吴僧在屋旁建起一幢寺庙。一日，吴僧迎来一位身骑白马的道长，二人对话片刻，见栓在寺外的白马腾空而起，道长也无踪无影。于是，吴僧便将此寺命名为“白马寺”。“文革”期间，白马寺被毁。1978年后，白马寺拔地而起。1992年，经县人民政府批准对外开放。新建的白马寺古色古香，寺中大雄宝殿金碧辉煌，寺左石砌“古城”形象逼真。寺东数百步有一悬崖石壁，高达数十米，俗称“仙女照镜”。寺后有一棋盘井，终年清泉潺潺，供寺庙烧香待客、僧侣沐浴之用。千变万化的四时景色，以及诸多的美丽传说，每年都要吸引数千名香客游人前往烧香旅游。,,https://img1.qunarzz.com/travel/d1/201407/26/4f3f9a017b0e8167c8d65eac.jpg_480x360x95_36f9b281.jpg,5.0,,,,,1
曾巩读书岩,http://travel.qunar.com/p-oi716288-cenggongdushuyan,,位于南丰县琴城南门，盱水河畔的半山腰。曾巩，江西南丰人，幼年攻读于“读书岩”，为唐宋八大家之一的诗人和散文家。读书岩深丈许，高八尺，宽丈余，天然石室，内有石桌、石凳和小洞，岩前有一块石台，宽阔平坦，石台之上建有亭阁。石柱陶瓦、油漆彩绘、檐牙高矗，民族色彩浓厚。石壁上镌刻着南宋理学家朱熹手书的“书岩”二字。池边石碑上刻着朱熹“墨池”手迹。读书岩前景色秀丽、状观，树掩亭台，红绿相间，盱水西来，倒影如画，美不胜收。1983年值曾巩逝世900周年，在读书岩旁兴...位于南丰县琴城南门，盱水河畔的半山腰。曾巩，江西南丰人，幼年攻读于“读书岩”，为唐宋八大家之一的诗人和散文家。读书岩深丈许，高八尺，宽丈余，天然石室，内有石桌、石凳和小洞，岩前有一块石台，宽阔平坦，石台之上建有亭阁。石柱陶瓦、油漆彩绘、檐牙高矗，民族色彩浓厚。石壁上镌刻着南宋理学家朱熹手书的“书岩”二字。池边石碑上刻着朱熹“墨池”手迹。读书岩前景色秀丽、状观，树掩亭台，红绿相间，盱水西来，倒影如画，美不胜收。1983年值曾巩逝世900周年，在读书岩旁兴建曾巩纪念馆，馆内展示了曾巩生平及主要成就，展品以图片为主，图文并茂，以年谱顺序介绍曾巩一生性情耿介、清廉刚正。有全国各地搜集的有关曾巩拓片、报刊、评介、诗词、散文出版物或复印件等。为纪念这位唐宋八大家人，中国书法家、中国书法家协会主席舒同书写“读书岩”金饰横匾悬挂于正中。,,https://img1.qunarzz.com/travel/d3/1610/7c/67636157010ba6b5.jpg_480x360x95_db8b0ce1.jpg,5.0,,,,,2
仙洞,http://travel.qunar.com/p-oi707516-xiandong,,又名仙岩，位于凤冈镇黄陂桥村附近.系一石山腰有穿洞，游人可进入，内为开阔地。洞穴面积约定40平方米，内有巨石似床、似桌、似棋盘，称“仙人床”、“仙人桌”、“棋盘石”。四周幽静，树竹葱郁。岩内有读书堂，相传宁代政治家王安石曾在此读书。宋嘉泰四年（1204年）县令吴绍刻“读书堂”3字，至今犹存。明代地理学家徐霞客曾在此游览，并在《徐霞客游记》中有如下记载：“岩高峙若列锦屏，上穹下逼，其西垂忽透壁门。穿石而入，则众山内，若另一世界。而是岩甚薄，不特南面壁，而北...又名仙岩，位于凤冈镇黄陂桥村附近.系一石山腰有穿洞，游人可进入，内为开阔地。洞穴面积约定40平方米，内有巨石似床、似桌、似棋盘，称“仙人床”、“仙人桌”、“棋盘石”。四周幽静，树竹葱郁。岩内有读书堂，相传宁代政治家王安石曾在此读书。宋嘉泰四年（1204年）县令吴绍刻“读书堂”3字，至今犹存。明代地理学家徐霞客曾在此游览，并在《徐霞客游记》中有如下记载：“岩高峙若列锦屏，上穹下逼，其西垂忽透壁门。穿石而入，则众山内，若另一世界。而是岩甚薄，不特南面壁，而北面穹复，更奇其穿透之隙，正如度之天岩，亦景之最奇者也。”明代的建有南、北二庙，后废。,,,5.0,,,,,2
水溪村,http://travel.qunar.com/p-oi38945067-shuixicun,,,,,5.0,,,,,3
曹山景区,http://travel.qunar.com/p-oi37554224-caoshanjingqu,"

地址:
江西省抚州市宜黄县曹山景区


官网:
http://www.yhxly.cn/

",曹山景区位于宜黄县城西北8公里处，景区规划总面积约为9平方公里。曹山景区以优越的生态环境为基底，以独有的禅文化为特色支撑，倡导崇尚自然、回归自然、人与自然和谐共生的生活体验。布局漫生活体验区、康疗养生健康区、集散辅助功能区三大旅游功能区，打响“休闲到曹山、享受慢生活”旅游品牌。景区已经建成了中秋小镇、颐艾文养街、本寂广场、无真亭、茗禅茶园、一池三山、智慧心田、竹地行禅、双烛台、中秋运动公园（打造中）等13个景点，让游客多层次、多角度获得崭新的旅游体验。,全年 08:30-17:00,,5.0,建议游览时间：12小时 - 3天,,,,6
唐园,http://travel.qunar.com/p-oi37532180-tangyuan,"

地址:
江西省抚州市南城县株良镇融坊村


电话:
4008787772

",唐园景区一派独具明清特色的古建筑群，古朴流韵，温馨如故。整个唐园，以水和林为中心，山水毗连，花木繁茂，古宅云云，淳朴灿荣，厅榭精美，宁静祥和，曲径通幽，具有浓郁的江南水乡特色。与不远处西汉古邑——南城，遥相呼应，城乡对望。好似一处唇齿相依，和谐相处的江南桃花源。景区集餐饮、观光、休闲游乐、垂钓、采摘、住宿为一体。,全年 08:00-22:00,,5.0,建议游览时间：1小时 - 2小时,,25元,,6
临汝书院,http://travel.qunar.com/p-oi37317043-linrushuyuan,,临汝书院前身为宋代南湖书院 (1249年创立)，曾拥有皇家敕制匾额。由临川区政府、中建五局、前行科创重点打造，占地面积约94.7亩，总建筑面积4.7万平方米，书院内有临川名人馆、临川文脉馆、临川人文精神馆、临川教育馆、书院文化馆等，记载了临川两千年历史文化演变，是临川才子文化的重要窗口和精华所在，是中国最大的宋式书院。临汝书院·临川数字文化产业园将聚集核心文化IP打造，围绕“文、产、教、艺、商”五大功能板块，集文化艺术、数字文化、研学教育、国潮消费、智慧旅游等产业于一体，搭建新国潮创意孵化平台、智慧景区平台等，以“文化+教育+产业”的创新模式带动产业升级，致力于打造临川文化城市地标与产业引擎高地，以科创赋能临川文化与经济融合发展。以文化提升城市文旅内涵，以文旅扩大城市文化传播和消费。,,,5.0,,,,,7
真相乡村旅游区,http://travel.qunar.com/p-oi37295385-zhenxiangxiangcunlu:you,"

地址:
抚州市资溪县乌石镇草坪村


官网:
http://www.zhenxianglv.com/

","真相乡村景区围绕“探寻乡村·体验真相”主题，打造集个性化乡村体验、田园农事参与、乡野食宿感知、特色文化品鉴等为一体的综合性旅游景区，旅游区内拥有“古远新月，畲乡人家”、“古朴草坪，公社人家”两个特色村落。这里有神秘独具的原始畲寨，这里有催人奋进的怀旧公社，更有原汁原味的乡愁记忆。2018年获评江西省5A级乡村旅游点，2019年荣获全国乡村旅游重点村,2020年获评全国4A级旅游区，乐园包括迷宫和儿童乐园，投资300余万元，占地88余亩。整个乐园提倡无动力、融自然、乐亲子的感官体验，以乡村中常见的生态元素—农田、山地、树林、水域、湿地等为基础，融合畲族民俗文化体系，打造沉浸式自然游乐体验乐园。",全年 08:30-17:30,,5.0,建议游览时间：12小时 - 3天,,,,7
德胜农垦小镇Desheng Agricultural Reclamation Town,http://travel.qunar.com/p-oi35193779-deshengnongkenxiaozhen,"

地址:
抚州市黎川县(德胜车站南侧约10米)


电话:
0794-7550289

","德胜关地处武夷山中段西侧，域内山脉纵横叠嶂，在高度海拔150-1350米之间。1933年邵式平组建闽赣苏区，德胜关是闽赣省委、省苏维埃政府所在地。随着中华人民共和国的诞生，这块红色土地，旧貌换新颜，特别是一九五七年创办全省国营林牧农综合垦殖场，其中就有德胜关垦殖场，一大批国家干部、工人、转业军官、上海、扬州等地青年，响应党的号召，告别城市、军营、父母，沿着当年红军的足迹，来到这秀丽的群山之中，开发山区、建设山区，创办了江西省国营德胜关综合垦殖场。
上世纪八十年代，关上村已旧貌换新颜，总场大楼、机关食堂、宾馆招待所、灯光球场、电影院，文化馆，广播站、医院学校、银行邮电、粮所饭店、商店小吃、应有尽有，白天行人如织，入夜灯光璀灿，人称“黎川小上海，德胜南京路”！
现在的德胜农垦小镇不仅可以看到上个世纪父辈们挥洒汗水和热血的历史文化，走进德胜农垦广场学习垦荒前辈们甘愿吃苦、艰苦创业、敢为人先、乐于奉献的农垦精神，参观农垦记忆馆和农耕记忆馆见证老一辈知青回到乡村艰苦创业的辛路历程。更有德胜关怀旧电影院带你走进“黎川小上海”体验那个年代多姿多彩的生活。之后可以参观在第二次国内革命战争时期中央苏区的重要组成部分，第五次反“围剿”时期的主战场德胜关苏维埃旧址附近建立的德胜户外拓展训练基地。",全年 08:00-17:30,,5.0,建议游览时间：12小时 - 3天,,无需大门票，内部游玩项目单独收费,,9
金溪县浒湾雕版印刷博物馆Jinxixian Huwan Diaoban Yinshua Museum,http://travel.qunar.com/p-oi34273675-jinxixianhuwandiaoban,"

地址:
金溪县浒湾古镇前书街中部

",,全年 全天开放,,5.0,,,免费,,9
