名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
刘庄,http://travel.qunar.com/p-oi705301-liuzhuang,,"河南省新乡刘庄七里营镇刘庄,地处豫北黄河故道,北依太行,南临黄河,紧靠107国道,距新乡市25公里.全村现有355户,1641亩耕地．如今的刘庄初步实现了农村工业化,农业现代化,经济市场化,农民知识化,生活城市化,全国农村旅游示范点和河南省旅游景点之一.20世纪80年代刘庄率先实现小康，20世纪90年代开始向现代化逼进，家家有空调、彩电、冰箱、洗衣机、摩托车等全套电器，还享受 住房、上学、医院等10多项福利，同时还不断满足群众的精神文化需求。2003年，工农企业产值达9亿元，资产负在...河南省新乡刘庄七里营镇刘庄,地处豫北黄河故道,北依太行,南临黄河,紧靠107国道,距新乡市25公里.全村现有355户,1641亩耕地．如今的刘庄初步实现了农村工业化,农业现代化,经济市场化,农民知识化,生活城市化,全国农村旅游示范点和河南省旅游景点之一.20世纪80年代刘庄率先实现小康，20世纪90年代开始向现代化逼进，家家有空调、彩电、冰箱、洗衣机、摩托车等全套电器，还享受 住房、上学、医院等10多项福利，同时还不断满足群众的精神文化需求。2003年，工农企业产值达9亿元，资产负在债率小于4%，出口创汇3487万美元，上缴税金5546万元，户均存款20万元以上，全村物资生活富裕，生活丰富充实。刘庄村民紧紧围绕在史书记周围，团结一致，有决心，有信心，完成老书记勾画的宏伟蓝图，走新型工业化强村富民之路，把刘庄建设得更加美好。广大游客浏览刘庄之后会收到洗礼心灵、升华感情、陶冶情操的效果，愿广大游客乘兴而来，满意而归。",,https://img1.qunarzz.com/piao/fusion/1512/a0/2eb61f67eaa7cf7.jpg_480x360x95_0a9a83ff.jpg,5.0,,,,,1
中国烹饪文化博物馆,http://travel.qunar.com/p-oi7527481-zhongguopengrenwenhua,,博物馆坐落在长垣县食博园内，布展以烹饪历史为主线，以声光电、三维动画、视频播放、电子互动等高科技为手段，以历史场景复原、文物实物陈列、历史人物介绍为内容。中国烹饪文化博物馆的建设，不但填补了中国烹饪文化主题博物馆的空白，更是长垣县县文化事业、烹饪产业发展史上的“里程碑”。中国烹饪文化博物馆位于河南省长垣县食博园，博物馆于2012年6月28日开工建设，2012年12月底建成，总投资5000万元，是中国大陆首家以中国烹饪文化为主题的博物馆，馆内共展出文物240余件，总面...博物馆坐落在长垣县食博园内，布展以烹饪历史为主线，以声光电、三维动画、视频播放、电子互动等高科技为手段，以历史场景复原、文物实物陈列、历史人物介绍为内容。中国烹饪文化博物馆的建设，不但填补了中国烹饪文化主题博物馆的空白，更是长垣县县文化事业、烹饪产业发展史上的“里程碑”。中国烹饪文化博物馆位于河南省长垣县食博园，博物馆于2012年6月28日开工建设，2012年12月底建成，总投资5000万元，是中国大陆首家以中国烹饪文化为主题的博物馆，馆内共展出文物240余件，总面积5400平方米，占文博中心南半部的第一、二、三层楼。共分为五个展厅，第一展厅：烹饪文化的历史发展厅；第二展厅：烹饪文化的味觉艺术厅；第三展厅：烹饪文化的科学厅；第四展厅：烹饪文化的筵席艺术厅；第五展厅：烹饪文化大师厅，馆内展陈运用场景复原、文物展示、艺术陈列、多媒体演绎多种方式向人们展示中国烹饪文化的博大精深。长垣自古就有尚厨之风，以厨师众多、技艺精湛著称于世。早在北宋时期，就形成了宫廷菜、官府菜、市肆菜、寺庵菜和民间菜五大体系，在烹饪历史上独树一帜。如今，长垣厨师更是遍布世界各地，烹饪业已经成为长垣经济发展的重要支柱产业。2003年中国烹饪协会正式发文命名长垣为“中国厨师之乡”。,,https://img1.qunarzz.com/travel/poi/1411/fa/fad9e905aec5befd213a9cdb.jpg_480x360x95_0c9a31b6.jpg,5.0,建议游览时间：0.5小时,,,,1
七里营镇龙泉村,http://travel.qunar.com/p-oi706062-qiliyingzhenlongquancun,,七里营镇龙泉村，位于新乡市区西南10公里处。全村有756户，3456口人，161．8公顷耕地。新修的龙泉大道穿村境而过，人民胜利渠和东三干渠从东、西、北三面环绕。区位优势明显，水利条件优越，交通便利。龙泉村党委书记梁修昌，1971年9月任大队党支部副书记兼大队长起，带领群众全力以赴抓农业，办工业，使集体经济不断壮大，群众生活率先在新乡县步入小康行列。在坚持物质文明建设的同时，精神文明建设也取得了累累硕果。经过规划建设的龙泉村，已是街道宽敞干净，楼房排列向阳，环境...七里营镇龙泉村，位于新乡市区西南10公里处。全村有756户，3456口人，161．8公顷耕地。新修的龙泉大道穿村境而过，人民胜利渠和东三干渠从东、西、北三面环绕。区位优势明显，水利条件优越，交通便利。龙泉村党委书记梁修昌，1971年9月任大队党支部副书记兼大队长起，带领群众全力以赴抓农业，办工业，使集体经济不断壮大，群众生活率先在新乡县步入小康行列。在坚持物质文明建设的同时，精神文明建设也取得了累累硕果。经过规划建设的龙泉村，已是街道宽敞干净，楼房排列向阳，环境优美，四季长青。龙泉村，1992年被市命名为小康示范村，1994年被省命名为明星村，2000年被中央文明委命名为文明村；还先后荣获省、市、县农村思想政治工作先进单位、普法先进村、发展乡镇企业先进村、五好村党支部等荣誉。村党委书记梁修昌先后荣获省、市劳动模范、优秀农民企业家、优秀党支部书记等称号。龙泉村，成为名副其实的文明富裕村。,,https://img1.qunarzz.com/piao/fusion/1912/86/f7d0e76a39c34e02.jpg_480x360x95_275b3ced.jpg,5.0,,,,,2
夏荷公园Xiahe Park,http://travel.qunar.com/p-oi37203575-xiahegongyuan,,夏荷公园位于新乡市卫滨区，公园内以水景为主，伴有人工湖、欧式凉亭、观景桥等景观，垂柳随风摇曳、荷花争奇斗艳，景色优美。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,5
医学博物馆China Museum of Medical Sciences,http://travel.qunar.com/p-oi35762212-yixuebowuguan,,"中国医学博物馆位于华夏文明的发源地中原河南，由驼人集团于2013年开始筹建，2015年3月正式对外开放，是一所独立的、非营利性的民办非企业单位，已于2017年3月取得正式注册证。2018年被评为“国家3A旅游景区”。医学博物馆是一个全门类医学专题博物馆，它旨在挖掘、抢救、保护中国医学历史发展过程中的物证史料，弘扬博大精深的医学文化，致力将其打造成中国医学培训、医学教育及医疗行业交流的平台。
医学博物馆共设有“医学历史馆”、“中国麻醉博物馆”、“中国护理史馆”、“医学专题馆”、“中国医疗卫生发展史馆”、“血液净化史馆”及“企业文化馆”七个分馆。展馆总面积6000平方米，馆藏展品8000余件，采用不同的展示方式并结合了现代化展示手段，真实、生动地向世人讲述了中国医学和各专业学科的发展故事，使参观者穿越于不同时期的医学场景中，用全新的方式诠释了中国医学史实和文化。",,,5.0,建议游览时间：1小时 - 3小时,,具体收费情况以现场公示为主,,6
方山Fangshan Scenic Area,http://travel.qunar.com/p-oi35215726-fangshan,,方山风景区位于河南省辉县市，景区内以方山为主峰，山峦叠翠，植被覆盖率高，风景秀丽。目前，景区内挖掘了山洞，修建了河渠、注水池，种植了大型果林，开设了索道等游玩项目。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,7
延津县博物馆Yanjinxian Museum,http://travel.qunar.com/p-oi34271580-yanjinxianbowuguan,,,,,5.0,,,免费,,8
汉风博物馆Hanfeng Museum,http://travel.qunar.com/p-oi34270188-hanfengbowuguan,,,,,5.0,,,免费,,8
博浪沙森林公园Bolangsha Forest Park,http://travel.qunar.com/p-oi28709386-bolangshasenlingongyuan,"

地址:
新乡市原阳县平原新区黄河北岸

",博浪沙森林公园内有佤族野人表演，房车帐篷露营，稻草迷宫，赏槐花，美食节，人兔大战等休闲娱乐项目。,全年 8:30-18:00,,5.0,,,具体收费情况以现场公示为主,,9
新乡博物馆Xinxiang Museum,http://travel.qunar.com/p-oi27338977-xinxiangbowuguan,"

地址:
河南省新乡市红旗区和平路367号


电话:
+86 373 285 8900

",新乡博物馆是集收藏、科普、教育等功能于一体的综合性历史博物馆。馆内藏品众多，展览精彩。,全年 8:00-18:00,,5.0,建议游览时间：2小时 - 3小时,,,,9
