名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
杨莫岭森林公园,http://travel.qunar.com/p-oi709067-yangmolingsenlingongyuan,,杨莫岭森林公园位于山西省朔州市山阴县马营庄乡地处山阴县东南部，东邻应县，西连本县后所乡，北毗本县古城镇，南接忻州市代县。距朔州市50公里，距大同市80公里，距太原市200公里，距首都北京400公里。杨莫岭森林公园地势南高北低，南部为山坡区，地质古老，属恒山剥蚀断块高中山区，太古界变质火山岩沉积岩地层，中、北部为平川区，为典型的温带大陆性季风气候，年平均降水量500毫米，年平均气温8.3℃，地下水源十分丰富，光照充足，无霜期为130天，主要动物有13目，25科，主要植...杨莫岭森林公园位于山西省朔州市山阴县马营庄乡地处山阴县东南部，东邻应县，西连本县后所乡，北毗本县古城镇，南接忻州市代县。距朔州市50公里，距大同市80公里，距太原市200公里，距首都北京400公里。杨莫岭森林公园地势南高北低，南部为山坡区，地质古老，属恒山剥蚀断块高中山区，太古界变质火山岩沉积岩地层，中、北部为平川区，为典型的温带大陆性季风气候，年平均降水量500毫米，年平均气温8.3℃，地下水源十分丰富，光照充足，无霜期为130天，主要动物有13目，25科，主要植物有42科、90属、195种。境内泉水涌现，溪流不断，水中富含多种微量元素，极具开发价值。南部山区的省级生态公园杨莫岭森林公园原生态自然景观富有，山高水长，风景秀丽。,,,5.0,,,,,1
丹阳王墓,http://travel.qunar.com/p-oi703656-danyangwangmu,,丹阳王墓位于怀仁县城北4公里的大运公路边。《怀仁县志》记载墓主人是丹阳王叔孙建，但无确凿史料及出土文物为证。建造年代当是北魏无疑。该墓分墓道、甬道、前室、后室和东西侧室。墓室平面均呈弧边长方形，四角攒尖顶，墓室高7．2米，墓室面积前后室为8平方米，东西侧室为28平方米。墓室内有少量的砖，砖的了头制有阳文魏体“丹扬王墓砖”五字。四条甬道壁及前后甬道、前后室的地面都是考古资料上未见的花纹砖。花纹有类似宝相花瑞兽，各种忍冬，变形龙、凤，武士纹等共15种类型。...丹阳王墓位于怀仁县城北4公里的大运公路边。《怀仁县志》记载墓主人是丹阳王叔孙建，但无确凿史料及出土文物为证。建造年代当是北魏无疑。该墓分墓道、甬道、前室、后室和东西侧室。墓室平面均呈弧边长方形，四角攒尖顶，墓室高7．2米，墓室面积前后室为8平方米，东西侧室为28平方米。墓室内有少量的砖，砖的了头制有阳文魏体“丹扬王墓砖”五字。四条甬道壁及前后甬道、前后室的地面都是考古资料上未见的花纹砖。花纹有类似宝相花瑞兽，各种忍冬，变形龙、凤，武士纹等共15种类型。在墓道和甬道交接处两边各有1．5平方米的壁画。绘着三面六臂手持异形武器的武士、瑞兽、花卉等。1994年在省、市考古部门的支持下，该墓已全部复原。,,,5.0,,,,,1
广武汉墓Han Tombs at Guangwu,http://travel.qunar.com/p-oi35216103-guangwuhanmu,,     位于山阴县西南，旧广武与新广武城之北，共有288座。整个墓群南依群山，北连朔州平川，从南向北俯瞰，由高到低，大小不一的封土堆星罗棋布。其规模之大、数量之多。988年被列为全国文物保护单位，并在汉墓群南端修建了广武汉墓群保管所。    广武墓群从墓群西北端被水冲塌的四座墓室看，为砖室墓，出土的文物有陶壶、陶罐、陶钵、陶奁及五铢钱等，从墓的形状和出土文物考证：当为东汉时期。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,4
平鲁区博物馆Pingluqu Museum,http://travel.qunar.com/p-oi34272513-pingluqubowuguan,"

地址:
平鲁区文昌东街3号

",,全年 周二-周日 9:00-17:00,,5.0,,,免费,,4
山阴湿地公园Shanyin Wetland Park,http://travel.qunar.com/p-oi20978033-shanyinshidigongyuan,,山阴县湿地公园位于山西省朔州市山阴县，是当地政府花了10几亿打造的湿地公园，环境清新优美，很适合带孩子游玩，公园内可以划船、喂鱼、骑单车。拍照也很美。晚上来这里注意做好防蚊措施。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/744d080442cedacabfbe4e991b230dc2.jpg_480x360x95_b08938cd.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,5
怀仁天竺禅寺Huairen Tianzhuchan Temple,http://travel.qunar.com/p-oi19967908-huairentianzhushansi,,,,,5.0,,,具体收费情况以现场公示为主,,7
怀仁市金沙滩生态旅游区崇国寺Huairenxian Jin Shatan Shengtai Lvyou Quchongguo Temple,http://travel.qunar.com/p-oi19967890-huairenshijinshatansheng,,金沙滩生态旅游区位于怀仁县城西20公里处。旅游区主要涵盖金沙滩镇、何家堡乡，包括金沙滩林区和洪涛山林区。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/409496f8aef9769f20259bdcd20e5982.jpg_480x360x95_25f9c447.jpg,5.0,建议游览时间：2小时,,,,7
清宁公园Qingning Park,http://travel.qunar.com/p-oi19967874-qingninggongyuan,,,,,5.0,,,,,8
北齐古城墙遗址Beiqigu Chengqiang Ruins,http://travel.qunar.com/p-oi19967847-beiqiguchengqiangyizhi,,北齐古城墙遗址位于朔州，秦始皇三十二年蒙恬在此筑城养马，抗击匈奴，残垣高6至10米，夯窝密集，夯窝直径约为2厘米，夯层内夹有大量的汉代陶片及布纹板瓦和绳纹筒瓦等。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/bf1342ce0d04643ec49be34220c9fb4d.jpg_480x360x95_9b7ecf1f.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
应县图书馆Yingxian Library,http://travel.qunar.com/p-oi19519275-yingxiantushuguan,,,,,5.0,,,具体收费情况以现场公示为主,,9
