名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
老秃顶自然保护区,http://travel.qunar.com/p-oi706693-laotudingziranbaohuqu,"

地址:
中国辽宁省本溪市桓仁县境内

",老秃顶是“辽宁屋脊”，省级自然保护区。位于桓仁县境内，属长白山脉。主峰海拔一千三百二十五公尺，面积七万二千亩，山顶气候寒冷，草木低矮，似龙爪状，故名老秃顶，但山腰森林茂密，有原始林。林中，有柞、桦、楸、椴、松、枫、槐、曲柳等树种，木材蓄积量约十万立方米。峻岭丛林之中有野猪、狐狸、狍、獾、黑熊、戴腾鸟等珍贵动物，人参、党参、细辛、五味子等多种多贵中药材和各种山菜、山果。一九三五年，东北著名抗日英雄杨靖宇曾在这里建立根据地，遗址尚存。,8：00—18：00,https://img1.qunarzz.com/travel/d4/1501/8c/0815bfa1a85d42.jpg_480x360x95_ee5af249.jpg,5.0,,,40元,,1
青云山风景区,http://travel.qunar.com/p-oi38336146-qingyunshanfengjingqu,, ,,,5.0,,,,,3
野山参博物馆,http://travel.qunar.com/p-oi37161624-yeshancanbowuguan,"

地址:
本溪市桓仁满族自治县南江大桥


电话:
15841407677

","了解人参的生长分布及生长过程、学习如何鉴别野山参，人参生长的各种形态，世界各种类别人参的区别，人参的功效，适用人群，上古时代人参的传奇故事，古代食用方法及现代人参无菌加工生产工艺，在了解了人参的基本知识后，来到放山文化馆，感受中国传承百年的采参文化。弘扬”老把头“精神，倾听老把头的故事，了解如何挖参，参帮规矩等相关科普知识；
",全年 08:00-18:00,,5.0,建议游览时间：2小时 - 3小时,,30元,,4
建州女真历史陈列馆,http://travel.qunar.com/p-oi36800077-jianzhounu:zhenlishichen,"

地址:
本溪市桓仁满族自治县五女山停车场出口右转100米

",建州女真历史陈列馆位于世界文化遗产五女山山城脚下，2017年7月10日开工兴建，2018年9月30日建成对外开放。陈列馆建筑面积3483平方米，展陈面积2800平方米，分为主题展厅“建州雄风——桓仁满族历史与民俗陈列展”与附属展厅“瓷韵悠扬——桓仁文物局藏朝鲜半岛瓷器精品展”两大区域，共展出文物及民俗物品1300余件。此外，陈列馆建有两个附属展厅，各为259平方米，分别展示了桓仁非物质文化遗产和满族婚俗等内容。主题展厅一楼通过图文展板、场景复原、人物雕塑及多媒体演绎等表现形式，记述了满族先世建州女真的由来，以及南迁桓仁238年发展壮大的历史。以大量史实证明，桓仁建州女真为统一东北女真族，建立后金政权，创立清王朝立下卓越功勋，桓仁是清王朝肇兴之地。主题展厅二楼以满族民居场景复原为主体，通过服饰用具陈列等形式，充分展示了满族渔猎祭祀、婚丧嫁娶、萨满信仰等独特的民风民俗。附属展厅位于三楼，展出桓仁文物局收藏的朝鲜半岛高丽和李朝时期瓷器百余件。通过展览，从中可以看到朝鲜半岛制瓷技艺受中国的影响与本土文化的有机融合。建州女真历史陈列馆的建成，不仅成为建州女真文化传承的有效载体，桓仁旅游发展、民俗文化象征的新地标，随着附属设施的兴建，也将成为东北具有鲜明民族文化特色的休闲旅游区。,全年 08:00-16:00,,5.0,建议游览时间：1小时 - 2小时,,25元,,4
龙山泉啤酒厂,http://travel.qunar.com/p-oi36141554-longshanquanpijiuchang,"

地址:
本溪市明山区牛心台镇滨河南路2058


电话:
024-44598999,024-44715800

",在啤酒厂可以看到生产啤酒所用到的储酒罐，也可以对啤酒的生产的过程有一定的了解。,需提前预约时间,,5.0,建议游览时间：0.5小时 - 1小时,,需提前预约。,,4
本溪满族自治县杨靖宇纪念馆Benxi Manzu Zizhixian Yangjingyu Memorial Hall,http://travel.qunar.com/p-oi34274043-benximanzuzizhixianyang,"

地址:
本溪县草河掌镇汤沟疗养区

",该纪念馆位于草河掌镇汤沟，展厅共有6个展室，陈列主要以杨将军生平、摩天岭大捷、抗联第一次西征会议等抗击日本侵略者的历史史实为主题。,全年 9:00-17:00,,5.0,建议游览时间：1小时 - 2小时,,免费,,5
"本溪水洞风景区-观景台Observation Deck, Benxi Water Cave Scenic Area",http://travel.qunar.com/p-oi32456630-benxishuidongfengjing,,登上观景台，游客可以欣赏到更多的本溪水洞独特的风景。每个景点都使游客流连忘返。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/2ea2a04ed3535aa9b8ca04187f78a7b1.jpg_480x360x95_b77fc5fd.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,5
桓仁满族自治县商业步行街Huanren County ShangYe BuXingJie,http://travel.qunar.com/p-oi24439567-huanrenmanzuzizhixian,,,,,5.0,,,具体收费情况以现场公示为主,,7
老秃顶子国家级自然保护区Laotudingzi National Nature Reserve,http://travel.qunar.com/p-oi24409554-laotudingziguojiajizi,"

地址:
本溪市桓仁满族自治县木盂子暖河子村


电话:
024-48229555

",老秃顶子自然保护区占地面积高达一万多公顷，山势蜿蜒曲折，沟壑纵横，主要保护对象是森林生态系统及野生动植物资源。保护区内珍稀动植物种类繁多，还有云天瀑布、百瀑川、蟾蜍石、盘龙腾、抗联司令部、兵工厂、练兵场等景观。,全年 8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/62997a6f1ec40f62afe3415a84f4bfc8.jpg_480x360x95_44bf24a6.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,7
本溪市虹鳟鱼良种场Oncorhynchus Mykiss Seed Field of Benxi,http://travel.qunar.com/p-oi20940447-benxishihongzunyuliang,"

地址:
辽宁省本溪市南芬区思山岭乡

",,全年 8:00-18:00,,5.0,建议游览时间：2小时,,具体收费情况以现场公示为主,,8
