名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
罗什寺塔,http://travel.qunar.com/p-oi716387-luoshensita,,矗立在武威北大街，是为了纪念鸠摩罗什在武成弘扬佛法、翻译经典的功绩而建造的。罗什寺塔最早建于后凉(386―402)，唐时曾大力扩建，明、清皆有修葺。其间于明代成为陕西凉州大寺院，英宗正统十年二月十五日，为罗什寺院颁发了大藏经。并下了圣谕，谕中道：“刊印大藏经，颁赐天下，用广流传，兹以一藏，安置陕西凉州大寺院，永充供养。”此谕现完好保存于武威市博物馆。清康熙二十六《重修罗什寺碑记》载，经过重修的罗什寺“前后三院，焕然一新，乃五凉之福地；壮丽改观，诚河西之胜...矗立在武威北大街，是为了纪念鸠摩罗什在武成弘扬佛法、翻译经典的功绩而建造的。罗什寺塔最早建于后凉(386―402)，唐时曾大力扩建，明、清皆有修葺。其间于明代成为陕西凉州大寺院，英宗正统十年二月十五日，为罗什寺院颁发了大藏经。并下了圣谕，谕中道：“刊印大藏经，颁赐天下，用广流传，兹以一藏，安置陕西凉州大寺院，永充供养。”此谕现完好保存于武威市博物馆。清康熙二十六《重修罗什寺碑记》载，经过重修的罗什寺“前后三院，焕然一新，乃五凉之福地；壮丽改观，诚河西之胜地也”。现存罗什寺塔八角十二层，高32米，全以条形方砖砌成。从下起第三、五、八层均没门，顶部是葫芦形的铜质宝瓶，最上层东西各有小佛龛，龛内有佛像，据说是真金的。,,https://img1.qunarzz.com/piao/fusion/1805/2d/85bcba0eed283f02.jpg_480x360x95_962d86af.jpg,5.0,,,,,1
凉州植物园,http://travel.qunar.com/p-oi38337315-liangzhouzhiwuyuan,,,,,5.0,,,,,3
天祝县小三峡,http://travel.qunar.com/p-oi38334989-tianzhuxianxiaosanxia,,,,,5.0,,,具体收费情况以现场公示为主,,3
盛大水汇,http://travel.qunar.com/p-oi37996333-shengdashuihui,"

地址:
武威市凉州区盛大汽贸城8号楼

",武威水乐汇——盛大汗蒸游泳休闲广场是一家集洗浴、温泉、游泳、水上乐园、汗蒸等健康养生娱乐综合体，营业面积近6000平米，位于武威市凉州区盛大汽贸城内。水汇是由个人独资创建，2000万重金引进国内领先技术的水处理系统，使水质达到国内高端要求，引进专业团队管理运营，只为给客户最美好的体验。贴近自然、靠近生活。公司力求完美，引领武威沐浴行业。,全年 全天开放,,5.0,建议游览时间：1小时 - 2小时,,,,4
武威海洋世界,http://travel.qunar.com/p-oi36197811-wuweihaiyangshijie,"

地址:
武威市凉州区天丰街星光购物广场C栋1层

",这里突破传统水族馆的规划理念，并参考主题游乐园游乐模式，让游览游乐并行。根据游客特别是儿童心理特征设计，通过科学的立体组合，集娱乐、互动、科普、游览为一体，让游客在游览过程中观赏各种奇趣的海洋生物的同时，学习到丰富的海洋生物知识。馆内共设置了7大展区，包括热带海洋区、河流湖泊区、梦幻水母区、海底潜游区、冰河世纪区、沙滩海洋区、热带雨林区等区域，各展区各具特色，为市民和游客营造了一个奇幻而妙趣横生的海洋世界。馆内展示有500多种一万多尾（只）极地海洋动物，通过丰富的鱼类展示、珍贵濒危物种的保护宣传，以及精彩的海洋动物表演和各种科普活动，向游客介绍极地海洋动物的知识，讲述海的故事，倡导环保意识。,营业状态调整频繁，建议提前咨询景区。 开放时间：全年 10:00-21:00,,5.0,建议游览时间：2小时 - 3小时,,89元,,4
大鄂博Daebo Village,http://travel.qunar.com/p-oi35384505-daebo,,,,,5.0,,,具体收费情况以现场公示为主,,5
"武威市民勤县圣容寺Shengrong Temple, Minqin County, Wuwei City",http://travel.qunar.com/p-oi35316546-wuweishiminqinxiansheng,,,,,5.0,,,具体收费情况以现场公示为主,,5
凉州战役纪念馆Liangzhouzhanyi Memorial Hall,http://travel.qunar.com/p-oi34270931-liangzhouzhanyijinian,"

地址:
凉州区永丰镇四十里堡村


电话:
0935-5815133

",,全年 9:00-17:00,,5.0,,,免费,,6
民勤防沙治沙纪念馆Minqin Fangsha Zhisha Memorial Hall,http://travel.qunar.com/p-oi34270453-minqinfangshazhishaji,"

地址:
民勤县薛百镇宋和村

",,"全年 周二-周日 8:30-12:00,14:30-18:00",,5.0,,,免费,,6
"“凉州会谈”纪念馆""Liangzhou Huitan"" Memorial Hall",http://travel.qunar.com/p-oi34270403-liangzhouhuitanjinian,,,,,5.0,,,免费,,7
