名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
南海寺Nanhai Temple,http://travel.qunar.com/p-oi23344075-nanhaisi,,南海寺面朝大海。南海寺的任何一处，都能看到巨大的水花在岩石上的美景。观音阁是南海寺的中心建筑。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/4822743b013eeb6986ebecf83403eebd.jpg_480x360x95_b8d87869.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,1
围龙屋,http://travel.qunar.com/p-oi708603-weilongwu,,围龙屋属县二级旅游景点，是陆河县唯一保存基本完好的围龙屋。位于水唇镇墩子寨，陆五公路旁。建于乾隆十三年，至今已有340年的历史，大屋构建于一小龟山上，占地10余亩，呈椭圆形，中间高，四周低，周围是池塘，似龟游湖，房屋的格局似龟背纹；最令人津津乐道的有二奇。一为门坎，东西门的门坎都是天然生就。前为青条石，后为朱砂石，一样长，一样高，连水平高度也大致相当。天然生就的石条不用一锤一凿，便形成且被十分讲究风水的先民看中，恰好成了东西门坎；二是古井，古井位于屋...围龙屋属县二级旅游景点，是陆河县唯一保存基本完好的围龙屋。位于水唇镇墩子寨，陆五公路旁。建于乾隆十三年，至今已有340年的历史，大屋构建于一小龟山上，占地10余亩，呈椭圆形，中间高，四周低，周围是池塘，似龟游湖，房屋的格局似龟背纹；最令人津津乐道的有二奇。一为门坎，东西门的门坎都是天然生就。前为青条石，后为朱砂石，一样长，一样高，连水平高度也大致相当。天然生就的石条不用一锤一凿，便形成且被十分讲究风水的先民看中，恰好成了东西门坎；二是古井，古井位于屋外池塘边，它有四奇：一是出污泥而不染，古井周围是污泥塘，但二米见深的井水一尘不染清澈见底，污水不能入侵；二是逢大雨塘水溢过井面，此时井水汩汩而出，不让污水沾染；三是永不干涸，井水长期供全村千余人口饮用，长年不干涸；四是井水水面高于池塘水面，而水也不溢出。据考证，围龙屋是客家先民从中原迁至赣闽粤之后为抵御外敌而兴建的一种集实用性，科学性，艺术性于一体的的独特建筑，它完全按龟背纹来设计，结构完美，气势恢宏，堪称中华民族建筑史上的经典之作，博得各国建筑专家的喝彩，被誉为：“外星人的建筑”。,,https://img1.qunarzz.com/travel/d3/1604/80/26090e62517fd3f7.jpg_480x360x95_b1bc1702.jpg,5.0,,,,,2
云莲寺,http://travel.qunar.com/p-oi38340025-yunliansi,,,,,5.0,,,具体收费情况以现场公示为主,,5
陆河世外梅园景区,http://travel.qunar.com/p-oi37805985-luheshiwaimeiyuanjing,,陆河世外梅园景区位于汕头，这里的主要景点有雷打石、风响石、迎客松、红椎林、剑劈石、十里花溪、古梅园栈道和兔兔欢乐园等，迷人的景色、清新的空气，吸引了很多人来此摄影写生。,,,5.0,,,具体收费情况以现场公示为主,,7
小岛渔业村,http://travel.qunar.com/p-oi36680733-xiaodaoyuyecun,,小岛渔业村因地处于汕尾城区品清湖之中的海岛取名小岛村。该村为海中小岛，建与清乾隆年间。小岛上现在建有环岛栈道、山道、观景平台等工程。 美丽而原生态自然风光，是人们休闲旅游的好去处。,,,5.0,建议游览时间：1小时 - 2小时,,,,7
天子山农业公园Tianzishan Agricultural Park,http://travel.qunar.com/p-oi35306897-tianzishannongyegongyuan,"

地址:
汕尾市海丰县赤石镇大安村何兴围公路200米

",坐落于深汕合作区赤石镇大安村，是集住宿、温泉、休闲度假、餐饮美食、会议商务、康体娱乐、团队拓展于一体的综合性旅游度假之地。按照中国风标准建造，建筑宏伟壮丽，占地面积14万平方米，拥有特色酒店式木屋、古色古香的家庭式庭院民宿、露天温泉池；以及农园水果采摘、烧烤、古农耕文化体验、国学课程、汉服写真等多种娱乐设施。,全年 09:00-20:00,,5.0,建议游览时间：2小时 - 3小时,,,,8
去来庐(姜文生姜英毅故居)Qulai Cottage (Former Residence of Jiang Wensheng and Jiang Yingyi),http://travel.qunar.com/p-oi35297884-qulailu,,,,,5.0,,,具体收费情况以现场公示为主,,8
大德妈祖庙旅游区Haifeng Dade Matsu Temple Tourism Area,http://travel.qunar.com/p-oi35217051-dademazumiaolu:youqu,,,,,5.0,,,,,9
莲花山森林公园Lianhua Mountain Sceneic Area,http://travel.qunar.com/p-oi35216191-lianhuashansenlingong,,莲花山风景区位于海丰县四季如春的莲花山脉，海丰八景的“莲峰叠翠”和“银瓶飞瀑”之间。游人来此远足登高，便可见层林叠嶂，连绵不尽，俯仰之间恍如身临人间仙境，其中海拔1336米的莲花山脉主峰，是登高赏景的较好地点。莲花山风景区以鸡鸣寺为主体建筑，该寺历史悠久，可追溯至公元1633年，因海丰连续发生5次天灾，来此化缘的印真和尚在莲花山建造庵寺，为海丰聚福，如今已历近400年。游人来到莲花山，不妨选购一些山上特产的莲花山茶，泡以莲花山泉水，格外沁人心脾。,,,5.0,,,具体收费情况以现场公示为主,,9
田寮妈祖风景区Tianliaomazu Sceneic Area,http://travel.qunar.com/p-oi26636511-tianliaomazufengjingqu,,,,,5.0,,,具体收费情况以现场公示为主,,10
