名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
孔子精华苑,http://travel.qunar.com/p-oi705039-kongzijinghuayuan,"

地址:
曲阜市鼓楼大街孔庙东侧护城河边

",,07:30-17:30,https://img1.qunarzz.com/travel/poi/1408/30/8980e6f8fd983b51ffffffffc8d65eac.jpg_480x360x95_a3350dae.jpg,5.0,,游曲阜三孔，四季皆宜，但习惯上人们偏好3－11月游曲阜，每年此刻，为曲阜旅游旺季。每年9月下旬至10月上旬曲阜举办孔子文化节。节日在孔庙大成殿前举行，期间有祭孔乐舞表演，以及与孔子倡导的礼、乐、射、御、书、数各种别具特色的旅游活动，比较有意思。每年的6至9月，微山湖的十万亩荷花争向开放，泗水县的桃花也争齐斗艳，在这个期间来游曲阜，既可游览孔府、孔庙、孔林等多处文化古迹，又可欣赏荷花、桃花的美艳多姿。寒冷冬季，伴随春节黄金周来到孔府过年的游客也络绎不绝。敲暮鼓晨钟、赏乐舞表演、品民俗大餐，是冬季里游览曲阜不错的选择。,15元,,3
寿丘,http://travel.qunar.com/p-oi701929-shouqiu,"

地址:
曲阜城东4公里的旧县村东


电话:
0537-4417870

",据古史记载，寿丘为黄帝诞生地。宋真宗在寿丘建景灵宫祭祀，尊黄帝为始祖。景灵宫原共有1320间，玉雕皇帝像，用太庙礼仪祭祀，礼制是当时最高的。该庙可惜毁于元末。现这里辟为公园，园里石碑是我国最大的石碑。现在园占地37亩，插云双碑，倒映一池。,8:00-17:30,https://img1.qunarzz.com/travel/poi/1611/ba/66e1229caaa1c737.jpg_480x360x95_21d703af.jpg,5.0,,,寿丘少昊陵景区50元，可参观寿丘和少昊陵两个景点。,,4
张良墓,http://travel.qunar.com/p-oi715587-zhangliangmu,"

地址:
山东省济宁市微山县微山西麓

",张良墓在微子墓南1．5公里处，其墓形下方上圆，高15米，长宽各100米。墓前有清乾隆二年立石碑一幢，上书“汉留侯张良墓”，高1．7米，宽0．9米，厚0．16米。,全天,,5.0,,,通票45元/人。岛内景点间交通费15元/人。,,6
孔府铁山园Kong Mansion Tieshan Park,http://travel.qunar.com/p-oi722004-kongfutieshanyuan,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/71a0dbfb1dda793b746ee1869f0a40cd.jpg_480x360x95_51041397.jpg,5.0,,,具体收费情况以现场公示为主,,6
武氏祠,http://travel.qunar.com/p-oi709187-wushici,"

地址:
山东省济宁市嘉祥县纸坊镇武翟山村北

",武氏祠为汉代祠堂和墓地，始建于东汉桓、灵时期，是我市最早的建筑物，全石结构，石刻画像，内容丰富，雕制精巧，是我国保存完整的汉代石刻艺术珍品。现存石阙、石狮各一对，石碑两块，祠堂石刻构件四组40余石。,全天开放,https://img1.qunarzz.com/travel/d2/1601/18/368e899512c4dbf7.jpg_480x360x95_1d61a552.jpg,5.0,建议游览时间：1小时,,全票15元/人,,6
颜子林yan zi lin,http://travel.qunar.com/p-oi705856-yanzilin,"

地址:
济宁市曲阜城防山之阳


电话:
0537-2314119

",颜子林即颜回的墓园，是颜回及其后裔的墓地。颜回是孔子比较钟爱的学生，可惜英年早逝，死后受历代尊奉，得以配祀孔庙。颜子墓墓碑上的“衮国复圣公墓”六字，是出自明太祖第十子鲁王檀玄孙朱当溅的手笔。除了颜子，颜子之父颜无繇，儿子颜歆，孙子颜俭，也都长眠于颜子林中，2000年来，颜氏后世子孙接冢而葬，逐步形成此家族墓地，堪与孔林、孟林相较。,全年 8:00-17:00,https://img1.qunarzz.com/travel/poi/1803/8b/16f1d3edc8307237.jpg_480x360x95_b4d0f39b.jpg,5.0,,,具体收费情况以现场公示为主,,7
九龙山摩崖墓群,http://travel.qunar.com/p-oi701826-jiulongshanmoyamuqun,"

地址:
曲阜城南九公里的九龙山之南

",九龙山摩崖墓群，五墓并列，均凿山为墓。最大墓长72.1米，其中墓道凿成峡谷，长37.5米，高达18.4米，甬道及墓室凿成洞穴，长34.6米，内有前室、后室、耳室、车马室等11室。1970年挖掘四墓，从出土文物看，墓凿于西汉，当为汉景帝之子鲁王刘余及其子孙之墓。,8:00-18:00,,5.0,,,20元,,7
天海飞行微山湖跳伞基地,http://travel.qunar.com/p-oi38858458-tianhaifeixingweishan,,山东微山湖风景区被称为“鲁南明珠”是中国著名的“荷都”、北方水乡和铁道游击队的故乡，我基地位于微山岛水岸相接地带，拥有800米硬化飞机跑道，专业跳伞飞机两架，是山东唯一开展高空跳伞项目的飞行基地。,,,5.0,,,,,8
艾绿嘟嘟鱼花园,http://travel.qunar.com/p-oi38027731-ailu:duduyuhuayuan,"

地址:
山东省济宁市鱼台县王庙镇敬老院东南300米


电话:
0537-6255888

",嘟嘟鱼花园在旧城海子依水而生。旧城海子位于鱼台县王庙镇政府驻地西北3公里处，东西长2200米，南北宽1400米，总面积达2.8平方公里。清乾隆二十一年，黄河决口，洪水灌城，城址沦为湖泊，县城西迁，居民于城西北之高地居住成村，称旧城里，所成湖泊称旧城海子。百亩鱼塘，荷香十里，一泓碧水环抱鱼台故城，七台八景散落其间，逐步形成“城在湖中、湖在景中、景在城中、人在画中”的靓丽风景。,全年 09:00-16:30,,5.0,建议游览时间：2小时 - 4小时,,,,9
万仞宫墙,http://travel.qunar.com/p-oi37806421-wanrengongqiang,,,,,5.0,,,具体收费情况以现场公示为主,,10
