名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
淮北四季榴园,http://travel.qunar.com/p-oi38932862-huaibeisijiliuyuan,,,,,5.0,,,,,1
朔西湖,http://travel.qunar.com/p-oi38590384-shuoxihu,,"朔西湖以水源涵养、水系贯通、堤-岛结合、湿地浅滩的自然生态景观，营造鸟类、两栖类、爬行类等生物栖息地，生物多样性。通过湿地植被的恢复与培育，塑造动物栖息、植物演替的良好环境，为游人提供湿地观鸟、湿地游赏与科普等多样的休闲游览胜地。具有独特人文魅力的朔西印象、朔塔朝辉、草洲鹭鸣、柳堤花舞、梅堤寻芳、荷风涟漪、稻香艺韵、矿城印记、音乐喷泉、朔里名园等10处核心景点，疏密有度地分布在湖泊内，它们与水天一色的湖面、典雅的廊桥馆舍构成了一副虚实相生的山水园林景观。特色景点：
1、音乐喷泉：作为皖北第一大音乐喷泉，建设长度168米，喷射高度可达118米的大型音乐喷泉，结合声、光、电、火多种表现形式，随着音乐变换，为城市的人们在夜间增添一份美轮美奂的视觉和听觉的盛宴，更有水幕电影，呈现出3D立体效果，带来震撼的超强体验。
 2、朔西湖标本展览馆：栩栩如生的鸟儿，狗熊嬉戏……朔西湖标本展览馆给你不一样的视觉冲击，其中还有国家一级二级保护动物标本、古生物化石标本，难得一见，极为罕见。
",,,5.0,,,朔西湖景区门票可入园两次，自购票之日起有效期一个月，门票仅限本人使用。,,2
隋唐运河古镇,http://travel.qunar.com/p-oi38135487-suitangyunheguzhen,,淮北这座仿古“隋唐运河古镇”，凭借源远流长的运河文化，展现了皖北千年人文的别样韵味，是淮北游览的好去处。 ,,,5.0,建议游览时间：1小时 - 2小时,,,,2
淮北市钟源阁红色文化博物馆Huaibeishi Zhongyuange Hongse Culture Museum,http://travel.qunar.com/p-oi34272582-huaibeishizhongyuange,"

地址:
相山区国际商城步行街9幢101、102、201、202

",淮北市钟源阁红色文化博物馆通过图文介绍、宣传画、纪念章、战场遗留物品等文物，运用多媒体技术等形式，展示了波澜壮阔的红色文化历史。,全年 周二-周日 9:00-17:00,,5.0,建议游览时间：1小时 - 2小时,,免费,,3
柳孜薰衣草园Liuzi Lavender Garden,http://travel.qunar.com/p-oi33207532-liuzixunyicaoyuan,,柳孜薰衣草园位于濉溪县柳孜运河遗址东。园内以栽种薰衣草为主，配以鼠尾草、马鞭草、波斯菊、黄金菊、锦带花等20多种珍贵花卉，在近百种绿植的映衬下，显得错落有序，让你无论身处何处都拥有较好的赏花视角。园区内除了花卉，还有儿童主题乐园、采摘园和月亮湖等区域。其中月亮湖放养了上万只锦鲤和数十只黑天鹅，湖岸边还修建了一栋哥特式建筑风格的文化礼堂，备受游客青睐，还有很多新人专程赶来拍摄婚纱照。,,,5.0,建议游览时间：2小时,,具体收费情况以现场公示为主,,3
显通寺石刻Stone Carvings of Xiantong Temple,http://travel.qunar.com/p-oi23342923-xiantongsishike,,"显通寺内有很多历史石刻，其中，乾隆皇帝亲笔的""惠我南黎""是较为有名的。",,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/6edd50b5b16e529bdd67be684460f97d.jpg_480x360x95_db86bcd7.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,4
惠泽公园Huize Park,http://travel.qunar.com/p-oi19977897-huizegongyuan,,惠泽公园位于淮北市环山西路北侧，是淮北市建设的民用大型公园。公园共占地面积约2公顷，由上海园林设计院专家精心设计，历时将近一年的时间完成建工，现在已正式开放。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/2de8d795c4d02c9228cbd65ac0f0ca6f.jpg_480x360x95_7992fe55.jpg,5.0,建议游览时间：3小时,,,,4
淮北市文道灵璧石博物馆Huaibeishi Wendao Lingbishi Museum,http://travel.qunar.com/p-oi19977761-huaibeishiwendaolingbi,,,,,5.0,,,具体收费情况以现场公示为主,,4
新村广场Xincun Square,http://travel.qunar.com/p-oi19977159-xincunguangchang,,,,,5.0,,,,,5
濉河公园(濉河路)Suihe Park (South Gate),http://travel.qunar.com/p-oi19976981-suihegongyuan,,濉河公园位于安徽省淮北市，主体是由濉河及河堤构成。公园的修建将古老的濉河大变样，成为濉溪一道亮丽的风景线。这里环境宜人，风景优美，成为周围居民健身休闲的好去处。 ,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,5
任圩办余庄教会Renweiban Yuzhuang Church,http://travel.qunar.com/p-oi19974690-renweibanyuzhuangjiao,,,,,5.0,,,具体收费情况以现场公示为主,,5
法制公园Fazhi Park,http://travel.qunar.com/p-oi19972900-fazhigongyuan,,公园的建设，既能宣传法律知识，又可以宣传传统的国学文化，进一步培养了市民的法治思维。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,7
泰康图书馆Taikang Library,http://travel.qunar.com/p-oi19537595-taikangtushuguan,,,,,5.0,,,具体收费情况以现场公示为主,,7
