名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
小溪自然保护区Xiaoxi Nature Reserve,http://travel.qunar.com/p-oi3864368-xiaoxiziranbaohuqu,"

地址:
湘西土家族苗族自治州永顺县东南部


电话:
0743-3551

",小溪自然保护区地处湖南省永顺县东南部，属全球重点保护的200个生态圈之一，是世界少有、中国独有、中南十三省唯一幸存的免遭第四纪冰川侵袭的低海拔常绿阔叶原始次生林。保护区内物种丰富，是天然的植物园和野生动植物的基因库及天然氧吧。保护区是以原始次生林峡谷、峰林地貌景观为特色的生态旅游区。目前已向游客开放5个景区，即毛坪码头至小溪村游道沿线景区、龙门溪景区、鱼泉溪景区、茶园溪景区、巴东木莲景区。区内林海浩渺，树木葱郁，负氧离子浓度高，空气清新，环境宜人。林海缝隙中险峡深涧，飞瀑流泉，奇峰拔地，鸟鸣猿啼，间或偶现一两栋土家木楼，鸡鸣犬吠，民风古朴。景区融森林风光，原始河谷，名胜古迹，民族风情于一体，是中南地区理想的休闲度假、科考、软探险旅游胜地。,全年 全天开放,https://img1.qunarzz.com/travel/poi/201211/15/e3a1f0932fb0cfd8ddb12cfb.jpg_480x360x95_0511e4d2.jpg,5.0,建议游览时间：3天 - 6天,,30元,,4
屯粮山Tunliang Mountain,http://travel.qunar.com/p-oi3864382-tunliangshan,"

地址:
湘西土家族苗族自治州凤凰县（凤凰古城以北）


电话:
0743-10348

",屯粮山古称武山，位于凤凰古城以北，腊尔山高原台地以东，三拱桥、大田、禾库三个乡镇的交界处，距凤凰县城47公里，是驰名中外的苗山胜景区，有名的电影、电视剧外景拍摄基地。屯粮山自古就是中国的名山之一。 屯粮山下起三拱桥乡的麻冲村，上至禾库镇的禾栗坳，垂直高差470米，是一座巨峰迭起的山系。屯粮山山势雄奇，峰峦千姿百态，或石壁如削，或柱石入云，或如雄狮回头，或似神犬护宫，或类象汲深涧，或宛情人对唱，加之高山飞瀑万丈垂练，盘瓠石室名震寰宇，令无数墨客骚人登临揽胜，众多苗家儿女朝山祭祖，真是奇山与日月同在，胜景招天下宾朋。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1511/49/416a381a31a0adf7.jpg_480x360x95_89611639.jpg,5.0,建议游览时间：1小时,四季皆宜。,具体收费情况以现场公示为主,,5
天星山Tianxing Mountain,http://travel.qunar.com/p-oi3864369-tianxingshan,"

地址:
湘西土家族苗族自治州凤凰县禾库镇板吉村


电话:
0743-3587

",天星山位于凤凰县西北部，是乾嘉苗民起义的根据地之一。天星山海拔不高，仅500米左右，但是山路难行，唯山北凿有“之”字形山路通往山顶。山上林木繁茂，绿树成荫，还留有吴八月聚众起义的遗址。天星山附近的苗寨保持着淳朴的民风，山色迷人，村寨古朴，是个能让人感到心情宁静舒畅的地方。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/10218aad3485119240cc644d1211e0ea.jpg_480x360x95_4ff51cfd.jpg,5.0,建议游览时间：2小时 - 4小时,四季皆宜。,,,6
土家湿地民俗文化屋,http://travel.qunar.com/p-oi39028797-tujiashidiminsuwenhua,,,,,5.0,,,,,8
泸溪沅江风光带,http://travel.qunar.com/p-oi38981223-luxiyuanjiangfengguang,,,,,5.0,,,,,8
指环瀑布,http://travel.qunar.com/p-oi38807026-zhihuanpubu,,指环瀑布位于保靖县，水流将一块巨石冲出石滩，池中溢出的泉水滴穿过石头，形成指环形的石洞。水不断地从指环中飞下来，形成了一种罕见的指环瀑布奇观。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
太平山,http://travel.qunar.com/p-oi38669528-taipingshan,,因丹霞山体高耸入云形似巨象、果利河环山奔流玉带缠腰而闻名，因绝壁之上普照寺香火延绵1600余年、得光绪敕封“禅宗曹洞正宗”而远播。上世纪二十年代，民国大家章太炎拜读《龙藏》于此，流连忘返，留下“五溪天下险，神仙太平山”美誉。1997年，中国佛教协会主席赵朴初先生亲题“太平山”名，墨宝生辉，佛光又驻。2020年，经十年打磨，焕然一新的太平山风景区正式开放，包含观景禅修、运动休闲、红色漫道三大游览内容，有一楼览两县的观音阁、皇赐见证松月塔、登云梯、凌空栈道、中国户外斜行观景第一梯、湘西唯一凌空峡谷玻璃滑道、丹霞绝壁飞拉达、红色革命遗迹兴隆桥（红军桥）、三炮台等一系列精华景点和体验项目，是龙山旅游打卡地和全域旅游龙头景区。,,,5.0,,,,,9
国茶村,http://travel.qunar.com/p-oi38596417-guochacun,,,,,5.0,,,具体收费情况以现场公示为主,,9
湘西凤凰金水桥吊脚楼,http://travel.qunar.com/p-oi35912496-xiangxifenghuangjinshui,"

地址:
江北新村26号

",,全年 全天开放,,5.0,,,具体收费情况以现场公示为主,,10
凤凰大峡谷(天龙峡)Fenghuangda Canyon (tianlongxia),http://travel.qunar.com/p-oi35831922-fenghuangdaxiagu,"

地址:
湖南省湘西土家族苗族自治州凤凰县G56(杭瑞高速)

",天龙峡位于凤凰古城西部的阿拉营镇境内，是凤凰较经典的山水风景区之一。相传天龙相公为反抗民族压迫，谋刺帝王失败后躲藏在此峡谷，故而得名天龙峡。这里2005年5月之前都没有人穿行过。景区由天龙大峡谷和古苗寨两部分组成，地势甚为险要，谷中美景成群。峡谷内流泉飞瀑，两岸峰峦叠翠、草木幽深，较窄处不过2米，地势十分险要。天龙峡瀑布高达百余米，直坠入泻龙潭，轰鸣之声响彻山谷，另外还有雷公潭、千丝泉，鹰愁崖、一线天等景点。一路上你会经过石头路、木板路、木板铺就的楼梯，充满大自然的气息。穿行在天龙峡内，不仅可以领略到独特的大自然风光，还能感受浓浓的苗疆风情。听着潺潺水声，山明水秀、古木参天，令人心旷神怡。,全年 08:30-17:00,,5.0,建议游览时间：12小时 - 3天,,,,10
