名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
神山森林公园Shenshan National Forest Park,http://travel.qunar.com/p-oi7573673-shenshansenlingongyuan,"

地址:
六镇镇城西北15公里草庵乡境内

",位于全椒县以西20公里处，总面积2200平方公里。较高峰海拔395米左右。山名由来无考，但唐建中年间，滁州刺史韦应物有《寄全椒山中道士》诗、山上所存神山寺，可证明1000多年前，佛道均在此争建庙宇道场。神山群山环抱，林深水秀，九座山围绕神山主峰，故称“九龙盘珠”。兼之涧壑幽深，石嶂奇竣，溪水绕山而过，甘泉破石而出，环境优美，气候宜人，融秀水、奇石、溶洞、古寺为一体，是一独特而幽雅的森林公园。其森林覆盖率达90％，植被多为阔叶林与人工长绿针叶混交林，各种树木有400种之多。主要景点有白石泉、神山湖、览胜塔、御溪桥。仙人洞、团山洞、龙洞、青牛洞等，还有充满象形神山石的黑石芤和距今已存1200多年的神山寺。,7:00-16:30,https://img1.qunarzz.com/travel/poi/1412/3c/3c0c751d61cdb713cdb.jpg_480x360x95_ddd695b3.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
明湖旅游度假区,http://travel.qunar.com/p-oi39462577-minghulu:youdujiaqu,,滁州明湖即滁州市委市政府于2012年启动的明湖景区建设，其建设区域范围为滁州大道、明湖大道、滨湖东路及滁宁快速围合区域，汇水面积69平方公里，水面面积约5平方公里，湿地及绿化面积5平方公里。明湖湖体轮廓近椭圆形，湖底部较为平坦，湖泊平均水深为2.16米，深处有3.1米，浅处不到1米。,,,5.0,,,,,2
大墅龙山旅游度假区,http://travel.qunar.com/p-oi38806338-dashulongshanlu:youdu,,我们大墅龙山旅游度假区东临金陵，西据肥水，交通便捷，坐享繁华都市在侧之优势，独揽自然风貌于怀之清幽。度假区是集现代农业、现代林业、旅游养老和休闲度假于一体的综合性项目，总体规划面积3万亩，总投资22亿元。现已建成大墅龙山奇石博物馆、国际露营基地、“禾墅恋”和“无聊栖地”民宿村、大墅龙山培训基地、马术俱乐部、“红随步”农家乐、600亩优质桃园、2500亩山核桃基地、观光采摘大棚等项目。大墅龙山旅游度假区项目2016年被纳入安徽省“十三五“规划滁州重点项目，其中“禾墅恋“民宿评为安徽省精品乡村客栈，度假区2017年被评为国家3A级景区、安徽省乡村旅游创客示范基地、安徽省中医药健康旅游基地等称号，项目于2017年底成功申报成为国家级农村产业融合示范园，是安徽省级林业龙头企业、首批安徽省乡村旅游创客基地。,,,5.0,,,,,3
康强欢乐世界,http://travel.qunar.com/p-oi38337215-kangqianghuanleshijie,,滁州康强欢乐世界占地254亩，是滁州目前为止规模最大的游乐场所，园内共设有21个游玩项目，其中摩天轮、大摆锤、高空飞翔等娱乐项目深受大家喜爱，引来游客竞相排队游玩，欢笑声、尖叫声此起彼伏，市民们体验加速、下沉、俯冲的快感，尽情享受快乐时光。,,,5.0,,,,,4
崇本门,http://travel.qunar.com/p-oi38042134-chongbenmen,,崇本门是天长古城的西门，城门上有座明清风格的城楼，登高望远，老西门附近的仿古建筑和远处现代的高楼同框。城门下有园林景观和仿古街，街上有当地的特色美食、各类艺术品，还有非常具有代表性的非物质文化遗产都汇集在这里，展示着当地的地域文化和风土人情。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,4
抹山寺Mashansi,http://travel.qunar.com/p-oi35214579-moshansi,,,,,5.0,,,具体收费情况以现场公示为主,,7
来安县皖东革命纪念馆Lai'anxian Wandong Geming Memorial Hall,http://travel.qunar.com/p-oi34273334-laianxianwandonggeming,,来安县皖东革命纪念馆分为一个序厅和三个展馆，包括《刘少奇在皖东》、《半塔革命纪念馆》、《新四军第二师纪念馆》三个专题。该馆通过文物展品并结合历史文献、图片、人物雕塑、灯光沙盘等，较全面地展示了半塔保卫战经过。,,,5.0,建议游览时间：1小时 - 2小时,,免费,,8
凤阳县博物馆Fengyangxian Museum,http://travel.qunar.com/p-oi34271937-fengyangxianbowuguan,"

地址:
滁州市凤阳县惠政路与社稷坛路交叉路口往西北约70米


电话:
6366056

","凤阳县博物馆共有五个展厅，其中，主展厅三个，临时展厅两个，馆内收藏了大量的出土文物，作为镇馆之宝的蟠龙石础非常值得一看，础面雕饰翔云纹图案，础槽突起精雕蟠龙飞舞，非常精美。
",全年 周二-周日 9:00-17:00,,5.0,建议游览时间：2小时 - 3小时,,免费,,8
"琅琊山风景区-无梁殿Beamless Hall, Langya Mountain Scenic Area",http://travel.qunar.com/p-oi32749205-langyashanfengjingqu_,"

地址:
滁州市南谯区寺内


电话:
0550-3514769,0550-3512999

",,全年 6:30-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/cb8cddde1e14f1f2d8520b101778a2c4.jpg_480x360x95_6249179d.jpg,5.0,,,包含于琅琊山景区内，通用琅琊山景区门票。,,9
凤阳古花铺廊Gu HuaPuLang,http://travel.qunar.com/p-oi24442081-fengyangguhuapulang,,,,,5.0,,,具体收费情况以现场公示为主,,9
