名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
郭味蕖故居陈列馆Guoweiqu Former Residence Exhibition Hall,http://travel.qunar.com/p-oi703544-guoweiqugujuchenlieguan,"

地址:
东风西街1048号(近三中)


电话:
8327866

",,8:00-17:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/142a61452c86faf0c00d680fa2670d6c.gif_480x360x95_3f7dc468.gif,5.0,,,具体收费情况以现场公示为主,,3
诸城竹山,http://travel.qunar.com/p-oi39564427-zhuchengzhushan,,,,,5.0,,,具体收费情况以景区现场公示为准；,,4
甘棠乐园,http://travel.qunar.com/p-oi39156680-gantangleyuan,,,,,5.0,,,,,5
丝路绸语文化创意园,http://travel.qunar.com/p-oi38891096-siluchouyuwenhuachuang,,"历史与现代的完美契合，产业与文化的互促共赢，传统与创意的浑然融汇，成就了一块绿色发展的高地，一座文化艺术的殿堂，一个振兴文明的园区……就是“丝路绸语”文化创意园，丝路绸语文化创意园位于山东省潍坊市昌邑市柳疃镇龙河路1号，文化创意园里,创客空间、大师工作室、酒吧、书吧、丝绸文化展示厅散落分布,它们均是用原有厂房改造而来。漫步园内,各种题材的墙绘作品五彩斑斓、个性鲜明。一角的“芳华”酒吧,古色古香的窗户、房檩,装点其中的跨梁自行车、老胶片,历史感与工业风辉映,各类休闲饮品花样繁多,游客和园区创业者可以在“举杯邀明月”的休闲惬意中感受芳华尚在,青春不老。一旁的“半屋伴读”书吧,依托早期织绸的“半屋”改造而成,也是园区的“微图书馆”,以求知乐学为主题,免费为入驻客户以及游玩的民众开放。走进“年代记忆博物馆”,仿佛穿越时光隧道,时代杂货铺里的冰糕箱、梳妆镜、手电筒、猪胰子,“飞驰”而过的绿皮火车,老式电视机上播放的《新白娘子传奇》《红楼梦》等,不仅勾起中老年人的回忆,也让年轻人更真切地感受到了时代的发展变迁。它通过展示丝绸工艺和织绸人家的历史变迁,讲述柳疃丝绸的前世今生,让人们既能欣赏到现代艺术的独特魅力,又能勾起埋藏心底的那份乡愁,感受时光易逝,奋斗不止的丝绸精神。",,,5.0,,,,,5
十笏园美术馆,http://travel.qunar.com/p-oi38844779-shihuyuanmeishuguan,,十笏园美术馆位于潍城区十笏园文化片区内，与潍坊画院、潍坊市美术馆合署办公，建筑面积3200平方米，地上主体建筑4层，主要包括展厅、多功能厅、会议报告厅、陈列室等，具备收藏、研究、陈列展览、教育、交流、服务六大功能。其中，一、二楼展厅展现共长129米。建筑面积6000平方米，展厅共面积1412平方米，一层728平方米，二层684平方米，展现共长375米，展馆为明清仿古式建筑，整体布局典雅、大方，富有浓郁的文化气息，灯光、温控、轨道等展览设备设施智能先进，是潍坊市目前综合面积最大、展览设施最全、配套服务最完善的专业展厅之一。,,,5.0,,,,,5
红高粱文化大院,http://travel.qunar.com/p-oi38578374-honggaoliangwenhuadayuan,,红高粱文化大院位于高密东北乡文化发展区大栏平安村，与莫言旧居隔路相望。占地面积50亩，以文化为核心，集文化交流、民俗历史、自然风光、休闲度假、景区服务中心等多个功能区为一体，旨在打造中国最大的7D错觉艺术体验基地。,,,5.0,,,,,6
潭溪山玻璃桥,http://travel.qunar.com/p-oi38335932-tanxishanboliqiao,,潭溪山玻璃桥总长上百米，是一座无背斜拉索桥玻璃桥，斜拉的钢索与弯曲的桥面形成扇状，造型独特。可乘观光电梯升至玻璃桥上，一览山川风光。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,6
莱州湾,http://travel.qunar.com/p-oi38035094-laizhouwan,,,,,5.0,,,,,7
金融广场商业街,http://travel.qunar.com/p-oi37198938-jinrongguangchangshang,,,,,5.0,,,具体收费情况以现场公示为主,,7
寿光人民广场,http://travel.qunar.com/p-oi37183157-shouguangrenminguangchang,,,,,5.0,,,具体收费情况以现场公示为主,,7
沂山歪头崮,http://travel.qunar.com/p-oi37164028-yishanwaitougu,,歪头崮位于沂山玉皇顶西北方，海拔高度971米，是沂山第四高峰，也是沂山很是险峻、具有特色的山峰。山峰为座凸起的断崖，宛如人首歪头，遂为此名。从崮底沿途而上古树森森，岩壁连绵，风景优美，可一路欣赏石佛、八戒石、风动石、佛座石、天柱石、“人世蓬莱”摩崖石刻、“救苦观音”摩崖造像、灵官殿、碧霞祠等景观。崮顶有一座长春亭，是俯瞰沂山山景和观赏沂山日出的好位置。,,,5.0,,,具体收费情况以现场公示为主,,8
安丘植物园,http://travel.qunar.com/p-oi36680610-anqiuzhiwuyuan,,,,,5.0,,,具体收费情况以现场公示为主,,8
自怡园,http://travel.qunar.com/p-oi36413692-ziyiyuan,,,,,5.0,,,具体收费情况以现场公示为主,,8
风筝广场购物公园,http://travel.qunar.com/p-oi36413690-fengzhengguangchanggou,"

地址:
胜利街与四平路交叉口西南角

",,全年 10:00-21:30,,5.0,,,具体收费情况以现场公示为主,,8
白浪河国家湿地公园,http://travel.qunar.com/p-oi36412838-bailangheguojiashidigong,,白浪河国家湿地公园位于潍坊市潍城区，占地面积七百多公顷，主要以河流湿地和沼泽湿地两个类型为主，分为五大功能区，景色宜人。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,9
北方石林景区,http://travel.qunar.com/p-oi36411042-beifangshilinjingqu,,,,,5.0,,,具体收费情况以现场公示为主,,9
昌乐市民文化体育公园,http://travel.qunar.com/p-oi36410823-changleshiminwenhuati,,,,,5.0,,,具体收费情况以现场公示为主,,9
张面河景区,http://travel.qunar.com/p-oi36410395-zhangmianhejingqu,,,,,5.0,,,具体收费情况以现场公示为主,,9
