名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
宝塔礁Pagoda Reef,http://travel.qunar.com/p-oi704774-baotajiao,"

地址:
烟台市蓬莱区庙岛西北处的犁具把岛


电话:
0535-6685810

",宝塔礁因礁石形似宝塔而得名。礁石高约21米，直径约5米，其状犹如一座挺立的巨塔，无论从哪个角度观赏，总会领略出不同的天然妙韵，让人为自然力之伟大而赞叹。宝塔礁是由石英岩交替叠压而成，横石纹路将塔分成几个直层，竖立的岩线，又将每一层都割裂成多段，在这纵横交错之下仿佛这塔并不是一个严密的整体，而是一个由大小不等、形状不同的石块堆砌而成的松散的建筑。如今在礁石南侧相邻的小岛上修起了一座洁白的导航灯塔，岛上的白塔与海中的宝塔并肩而立，堪称海上的一道亮丽的风景线。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1803/3e/ad34a1208166e337.jpg_480x360x95_c6c0cefe.jpg,5.0,建议游览时间：1小时,最佳出游时间为夏季，海风湿润凉爽，空气清新，游泳戏水，吃海鲜、漫步沙滩，非常惬意，若是幸运，还可看到海市蜃楼。,免费,1、 长岛温度较低，夜间温度不足20度，建议携带薄的外套。2、 注意防晒，遮阳帽，防晒霜，太阳镜，必不可少。3、 晕船的游客提前做好准备，在长岛游玩，乘船必不可少。,3
万米海水浴场,http://travel.qunar.com/p-oi712555-wanmihaishuiyuchang,"

地址:
烟台经济技术开发区金沙滩海滨公园北部

",位于烟台经济技术开发区金沙滩海滨公园北部的素有“北方第一海滩”之称的万米海水浴场，沿海岸线绵延，坡缓水清，沙质细柔，夏季中午海水水温为25摄氏度左右，是我国最优良的天然海水浴场之一。这里有风和日丽，景色秀美的春天；水平浪静，海似锦缎的夏日；波涌浪翻，玉珠飞溅的秋天；激浪排空，蔚为壮观的冬季，构成了一幅四季色彩分明的美丽图画。6座沿海滨一线展开的雕塑，仿佛点睛之笔，更增添了海的韵味。,7：30－18：30,https://img1.qunarzz.com/travel/poi/1507/c3/259bfe8283fb76.jpg_480x360x95_97492b46.jpg,5.0,,,10元,,5
宾日楼Binri Tower,http://travel.qunar.com/p-oi719683-binrilou,"

地址:
烟台市蓬莱区迎宾路7号蓬莱阁景区内

",宾日楼也称望日楼，位于蓬莱阁景区苏公祠东侧，建于宋代，是八角双层砖木结构楼阁式建筑。宾日楼楼体八棱，南侧与吕祖殿联为一体。底层外侧明廊，楼内有木梯盘旋而上。二层周匝开圆窗8个，眼界极阔，可观八面景致，纳八面来风，是观赏海上日出的绝好所在。,具体开放时间请咨询景区,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/5021e1cb9a885492f3ab9231b1b70a09.jpg_480x360x95_6359e0b3.jpg,5.0,建议游览时间：0.3小时 - 0.5小时,,包含在蓬莱阁景区门票内。,,6
太平楼,http://travel.qunar.com/p-oi715574-taipinglou,"

地址:
位于水城东北角平浪台上

",太平楼，重建于1987年，景点包括太平楼、戚继光塑像、点将台、涌月亭、平浪宫等。太平楼就在在平浪台中部，面南背北，双层结构建筑，屋面开山，四角飞檐，六兽置于屋脊上，四周围以明廊，“太平楼”匾额悬于门上方，是书法家乃正所书，门两侧明柱上阴刻楹联：“岸隐潮声连古戍，天回春意满芳州”。1987年为纪念戚继光逝世400周年而建的戚继光塑像位于太平楼南侧，水泥质地，高4米，戚继光身着戎装，挺胸昂首而立，按剑俯瞰水城。位于太平楼西侧的点将台，坐北朝南，是原来指挥、调动水...太平楼，重建于1987年，景点包括太平楼、戚继光塑像、点将台、涌月亭、平浪宫等。太平楼就在在平浪台中部，面南背北，双层结构建筑，屋面开山，四角飞檐，六兽置于屋脊上，四周围以明廊，“太平楼”匾额悬于门上方，是书法家乃正所书，门两侧明柱上阴刻楹联：“岸隐潮声连古戍，天回春意满芳州”。1987年为纪念戚继光逝世400周年而建的戚继光塑像位于太平楼南侧，水泥质地，高4米，戚继光身着戎装，挺胸昂首而立，按剑俯瞰水城。位于太平楼西侧的点将台，坐北朝南，是原来指挥、调动水城内水师船只之发令处，为轩亭建筑，屋面开山，四角飞檐，脊置六兽，西、南两侧有明廊。,全天,,5.0,,,,,6
狐仙堂,http://travel.qunar.com/p-oi721831-huxiantang,,胡仙堂位于蓬莱阁古建筑群的西北部，东与天后宫寝殿西山墙相连，始建于明代。它坐北朝南，面阔9.13米，进深3.73米，高4.45米，为三开间三架梁硬山顶建筑。相传明朝登州府内有一胡姓人家，家中有一公子，自幼无心读书求取功名，而热衷于寻求民间药方，进深山采药为老百姓治病。他医术高明，不管什么样的疑难杂症，都能药到病除，后来他潜修仙道，得道成仙，被尊称为“胡仙”。人们为纪念他的功德，修建了“胡仙堂”，胡仙堂香火鼎盛，前来求药治病的人络绎不绝。解放前，胡仙堂内塑像、...胡仙堂位于蓬莱阁古建筑群的西北部，东与天后宫寝殿西山墙相连，始建于明代。它坐北朝南，面阔9.13米，进深3.73米，高4.45米，为三开间三架梁硬山顶建筑。相传明朝登州府内有一胡姓人家，家中有一公子，自幼无心读书求取功名，而热衷于寻求民间药方，进深山采药为老百姓治病。他医术高明，不管什么样的疑难杂症，都能药到病除，后来他潜修仙道，得道成仙，被尊称为“胡仙”。人们为纪念他的功德，修建了“胡仙堂”，胡仙堂香火鼎盛，前来求药治病的人络绎不绝。解放前，胡仙堂内塑像、物品被毁。2001年，蓬莱文物部门根据年长的老艺人及当地年长者的口述，恢复了胡仙堂原貌。重修后的胡仙堂门上的楹联为“入深山修心养性，出古洞得道成仙”。堂中供奉三尊塑像，中间为胡仙，身边是他的两位药童，女童手拿灵芝，男童手拿药葫芦及医书。东面墙上有《深山采药图》，为山东省画院高级画师王汝霖所作。,,,5.0,,,,,7
顺祥海上钓鱼台,http://travel.qunar.com/p-oi705235-shunxianghaishangdiao,"

地址:
山东烟台长岛海水浴场旁边


电话:
0535－3111848

",可就餐、观光、垂钓。每钓一斤鱼收费30元。海上免费接送，鱼自带走。,全天,https://img1.qunarzz.com/travel/poi/1408/18/258849fa6afcd1f9ffffffffc8d65eac.jpg_480x360x95_fcff6b91.jpg,5.0,建议游览时间：1小时,最佳出游时间为夏季，海风湿润凉爽，空气清新，游泳戏水，吃海鲜、漫步沙滩，非常惬意，若是幸运，还可看到海市蜃楼。,60元,1、 长岛温度较低，夜间温度不足20度，建议携带薄的外套。2、 注意防晒，遮阳帽，防晒霜，太阳镜，必不可少。3、 晕船的游客提前做好准备，在长岛游玩，乘船必不可少。,7
罗汉敬香,http://travel.qunar.com/p-oi707395-luohanjingxiang,"

地址:
烟台市

",在南、北隍城二岛之间的东侧，有一巨大礁石，赤岩金壁，宛若身披袈裟的老僧，双手合十、闭目凝神，面西而坐，其东北也有一礁，颜色赭青，状若香炉，炉上又斜立一壁石岩，恰似半柱残香，人称为“香炉礁”，道二礁东西对应，远远望去，酷似一位老僧在虔诚地焚火敬香，祈祷海神保佑过路的船只平安。这罗汉敬香的景致，历来是长岛的一大奇观，旅游艇长岛诸岛三日游， 安排有观光罗汉敬香的项目，乘环岛客轮至南、北隍城岛，亦可凭栏目睹这一奇景。在南、北隍城二岛之间的东侧，有一巨大礁...在南、北隍城二岛之间的东侧，有一巨大礁石，赤岩金壁，宛若身披袈裟的老僧，双手合十、闭目凝神，面西而坐，其东北也有一礁，颜色赭青，状若香炉，炉上又斜立一壁石岩，恰似半柱残香，人称为“香炉礁”，道二礁东西对应，远远望去，酷似一位老僧在虔诚地焚火敬香，祈祷海神保佑过路的船只平安。这罗汉敬香的景致，历来是长岛的一大奇观，旅游艇长岛诸岛三日游， 安排有观光罗汉敬香的项目，乘环岛客轮至南、北隍城岛，亦可凭栏目睹这一奇景。在南、北隍城二岛之间的东侧，有一巨大礁石，赤岩金壁，宛若身披袈裟的老僧，双手合十、闭目凝神，面西而坐，其东北也有一礁，颜色赭青，状若香炉，炉上又斜立一壁石岩，恰似半柱残香，人称为“香炉礁”，道二礁东西对应，远远望去，酷似一位老僧在虔诚地焚火敬香，祈祷海神保佑过路的船只平安。这罗汉敬香的景致，历来是长岛的一大奇观，旅游艇长岛诸岛三日游， 安排有观光罗汉敬香的项目，乘环岛客轮至南、北隍城岛，亦可凭栏目睹这一奇景。,全天,,5.0,,,免费,,7
艾山,http://travel.qunar.com/p-oi711701-aishan,"

地址:
栖霞市区霞光路北首

",艾山，海拔814米，为栖霞境内群山之冠，与崂山（1133米），昆嵛山（923米）呈鼎足之势，构成了山东半岛千岩竞秀，万壑争流的仙风道骨。史志载“登郡九邑之山，皆发脉于此。”。因“上产灵艾，苍紫茎光，异凡种世传，五月五日，神人采之，遂以名山”的艾山，伟岸秀拔、气势雄伟，方圆60平方公里的山脉中，青峰嶙峋，谷幽林深，一派苍翠，其旖旎秀丽的自然风光鲜为人知。艾山主峰距栖霞市区14公里，与“胶东天池”--庵里水库，邱处机故里--太虚宫，著名的艾麓温泉，组成了一处山水相映...艾山，海拔814米，为栖霞境内群山之冠，与崂山（1133米），昆嵛山（923米）呈鼎足之势，构成了山东半岛千岩竞秀，万壑争流的仙风道骨。史志载“登郡九邑之山，皆发脉于此。”。因“上产灵艾，苍紫茎光，异凡种世传，五月五日，神人采之，遂以名山”的艾山，伟岸秀拔、气势雄伟，方圆60平方公里的山脉中，青峰嶙峋，谷幽林深，一派苍翠，其旖旎秀丽的自然风光鲜为人知。艾山主峰距栖霞市区14公里，与“胶东天池”--庵里水库，邱处机故里--太虚宫，著名的艾麓温泉，组成了一处山水相映，层次分明，集林、溪、泉、瀑、石、甸、湖、观、温泉为一体的风景名胜区，是炙手可热的山东半岛旅游后开发区域，以其纯朴、自然、恬静、空阔，充满浓郁乡野情调的田园风光特色，令世人瞩目。历史的原因加上原4818兵工厂保密等原因，艾山始终保持着自然的风貌，勘察论证过艾山自然风景资源的各级领导、各地专家认定，艾山具有一定的可持续旅游开发价值，是胶东半岛仅剩的、珍贵的、未经开发的自然风景旅游区。,5:00-19:00,,5.0,,,35元,,7
子孙殿Temple of Descendants,http://travel.qunar.com/p-oi717604-zisundian,,子孙殿位于龙王宫正殿东侧，这是古时候求子求孙的地方。其正门即天后宫一进院落西北耳门，门上有匾。殿内东、北、西皆有高台，北高台上设联体神龛3个，中龛有送子娘娘坐像，东西龛分别祀眼光娘娘和疹子娘娘坐像。东西高台上分别立有麒麟送子、天王送子组塑。眼光娘娘保佑儿童心明眼亮，志向远大。疹子娘娘保佑儿童顺利通过疹子关（旧时儿童麻疹死亡率极高，疹子娘娘应运而生，专事保佑儿童出麻疹）。殿内备有蒲团、香炉，殿前正门内南侧壁上设有“宝库”，子孙殿香火历来繁盛。,,https://img1.qunarzz.com/travel/poi/1803/53/0cc385467b6fc937.jpg_480x360x95_b0ef582c.jpg,5.0,建议游览时间：0.3小时 - 0.5小时,,包含在蓬莱阁景区门票内。,,8
金都温泉,http://travel.qunar.com/p-oi714353-jindouwenquan,"

地址:
山东烟台招远市区滚泉山下

",金都温泉位于招远市区滚泉山下，又名滚泉。“西有东岳泰山傲苍穹，东有招邑汤泉甲天下”，金都温泉历史悠久，水温高、水质好，对人体具有很高的医疗价值，被誉为不食烟火的“水神”或“水医”。,8：00--18：00,,5.0,,,16元,,8
