名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
红色娘子军雕像,http://travel.qunar.com/p-oi708592-hongseniangzijundiaoxiang,"

地址:
琼海市东风路与人民路交叉处

",位于琼海市南门的街心公园，于1985年8月1日落成揭幕。雕像由花岗石雕刻而成，坐北向南，高3．7米，连底座总高6．8米。座基石板铺设，四周呈六角形，围以石栏杆，占地面积40平方米。雕像后面是园林花圃等。红色娘子军纪念雕像将红军女战士脚穿草鞋、肩背竹笠、风尘仆仆的一代巾帼英雄的气概充分展现。雕像底座正面有胡耀邦金字题词：“红色娘子军”。底座背面刻有如下文字：“红色娘子军即中国工农红军第二独立师女子军特务连。”1931年5月1日创建于乐会县第四区革命根据地。她们在中共...位于琼海市南门的街心公园，于1985年8月1日落成揭幕。雕像由花岗石雕刻而成，坐北向南，高3．7米，连底座总高6．8米。座基石板铺设，四周呈六角形，围以石栏杆，占地面积40平方米。雕像后面是园林花圃等。红色娘子军纪念雕像将红军女战士脚穿草鞋、肩背竹笠、风尘仆仆的一代巾帼英雄的气概充分展现。雕像底座正面有胡耀邦金字题词：“红色娘子军”。底座背面刻有如下文字：“红色娘子军即中国工农红军第二独立师女子军特务连。”1931年5月1日创建于乐会县第四区革命根据地。她们在中共琼崖特委领导下，出色地完成了保卫领导机关，宣传发动群众等项任务，并配合主力部队作战，在伏击沙帽岭、火攻文市炮楼、拔除阳江据点及马鞍岭阻击战斗中，不怕牺牲，英勇杀敌，为琼崖革命立下功勋，斯为妇女解放运动之旗帜，海南人民之光荣，娘子军革命精神永存！”。1990年，海南省人民政府确定红色娘子军雕像为重点革命纪念建筑物保护单位。,全天,https://img1.qunarzz.com/travel/d5/201406/13/dd2bdcc65e98211fddb12cfb.jpg_480x360x95_585421be.jpg,5.0,,,30元,,2
沙美生态文明村,http://travel.qunar.com/p-oi38609502-shameishengtaiwenming,,,,,5.0,,,具体收费情况以现场公示为主,,3
溪仔古街,http://travel.qunar.com/p-oi37198182-xizigujie,"

地址:
内环街与军供路交叉口西南40米

",,全年 全天开放,,5.0,,,,,4
东红农场二十七队,http://travel.qunar.com/p-oi35305265-donghongnongchangershi,,,,,5.0,,,具体收费情况以现场公示为主,,6
东太农场二十七队,http://travel.qunar.com/p-oi35305183-dongtainongchangershi,,,,,5.0,,,具体收费情况以现场公示为主,,6
美岭湖Meiling Lake,http://travel.qunar.com/p-oi35216482-meilinghu,,,,,5.0,,,,,7
万佛塔Wanfo Pagoda,http://travel.qunar.com/p-oi34291375-wanfota,"

地址:
琼海市博鳌镇博文路13号博鳌东方文化苑景区内


电话:
0898-62775009,0898-62775772

",万佛塔位于安徽省蒙城县，又名插花塔、兴化寺塔、慈氏寺塔，始建于宋崇宁元年，历史悠久。塔身内外嵌砌琉璃小佛近万尊，巍峨壮观。,全年 8:30-18:00,,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,7
博鳌酒吧公园Bo'aojiuba Park,http://travel.qunar.com/p-oi34291068-boaojiubagongyuan,,博鳌酒吧公园是面向南海背依博鳌小镇，是博鳌很有特色的一道风景线。有许多家餐馆、酒吧、咖啡馆。周边有小木屋、旧渔船、老古井、煤油灯等，很有特色，环境超棒。,,,5.0,建议游览时间：3天,,,,7
官塘美术馆Guantang Gallery,http://travel.qunar.com/p-oi34287295-guantangmeishuguan,"

地址:
琼海市白石岭大道官塘假日度假酒店六楼


电话:
0898-36869999

",官美术馆中包括齐白石、唐寅、范曾、李苦禅等真迹原作，在这里可以欣赏到一场穿越古今的东方文化美学盛宴，令人震撼。,全年 周二-周日 15:00-19:00,,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,8
嘉积镇Jiaji Town,http://travel.qunar.com/p-oi23342427-jiajizhen,,嘉积镇位于琼海市，境内水产业，农业，畜牧业资源丰富，环境优美，在城郊田园里，莲花在春光下绽放，构成一幅幅春日风景画。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,9
