名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
黄河大峡景区,http://travel.qunar.com/p-oi36792685-huanghedaxiajingqu,,黄河大峡景区位于白银区水川镇西峡口村—皋兰县什川镇小峡之间，峡谷全长31.5公里。千里波涛越兰州、过小峡、穿大峡，直入白银区水川镇。大峡电厂将狂奔不羁的河水拦腰斩断，大峡电站依山而建，乘船荡漾在库区内，两边石崖高耸，水色碧蓝，风景怡人，仿佛“高峡出平湖”的感觉。,,,5.0,,,游船自费。,,2
景电水利风景区五佛寺主题公园,http://travel.qunar.com/p-oi36792589-jingdianshuilifengjing,,景电水利风景区五佛寺主题公园是在景电工程、景电水利风景区的基础上再开发建设而成，主场馆位于五佛沿寺旁的景电总干一泵站，包括荒漠彩虹工程、景电工程博物馆等建设项目，主要依托景电工程部分水利设施建设项目，同时围绕周边山、河资源，形成登山探险、沿河景观、生态林带等观光文化娱乐项目。2016年11月18日，景电水利风景区五佛寺主题公园荒漠彩虹项目建成竣工，同时博物馆建设正式奠基建设，荒漠彩虹工程由景电管理局的输水管道漆画而成，远看宛如彩；景电博物馆规划总占地5523.75平方米，绿化面积2360.26平方米，博物馆综合了收藏、展陈、科普、宣传、教育、研究、交流和休闲等功能。核心展览厅分地域文化展区、抗旱文化展区、景电文化展区三大部分，并分为历史篇、创业篇、发展篇、成就篇、科技篇、人物篇六大篇章，形成以景电工程大型工程景观为依托，融合工程沿线周边区域丰富的生态文化旅游资源，建设集景观游览、文化娱乐、生态休闲等功能于一体的生态旅游走廊。,,,5.0,建议游览时间：2小时,,具体收费情况以现场公示为主,,2
水岸三合景区,http://travel.qunar.com/p-oi36774390-shuiansanhejingqu,,水岸三合景区区位于甘肃省白银市靖远县东湾镇三合村，项目占地面积700亩，景区以高效农业示范推广为主导，田园休闲体验为支撑，规划打造一个融农业旅游、文化娱乐、科普教育、休闲度假、户外运动等为一体的休闲农业和乡村旅游示范区，是靖远县东湾镇田园综合体建设的重要组成部分。2020年成功创建为AAA级旅游景区。,,,5.0,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,3
武家下面,http://travel.qunar.com/p-oi35306314-wujiaxiamian,,,,,5.0,,,具体收费情况以现场公示为主,,4
会宁县博物馆Huining Museum,http://travel.qunar.com/p-oi34271378-huiningxianbowuguan,"

地址:
会宁县会师镇会师北路7号

",﻿会宁县博物馆为三层框架结构，其中一、二楼为展厅，面积840平方米，三层为文物库房和办公区。现馆藏有等各类文物10932件（套），在众多的馆藏文物中，以马家窑文化的彩陶、清代宫廷和地方名人书画较具特色。馆藏早期猛犸象头骨化石，距今约300多万年，是国内完整的猛犸象头骨化石，在世界也很罕见，具有非常重要的科学研究价值，特别是为研究猛犸象类群在欧亚大陆的起源和演化提供了很好的材料。,8:30-17:00（周一闭馆）,,5.0,,,,,5
一条山战役纪念馆Yitiaoshan Zhanyi Memorial Hall,http://travel.qunar.com/p-oi32813305-yitiaoshanzhanyijinian,,一条山战役纪念馆位于白银市景泰县，周围环境清幽，馆内展品丰富，详细的介绍了西路军一条山战役的历史。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/cb95bb480c07ff6541d243bfe3005bae.jpg_480x360x95_a0f7dcad.jpg,5.0,建议游览时间：1小时 - 3小时,,具体收费情况以现场公示为主,,5
银西公园Yinxi Park,http://travel.qunar.com/p-oi27337235-yinxigongyuan,,银西公园以绿色环保为核心，以“生态、健身、休闲”为主题，秉承着原始生态、文化艺术、简洁明快、朴素自然的原则，突出了生态理念和功能定位，在现有山系的基础上充分考虑了园区的自然风貌、历史人文与生态结构，合理规划了各功能区的配置，已成为银西产业园的一块原生态“绿肺”。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/25c829223ccfa94ac80c6d083785075a.gif_480x360x95_836c7be4.gif,5.0,建议游览时间：3小时,,,,5
白银市步行街BaiYinShi BuXingJie,http://travel.qunar.com/p-oi24440628-baiyinshibuxingjie,,,,,5.0,,,具体收费情况以现场公示为主,,6
寺儿湾石窟Si'ergou Grottoes of Jingyuan,http://travel.qunar.com/p-oi20961789-sierwanshiku,,寺儿湾石窟位于中国甘肃省靖远县，是一个省级文物保护单位，类型为石窟寺及石刻。寺儿湾石窟的历史年代为唐、清。,,https://img1.qunarzz.com/travel/poi/1807/49/878114309f7d7637.jpg_480x360x95_ef261555.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,7
明长城遗址（景泰段）Great Wall,http://travel.qunar.com/p-oi19974666-mingzhangchengyizhi,"

地址:
白银市景泰县、靖远县

",,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/4645ced82750a5531928b6d87a53e4a8.jpg_480x360x95_34ead21c.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,7
红山寺Hong Mountain Temple,http://travel.qunar.com/p-oi19974205-hongshansi,,,,,5.0,,,具体收费情况以现场公示为主,,7
毓生元画廊Yushengyuan Gallery,http://travel.qunar.com/p-oi19593351-yushengyuanhualang,,毓生元画廊位于靖远县，画室风格非常典雅，这里有一幅幅精美的画卷，是人们欣赏艺术的好去处。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e8b6c998c109b8f3d06fe9c21b13f660.jpg_480x360x95_ef6fe203.jpg,5.0,,,具体收费情况以现场公示为主,,8
