名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
古龙山峡谷群风景区,http://travel.qunar.com/p-oi707451-gulongshanxiaguqunfeng,"

地址:
广西百色靖西县湖润镇新灵村


电话:
0775-6180315

","古龙山峡谷群景区坐落在靖西县东南的湖润镇新灵村境内，与通灵峡谷景区毗邻，属自治区级古龙山水源林保护区实验区范围，南宁--大新--靖西--云南富宁二级公路（20315省道）从景区中间穿过，距靖西县城30公里，离南宁238公里，对外交通便捷.景区可分为地文景观、水域景观、生物景观、和人文旅游资源。主要包括古劳峡、新灵峡、新桥峡、三叠岭瀑布、新桥瀑布、古南瀑布、水帘洞、暗河漂流等景点。景区属北热带山地气候，气候温和年平均气温21摄氏度；一月份平均气温13.1摄氏度,累年极端...古龙山峡谷群景区坐落在靖西县东南的湖润镇新灵村境内，与通灵峡谷景区毗邻，属自治区级古龙山水源林保护区实验区范围，南宁--大新--靖西--云南富宁二级公路（20315省道）从景区中间穿过，距靖西县城30公里，离南宁238公里，对外交通便捷.景区可分为地文景观、水域景观、生物景观、和人文旅游资源。主要包括古劳峡、新灵峡、新桥峡、三叠岭瀑布、新桥瀑布、古南瀑布、水帘洞、暗河漂流等景点。景区属北热带山地气候，气候温和年平均气温21摄氏度；一月份平均气温13.1摄氏度,累年极端低温极值为零下0.2摄氏度,7月份平均气温27摄氏度,极端高温38 摄氏度.年降水量为1631毫米,4-9月为雨季,占全年降水量的85%以上.地域位于古生代的石灰岩地层，大部分属岩溶峰丛（林）山区，东南部为深切河谷丘陵地貌，地形复杂，土石山交错，为丘陵至中山。最高山峰为古龙山，海拔1034.8米。最低海拔264.5米，海拔大多在500-800米之间，属中山地貌。整个地形处于湖润谷地与靖西台地的转折地貌裂点，形成三叠岭等，西北有东南高差达300多米，由于附近连续五处峡谷深切，暗河棋布，故称“峡谷群”景区内的水资源丰富，主要河流有逻水、古劳河、流祝河三条水系。植物资源丰富，现有森林351.5平方公顷,灌木林431.6平方公顷,森林覆盖率达65.76%.各种动植物约800种,中间不少属于国家保护的珍稀动植物 。",8:00-18:00,https://img1.qunarzz.com/travel/d8/1711/61/f259028dbb4a94b5.jpg_480x360x95_47ace555.jpg,5.0,,,"全程游览门票138元/人,半程游览门票68元/人",,3
黄猄洞天坑国家森林公园Huangjing Cave Tiankeng National Forest Park,http://travel.qunar.com/p-oi703630-huangjingdongtiankeng,"

地址:
百色市乐业县大石围天坑旁

",公园规划面积13879平方公里，是大石围天坑群景区的要组成部分，集天坑、溶洞、高山、森林、瀑布于一体，具有“奇、秀、幽、野”等景观特色。公园气候温和，夏无酷暑，冬无严寒，负离子含量为4—5万个/m3，是游览观光、休闲度假、科普考察的理想场所。黄猄洞天坑国家森林公园由黄猄洞天坑景区、风岩天坑景区、花坪景区、一沟景区和西南民俗风情园等景区组成，拥有六大天坑，37个风景资源点，其中黄猄洞天坑非常独特，天坑地貌惊险壮观，坑口森林茂密，坑底大面积地下森林栖息着大型野生动物，坑内西侧有落差一百多米的季节性瀑布，坑边有蛙王护洞的传说和七仙女下凡的故事，坑内有神秘天坑金刚、天坑仙鸽和黄猄像等29个自然风景点。黄猄洞天坑黄猄洞天坑位于大石围天坑以西7公里，因天坑内曾圈养黄猄而得名。天坑呈不规则多边形，长320米，宽170米，坑口面积51700平方米，坑底面积为38200平方米。黄猄洞天坑是大石围天坑群中非常美丽的天坑之一，是黄猄洞天坑国家森林公园、国家地质公园的主景区，集天坑、溶洞、高山、森林、瀑布、神话于一体。坑口原始森林茂密，坑底地下林栖息着大型野生动物——野猪，坑内有两个季节性瀑布。沿着天坑栈道浏览，展现在你眼前的有：仙女阁、天坑金刚、蛙王护洞和拉雅松等29个景点。无论雨天、雾天，四季都能观赏。,全年 8:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/f3485a6088c9b19ef56d06cb5bc0f79c.jpg_480x360x95_664e6dee.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,3
右江民族博物馆Youjiang Nationality Museum,http://travel.qunar.com/p-oi703721-youjiangminzubowuguan,"

地址:
广西壮族自治区百色市右江区城东大道右江民族博物馆


电话:
0776-2932787

",右江民族博物馆座落在广西百色市后迎龙山顶的百色起义纪念公园内，始建于1985年。博物馆占地面积22.7亩，建筑面积4457平方米。馆舍采用壮族古典廊院重檐的建筑形式，主次井然，高低错落，融民族风格、地方特色于一体。馆内收藏了大量的少数民族历史文物，设有8个展厅，展出面积1507平方米，展品400多件套。少数民族历史文化陈列和民族民俗文化陈列是右江民族博物馆的两大陈列内容。,周二至周五：8：30--11：30；下午14：30--17：30；双休日、节假日：8：30--16：30；周一、农历腊月除夕闭馆,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/da0d8baf192becdc3dd853db11b54321.jpg_480x360x95_9bd727aa.jpg,5.0,建议游览时间：1小时 - 2小时,,右江民族博物馆向社会公众免费开放。,,4
坡嘎拉地下长城Pogala Underground Great Wall,http://travel.qunar.com/p-oi711893-pogaladixiazhangcheng,"

地址:
龙邦镇

",坡嘎拉地下长城在广西中越黄金旅游带靖西的边防重镇龙邦镇，有一个独特的边关探秘旅游风景区，它就是坡嘎拉“地下长城”。始建于1892年的坡嘎拉地下工事，一直是中国的国防军事基地。山中工事经多年修筑，与周边地形相结合，以坡嘎拉山为中心，有九层地道防御体系，地道与四周山岭脉脉相连。长达十多公里的地下工事，曲折贯通边关数十座山中地下洞穴，形成了格局离奇的军事迷宫。该地下工事设施具有防御火攻水攻、步兵坦克、飞机大炮以及巡航导弹、核弹爆炸等各自不同的功能，同时具有观测通讯、指挥调度、屯兵出击的地下控制指挥中心，设计科学，工程宏大，防卫坚固。通过设有坚固的明暗碉堡机关守护，打开钛钢制造厚重坚固的工事大门，走进钢筋混凝土浇铸的地道，哨兵岗、指挥所、武器库、住兵房、地下医院以及汲水运粮等设施一应俱全。,全天,https://img1.qunarzz.com/travel/poi/1803/90/69118177b25ac937.jpg_480x360x95_0e06ddcd.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,4
宫保府景区Gongbao Mansion Architectural Complex,http://travel.qunar.com/p-oi715317-gongbaofujingqu,"

地址:
百色市西林县那劳乡那劳村

","在西林县那劳乡那劳村。这是一组包括宫保府、南阴书院、荣禄第、岑氏宗祠、增寿亭、思子楼、孝子孝女坊等，建于清光绪年间（1875-1908）古建筑群。建筑群为三进院落，砖木结构建筑。前进面阔3间，后进5间，叠梁式梁架，硬山顶，盖青瓦。柱、梁枋、檐板均绘人物山水彩画，门额悬雕有九龙的""宫保府""横匾。门前立照壁，左右置石狮，外有围墙，占地面积1350平方米。",09:00-17:30,https://img1.qunarzz.com/travel/poi/1803/2f/9599f77dccd06e37.jpg_480x360x95_af10744e.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,4
广西百色凌云泗水缤纷,http://travel.qunar.com/p-oi40011446-guangxibaiselingyunsi,,"广西百色凌云泗水缤纷是以生态带、文化带、健康养生带为目标，打造实施的田园综合体。
",,,5.0,,,,,5
百色右江红色讲堂游船主题公园,http://travel.qunar.com/p-oi38818261-baiseyoujianghongsejiang,,百色“右江红色讲堂”主题游船项目是一项献礼工程，是由百色干部学院、广西旅游发展集团、百色红城集团三方共同合作打造的。航线由百色干部学院至百色大码头，途经福禄河国家湿地公园、百谷遗址、檀河遗址及杨屋遗址等多个古人类遗址群，并有老码头、老街区、老商埠等人文景观，与百色起义指挥部粤东会馆、灵洲会馆、百色起义纪念碑等革命址形成丰富的红色景观带。主题游船全程约32公里，航程时长约110分钟。,,,5.0,,,,,5
龙潭湿地公园,http://travel.qunar.com/p-oi37806835-longtanshidigongyuan,,龙潭湿地公园西侧为民俗文化展示区，这里有小广场、休闲步道、金泉及休闲茶阁；东侧为生态湿地观光区，这里有自然美观的生态园林和园林步道；南侧为休闲活动度假区，这里有各种休闲娱乐的室外场所。,,,5.0,建议游览时间：2小时,,,,6
靖西市壮族博物馆Jingxishi Zhuangzu Museum,http://travel.qunar.com/p-oi34272777-jingxishizhuangzubowu,"

地址:
靖西市中山公园西北侧

",,9:00--17:30（周六、周日闭馆）,,5.0,,,免费,,9
那坡县博物馆Napoxian Museum,http://travel.qunar.com/p-oi34271807-neipoxianbowuguan,,,,,5.0,,,免费,,9
