名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
花乡农家乐旅游区,http://travel.qunar.com/p-oi722470-huaxiangnongjialelu:you,"

地址:
湖南省益阳市赫山区黄泥湖乡仙蜂岭村

",益阳花乡农家乐旅游区位于赫山区黄泥湖乡仙蜂岭村，距益阳市中心城区6.5公里，被资水和志溪河环抱。仙蜂岭是闻名遐尔的花会之乡。早在上个世纪九十年代，仙蜂岭人集前辈的智慧和经验，进行花卉苗木的生产栽培。至今发展到300多户花农，1600多亩花卉苗圃，1700多个品种。旅游区内有农家乐经营户28户，其中特色鲜明的有杨梅山庄、李家庄、望江园、江岸春、天然阁等景点。,8：00--18：00,,5.0,,,0元/人,,1
白鹿公园,http://travel.qunar.com/p-oi703227-bailugongyuan,,位于益阳市白鹿公园，创建于唐元和年间，相传裴休曾在此讲经说法，有白鹿衔花出来聆听，故名。,,,5.0,,,,,2
南县厂窖惨案纪念碑,http://travel.qunar.com/p-oi39585593-nanxianchangjiaocanan,,,,,5.0,,,,,2
桃江乱石滩,http://travel.qunar.com/p-oi38940216-taojiangluanshitan,,,,,5.0,,,,,2
益阳洞庭乡愁景区,http://travel.qunar.com/p-oi38940057-yiyangdongtingxiangchou,,益阳洞庭乡愁景区，集洞庭文化体验、研学旅游、主题游乐、现代农业及田园风光、文创产品、休闲康养为一体，彰显并提升洞庭民俗乡土文化、人文历史文化，洞庭农耕文化等特色文化底蕴。,,,5.0,,,,,3
南县乌嘴乡罗文村,http://travel.qunar.com/p-oi38627244-nanxianwuzuixiangluowen,,,,,5.0,,,具体收费情况以现场公示为主,,3
茶乡花海,http://travel.qunar.com/p-oi38336777-chaxianghuahai,,茶乡花海位于安化县，园区属丘陵地区，喀斯特地貌，由近百座小山组成；除了观茶赏花，园区还有玻璃天河漂流、七彩滑道、高空自行车、空中漫步和悬崖秋千等项目，非常好玩。,,,5.0,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,3
沅江休闲公园,http://travel.qunar.com/p-oi38336623-yuanjiangxiuxiangongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,3
云梦秘境,http://travel.qunar.com/p-oi38016185-yunmengmijing,"

地址:
益阳市资阳区长春镇云梦方舟国际度假区


电话:
0737-2988888

",                                    ,无,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以景区现场公示为主。,,4
安澜阁南洞庭旅游码头,http://travel.qunar.com/p-oi36197607-anlangenandongtinglu:,"

地址:
益阳市沅江市石矶湖大堤


电话:
0737-2709231

",,8:30,,5.0,建议游览时间：1小时 - 3小时,,,,4
来仪湖国家湿地公园展示馆Exhibition Hall of Laiyi Lake National Wetland Park,http://travel.qunar.com/p-oi35306313-laiyihuguojiashidigong,, 来仪湖国家湿地公园展示馆展示了当地生态文明建设的成果，在这里人们可以了解赫山的历史文化以及提高湿地保护意识。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,6
桃江烈士墓园Taojiang Martyrs Cemetery,http://travel.qunar.com/p-oi35297905-taojianglieshimuyuan,,桃江烈士墓园位于益阳市桃花江镇，墓园里丰碑矗立，周围树木葱郁，环境清幽。,,,5.0,建议游览时间：2小时,,,,6
南县博物馆Nanxian Museum,http://travel.qunar.com/p-oi34271803-nanxianbowuguan,"

地址:
南县德昌公园内

",,全年 周二-周日 9:00-17:00,,5.0,,,免费,,7
厂窖惨案遇难同胞纪念馆Changjiao Can'an Yunan Tongbao Memorial Hall,http://travel.qunar.com/p-oi26569872-changjiaocananyunantong,,厂窖惨案纪念馆位于湖南省益阳市，于2008年在厂窖惨案遗址旧址上开始建设，并于2010年落成开馆。该纪念馆是湖南省爱国主义基地，国家3A级旅游景区。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e14f2dad4bba0062072d1a907229296e.jpg_480x360x95_d829aa6d.jpg,5.0,建议游览时间：1小时 - 2小时,,,,8
桃花仑路,http://travel.qunar.com/p-oi25402488-taohualunlu,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-mapi/img/d395c69f7143e04d073e771435b6ef77.jpg_480x360x95_0448e69f.jpg,5.0,,,,,8
六步溪Liubu Stream,http://travel.qunar.com/p-oi24413333-liubuxi,"

地址:
益阳市安化县X050

",六步溪拥有良好的自然条件和独特的地质构造，塑造了区内丰富多彩的景观资源。山景、水景、生物景资源丰富，类型齐全，空气清新，风格各异，是游玩休闲的好去处。,全年 9:00-17:00,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,8
寨子仑Zhaizilun Mountain,http://travel.qunar.com/p-oi23342197-zhaizilun,,寨子仑位于益阳市赫山区，由神龙峰、凤形山、摩天岭三组峰峦组成，山势险要，景色秀丽。,,,5.0,建议游览时间：2小时 - 4小时,,具体收费情况以现场公示为主,,9
板溪林场Banxi Tree Farm,http://travel.qunar.com/p-oi20949537-banxilinchang,"

地址:
湖南省桃江县境内


电话:
+86 737 848 0003

",,全年 9:00-17:00,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,10
石头井林场Shitoujing Forest,http://travel.qunar.com/p-oi20943510-shitoujinglinchang,,,,,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,10
观竹楼Guanzhu Pavilion,http://travel.qunar.com/p-oi20940473-guanzhulou,,,,,5.0,建议游览时间：2小时,,具体收费情况以现场公示为主,,10
