名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
大桂山,http://travel.qunar.com/p-oi713277-daguishan,"

地址:
平南县东，在平南与藤县交界处，距县城约20公里


电话:
 0774-5035151

",大桂山风景区位于平南县东，在平南与藤县交界处，距县城约20公里，有简便公路直通景区，由丹竹镇往东平水库，乘船亦可达景区腹地大桂山风景区，由大桂峡谷(俗称石巷)和峡谷附近的天然森林公园两个主景点，以及附近的东平水库库区、大桂林场、团罗茶场等景点组成。大桂峡谷在大桂山最深处，长约8公里，高约30米，两边是陡立的石壁，峡谷最窄处仅两三米宽，谷底为石面，泉水在石面上涓涓而流。人在峡谷穿行，踏着清凉的泉水，仰望崖壁，可见到各种绿藤怪树，奇草野花，还可听到各种陌生...大桂山风景区位于平南县东，在平南与藤县交界处，距县城约20公里，有简便公路直通景区，由丹竹镇往东平水库，乘船亦可达景区腹地大桂山风景区，由大桂峡谷(俗称石巷)和峡谷附近的天然森林公园两个主景点，以及附近的东平水库库区、大桂林场、团罗茶场等景点组成。大桂峡谷在大桂山最深处，长约8公里，高约30米，两边是陡立的石壁，峡谷最窄处仅两三米宽，谷底为石面，泉水在石面上涓涓而流。人在峡谷穿行，踏着清凉的泉水，仰望崖壁，可见到各种绿藤怪树，奇草野花，还可听到各种陌生的鸟儿在山上发出悦耳的叫声。大桂山除了秀丽奇险的自然风景外，还有近十多年来地方政府及集体、个人投资开发的大面积的经济林和连片的茶场，经济林约为40000多亩，以玉桂、龙眼、荔枝、柑桔和竹子为主。茶场约6000多亩，是获得广西区优产品称号的团罗茶生产基地，苍翠的茶林象绿色的腰带，一道道绕在山坡上。春夏晴和，采茶女散落在茶场里，鲜艳的服饰飘动在万绿丛中，偶有山歌悠扬而起，更使游人留连忘返。,8:00-17:00,,5.0,,,,,1
平天山国家森林公园,http://travel.qunar.com/p-oi702534-pingtianshanguojiasen,"

地址:
贵港市城区以北4公里的覃塘管理区覃塘镇根竹乡

","国家级森林公园，距贵港市区20公里，是贵港市方圆70公里内唯一的山岳型自然风景区。平天山国家森林公园总面积16.76平方公里。园区山峰属中山地貌，主峰大平天海拔1157.8米，为桂东南第二高峰，是观赏日出、日落及远眺郁江平原的最佳观景点，公园山脉绵延，纵横交错，地势东南高，西南低。平天山动植物资源丰富，种类繁多，有桫椤、格木、喜树、海南五针松、罗汉松等珍稀植物和18种国家二级保护的兰科植物，形成了色彩斑谰的森林景观；还有虎纹蛙、山瑞、猕猴、穿山甲、小灵猫、苏门羚...国家级森林公园，距贵港市区20公里，是贵港市方圆70公里内唯一的山岳型自然风景区。平天山国家森林公园总面积16.76平方公里。园区山峰属中山地貌，主峰大平天海拔1157.8米，为桂东南第二高峰，是观赏日出、日落及远眺郁江平原的最佳观景点，公园山脉绵延，纵横交错，地势东南高，西南低。平天山动植物资源丰富，种类繁多，有桫椤、格木、喜树、海南五针松、罗汉松等珍稀植物和18种国家二级保护的兰科植物，形成了色彩斑谰的森林景观；还有虎纹蛙、山瑞、猕猴、穿山甲、小灵猫、苏门羚等国家二级保护动物。公园森林密布，内空气清新，负氧离子含量高，有""自然空调，森林氧吧""之称。平天山既是科考、野营、教学的重要场所，又是旅游度假、休闲娱乐的理想胜地。公园内的主要景点有""高山草甸、仙女浴池、仙人瀑布、林海奇景、平天大峡谷、奇石清溪、桫椤群落、高山茶园、沟谷雨林、南天门、石人石马、黄三立寨遗址""等众多的自然景观和人文景观。景区内每年4～5月举行平天山杜鹃花节，6～9月举办森林浴旅游活动，9月举办平天山登山节。高山大草甸：位于大平天山顶，海拔1157米，面积3500多亩， 为广西面积最大的高山草甸，草甸早晚云雾缭绕，一年四季均绿草茵茵，景似天上人间。仙女浴池：位于仙人谷中下部，直径3米左右，深度5米左右，山泉瀑布凌空喧腾而下，似龙王爷喷珠吐玉，水质清澈甘洌，凉爽宜人。仙人瀑布：从仙人谷朝大平天方向溯溪而上，位于海拔597米的两溪交汇处。山泉水从断崖倾泻而下，凌空飞泻，形成落差30多米的瀑布。",8:00-18:00,https://img1.qunarzz.com/piao/fusion/1803/1a/0a7461316216c402.jpg_480x360x95_ed264564.jpg,5.0,,,"{'平天山国家森林公园门票成人票\n\n': ['¥9.5起'], '平天山国家森林公园门票优待票\n\n': ['¥4.9起'], '平天山国家森林公园年卡大小同价\n\n': ['¥50起']}",,1
达开水库,http://travel.qunar.com/p-oi714857-dakaishuiku,"

地址:
广西贵港市以北30公里的龙山盆地的奇石乡境内

",达开水库，是一幅硕大的风景画，又是一座有影无形的历史博物馆。遨游达开水库，会把人引入宽阔无比的美感世界，带进岭南各族人民为改变自己命运而不断抗争的伟烈场面。以太平天国翼王石达开名字命名的达开水库，位于广西贵港市以北30公里的龙山盆地的奇石乡境内。龙山盆地四周层峦叠嶂，险峰陡峭，古木森森，云霭重重。马来江水自西向东，直贯其间，一年四季，碧水涟涟，游鱼穿梭。达开水库，像一洼狭长的湖泊，更像一条硕大的长龙，在四面高山呵护下和袅袅岚烟簇拥中，百拐千弯地自...达开水库，是一幅硕大的风景画，又是一座有影无形的历史博物馆。遨游达开水库，会把人引入宽阔无比的美感世界，带进岭南各族人民为改变自己命运而不断抗争的伟烈场面。以太平天国翼王石达开名字命名的达开水库，位于广西贵港市以北30公里的龙山盆地的奇石乡境内。龙山盆地四周层峦叠嶂，险峰陡峭，古木森森，云霭重重。马来江水自西向东，直贯其间，一年四季，碧水涟涟，游鱼穿梭。达开水库，像一洼狭长的湖泊，更像一条硕大的长龙，在四面高山呵护下和袅袅岚烟簇拥中，百拐千弯地自西南向东北伸展，30公里的行程，一路水间浪隔，把200多座大小不一，形态奇异的岛屿分布在波澜壮阔的湖面上。泛舟漫游，极目远方，那些四面环水的岛屿和伸向湖面的半岛上，在各种林果和各类修竹的掩映下，林立着一幢幢古色古香的唐式建筑农舍，或中西结合新颖别致的楼房，在浓浓的烟霞里，变得朦朦胧胧，隐隐约约，似幻似真，似此似彼，如海市蜃楼，如太虚幻境，像神仙洞府，类天宫玉阙；还有林下劈岛种山的健男，如吴刚砍桂，似后羿张弓；湖畔洗红涤绿的情女，如出浴的贵妃，似奔月的嫦娥。此情此景，无人不感到心胸旷远空阔，好似与天地共久长。凝目眼底，又是另一番天地，船走浪翻，撞石水飞，水花如珠如玉，经阳光折射，五彩缤纷，如云如絮，如绢如练；顾盼左右，山上花团锦簇，姹紫嫣红，燕舞莺歌，水下鲤翔击波；更有奇石之乡奇石千姿百态，秀水滢滢，石在水中浮，水在石上流，水石交融妙不可言。在这山连水，水连天，天人合一的情景里，不知陶醉着多少南来北往的游客。,全天,https://img1.qunarzz.com/piao/fusion/1906/2b/f2f28e1acf4c4702.jpg_480x360x95_3d9c635f.jpg,5.0,,,免费,,3
贵港市龙涡瀑布,http://travel.qunar.com/p-oi39167041-guigangshilongwopubu,,,,,5.0,,,,,4
贵港自然博物馆,http://travel.qunar.com/p-oi38964087-guigangziranbowuguan,,,,,5.0,,,,,4
铜鼓湾温泉旅游度假区,http://travel.qunar.com/p-oi38888425-tongguwanwenquanlu:you,,铜鼓湾温泉旅游度假区位于广西贵港市港南区桥圩镇长塘村，一期占地760亩，以温泉为主线，集酒店、旅游、休闲、医养、度假、娱乐康体、会议会展、主题地产开发为一体综合性温泉旅游休养度假区。,,,5.0,,,,,5
草坪屯,http://travel.qunar.com/p-oi38636799-caopingtun,,,,,5.0,,,具体收费情况以现场公示为主,,5
贵港滨江公园,http://travel.qunar.com/p-oi38337489-guigangbinjianggongyuan,,贵港滨江公园内有健康步道，有儿童游乐设施，是附近居民休憩娱乐的好去处。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,5
桂平金田村Jintian Village of Guiping,http://travel.qunar.com/p-oi24410970-guipingjintiancun,"

地址:
广西壮族自治区桂平市金田镇金田村

",,全年 全天开放,,5.0,,,具体收费情况以现场公示为主,,8
贵港太平天国古迹Taiping Heavenly Kingdom Historical Sites of Guigang,http://travel.qunar.com/p-oi20937427-guigangtaipingtianguo,,贵港太平天国古迹是我国历史上特大的农民起义--太平天国运动的发源地，在此还有一尊太平天国领导人洪秀全的雕像。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/74ceed882d698d5a9619a806a48dde27.jpg_480x360x95_b20bd46e.jpg,5.0,建议游览时间：1小时 - 2小时,,,,9
白马双英Baima Memorial Halls,http://travel.qunar.com/p-oi20934396-baimashuangying,,"白马双英位于丹竹镇，由南汉梁嵩状元纪念馆和明督师袁崇焕""总制三边坊""合称为白马双英。梁嵩状元纪念馆的房屋为仿古建筑，内大厅绘有梁嵩画像、梁嵩苦读图。袁崇焕""总制三边坊""是1987年重建的，坊碑上有仿古图案，是历史文化底蕴深厚的人文景观。",,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,9
中共广西壮族自治区一大旧址Zhonggong Guangxi Zhuangzu Zizhiqu Yi Da Site,http://travel.qunar.com/p-oi19976329-zhonggongguangxizhuang,,,,,5.0,,,具体收费情况以现场公示为主,,9
平南县财富广场Pingnanxian Caifu Square,http://travel.qunar.com/p-oi19970041-pingnanxiancaifuguang,,,,,5.0,,,具体收费情况以现场公示为主,,10
