名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
古镇石板街,http://travel.qunar.com/p-oi7475952-guzhenshibanjie,"

地址:
贺州市昭平县黄姚古镇内

",,全天,https://img1.qunarzz.com/travel/d1/1504/bb/f13c57c3a516be.jpg_480x360x95_71a3462a.jpg,5.0,建议游览时间：1小时,四季皆宜,包含在黄姚古镇景区门票内,,2
封阳古城,http://travel.qunar.com/p-oi710604-fengyanggucheng,"

地址:
贺州市八步区东南部铺门镇

",前111年，汉武帝在贺江的下游与临贺县同时置封阳县，宋开宝4年（971年）并入临贺县，封阳设县置1082年。封阳县古城设在今铺门镇河东村离渡船码头北去约600米的高台地上，这里历史上又称高寨古城。板筑的城垣残墙至今还在，基脚全用石砌。城内西侧有一个土台，土台分为两层，土台层次分明，是天然加人工造成，雄伟壮观。城外北连烽火台，东设兵营，南为山岳，西临贺江，是一处依山傍水，易守难攻的城池。城池内有碎陶片存在。,全天,,5.0,,,免费,,3
紫云洞,http://travel.qunar.com/p-oi7406613-ziyundong,"

地址:
贺州市钟山县 


电话:
0774-5129650

",紫云洞有“紫云仙境”之称，洞内钟乳石形态万千、琳琅满目。,8:00am-17:30am,https://img1.qunarzz.com/travel/d1/1706/8b/81c4ea068e9134b5.jpg_480x360x95_af1fa5bb.jpg,5.0,,,45元,,4
黄姚花海景区,http://travel.qunar.com/p-oi39559116-huangyaohuahaijingqu,,广西贺州黄姚花海景区位于黄姚古镇旁边，是一个宝藏级露营岛。在这里有星空、篝火、滑翔飞伞.....,,,5.0,,,,,5
富川龟石国家湿地公园,http://travel.qunar.com/p-oi37807076-fuchuanguishiguojiashi,,,,,5.0,,,具体收费情况以现场公示为主,,5
七彩渔村,http://travel.qunar.com/p-oi36177923-qicaiyucun,"

地址:
贺州市富川瑶族自治县虎头村毛家大桥码头

",一个坐落在海边的童话世界，七彩绚丽的小屋高低错落，走进村庄仿佛来到一个童话世界里，村中的民居墙壁都被绘上了五彩的图案，墙壁画作展示着浓浓的瑶族韵味。漫步在村里的小道上，犹如走进一个万花筒般的世界里，微风拂面，夹带着芬芳迷人的花香，沁人心脾，流连忘返！,全年 全天开放,,5.0,建议游览时间：12小时 - 3天,,,,6
岔山村,http://travel.qunar.com/p-oi36177906-chashancun,"

地址:
贺州市富川瑶族自治县朝东镇

",远近闻名的“潇贺古道入桂第一村”,全年 全天开放,,5.0,建议游览时间：12小时 - 3天,,,,6
龙井村Longjingcun,http://travel.qunar.com/p-oi23344862-longjingcun,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/d1f680ed285ef94c8fe2c025b9ddead5.jpg_480x360x95_e883ccf7.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,8
贺州广场Hezhou Square,http://travel.qunar.com/p-oi23344860-hezhouguangchang,,贺州广场的面积很大，广场上有各种各样的花，还举办过郁金香花展，是个散步的好去处。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8d3ed959012e057dc5f8aed8e0732e13.jpg_480x360x95_e04b3316.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
灵峰大桥LingFengDaQiao,http://travel.qunar.com/p-oi23343380-lingfengdaqiao,,,,,5.0,,,具体收费情况以现场公示为主,,8
