名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
上堡梯田Shangbao terrace,http://travel.qunar.com/p-oi9627241-shangbaotitian,,上堡梯田位于面积148平方公里的上堡乡海拔1741米的赣南地区第二高峰的华仙峰周围。上万亩梯田就散落在华仙峰周围的南流、良和、赤水一带，梯田的垂直落差近千米，位置最高的田块在海拔1260米处。有的梯田从高到低不断延续，竟然达百层之多，就像一条条长梯，架搭在山间岭谷，特别是在水南村，周围的梯田，高高低低，层层叠叠，涌向天际，令人叹为观止。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/bd41f03cf64574cc2a4bae0dacdb0e7a.jpeg_480x360x95_502a2e56.jpeg,5.0,,,门票10元,,1
寒信村,http://travel.qunar.com/p-oi39447914-hanxincun,,,,,5.0,,,,,4
赤水村,http://travel.qunar.com/p-oi39320926-chishuicun,,,,,5.0,,,,,4
木梓岭,http://travel.qunar.com/p-oi39186685-muziling,,,,,5.0,,,,,5
赣州市图书馆,http://travel.qunar.com/p-oi39172804-ganzhoushitushuguan,,,,,5.0,,,,,5
筑峰顶,http://travel.qunar.com/p-oi38961164-zhufengding,,,,,5.0,,,,,5
金凤梅园世客街,http://travel.qunar.com/p-oi38622306-jinfengmeiyuanshikejie,,金凤梅园世客街位于赣州市章贡区，是在金凤梅园的基础上打造的一个“内古外绿”的世界客家非遗文化主题历史街区，街上商铺林立，包含客家儿郎剧场、儿童乐园、夜景漂流、世界客家书院、世界客家博物馆、世界客家家训馆等众多游玩项目。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,6
黄金潭,http://travel.qunar.com/p-oi38338295-huangjintan,,黄金潭位于赣州市于都县。这里的黄金潭码头始建于明代。现有黄金潭码头文化广场、亲水栈道，游步道等，可供人们游玩。人们还可以品尝当地种植的富硒蔬菜和河鲜。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,7
云山渔谷,http://travel.qunar.com/p-oi36456674-yunshanyugu,"

地址:
赣州市龙南县桃江乡清源村岗鼓山

",云山渔谷位于龙南桃江乡清源村岗鼓山，是一个近年才被发掘的“世外桃源”。这里之所以被称为“云山渔谷”，其一是因其山高，清晨或雨天常有云雾缭绕，犹如梦境仙间，其二是山下渔谷，环境清幽，水源清澈，必出好鱼。正是因为这样独特的地理位置，才让它既有水的润泽又有了山的灵气，被人们称作“云山渔谷”。,全年 08:00-18:00,,5.0,建议游览时间：2小时 - 3小时,,30元,,8
中华汉字主题文化公园,http://travel.qunar.com/p-oi36451430-zhonghuahanzizhutiwen,"

地址:
赣州市经开区客家大道与章贡王路交叉口

","在这里，人们可以了解汉字的起源和发展过程，以及人类的演变过程，公园内有很多雕塑，是个寓教于乐的好地方。
",全开放,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,8
中华苏维埃共和国国家银行旧址,http://travel.qunar.com/p-oi36418685-zhonghuasuweiaigonghe,"

地址:
赣州市瑞金市瑞金沙洲坝革命旧址管理处(沙洲医院东)附近

",,8:30-17:30,,5.0,建议游览时间：1小时 - 2小时,,30元,,9
无为塔,http://travel.qunar.com/p-oi36409581-wuweita,,,,,5.0,,,具体收费情况以现场公示为主,,10
