名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
康普寿国寺Kangpu Shouguosi,http://travel.qunar.com/p-oi710585-kangpushouguosi,"

地址:
迪庆藏族自治州维西傈僳族自治县城北80公里澜沧江东岸康普乡格丁洛巴村

",寿国寺在清代的修建，是作为拥护汉族中央王朝派流官治理维西的一种行为，属藏传佛教噶举派寺院。其寺名也是特意而取的汉名，后成为云南西北藏传佛教噶举派十三大寺院之一。寿国寺历史悠久，建筑群规模宏大，工艺精湛，壁画内容融释、道、儒为一体，是汉、藏、白等民族建筑艺术和多种信仰文化完美结合的典范，同时也是滇西北特殊政教制度的实物见证，具有较高的历史、科学价值和独特的艺术价值。寿国寺北靠云岭山脉，南临澜沧江。整个建筑群以大殿为中心，中轴线布局，占地面积 7370.43平方米，总建筑面积 2665.04平方米，壁画面积228平方米。光绪年间的《维西县志》曾描写寿国寺“林木清幽，规模宏大，洵禅林胜地也”。主要建筑有门楼、大殿、东西厢房、黑神殿、活佛净室、斋戒堂等。,全年 9:00-17:00,https://mp-piao-admincp.qunarzz.com/mp_piao_admin_mp_piao_admin/fusion/20204/4f7568c624d106018966ebc322dbfc62.jpg_480x360x95_563e3681.jpg,5.0,建议游览时间：2小时,适合春夏秋三季旅游。,具体收费情况以现场公示为主,,4
尼农桥Ninong Bridge,http://travel.qunar.com/p-oi7587139-ninongqiao,"

地址:
云南德钦县云岭乡雨崩村

",从尼农峡谷跨越沧澜江的一座吊索桥，是从尼农出雨崩的必经之处，过桥是停车场，可以包车到达德钦县或飞来寺等地。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0a7a49748a6bec4f9fa02d1112c83149.jpg_480x360x95_b5f7f134.jpg,5.0,,四季皆宜,免费,【温馨提示】一是山上落石很多，最好在上午风小的时侯快速通过，下午风大时，一定要做好保护措施；二是要看天而行，下雨天万万不能走尼农，切记。,5
渣日木胜土岩画Rock Paintings in Zhari Village and Mushengtu Village,http://travel.qunar.com/p-oi706416-zharimushengtuyanhua,"

地址:
迪庆州香格里拉县三坝乡渣日村及洛吉乡木胜土村金沙江西岸

",云南渣日木胜土岩画景区，位于香格里拉县三坝乡渣日村及洛吉乡木胜土村金沙江西岸。渣日村北依四川省木里县俄亚纳西族民族乡，东临丽江纳西族自治县奉科乡，南接丽江县大具乡，这些乡村都是纳西族聚居区，所以渲日岩画的发现无疑为研究纳西族地区社会历史及东巴文化的起源提供了宝贵的实物依据。渣日岩画共有6个点，分布于渣日村南北两个方向。岩画大多呈茄红色，只有一处为蓝色，有关专家认为是用超红色赤铁矿扮画成。岩画直接绘制在金沙江边、半山腰和山顶上的青石崖壁上，整个崖壁呈崖厦状朝前倾。从江边到山顶的直线距离大约2000米，景象蔚为壮观。岩画内容均为动物，其中可辨认的有岩羊、山羊、牛、马、鹿、野猪、虎等，以岩羊居多。多数动物头朝南方，也有极个别绘于南向动物图像之上的北向动物图像。,全年 8:00-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/4628c2dfbc9065820e6baa22b6c9f904.jpg_480x360x95_6eb95d3b.jpg,5.0,建议游览时间：0.5小时,,具体收费情况以现场公示为主,,5
梅里双湖,http://travel.qunar.com/p-oi39318429-meilishuanghu,,地处云南省迪庆州德钦县梅里北坡，是罕见的双生雪山冰湖，平日里湖水碧蓝透彻，宛若两颗镶在冰原上的蓝色宝石。由于海拔在5000之上，到了冬季则被冰封雪藏，消失得无影无踪，比雨崩冰湖多一份静谧神秘，有着“梅里雪山的天池”的美誉。,,,5.0,,,,,6
龟山大佛寺,http://travel.qunar.com/p-oi38337114-guishandafosi,,,,,5.0,,,具体收费情况以现场公示为主,,7
金沙江,http://travel.qunar.com/p-oi38035261-jinshajiang,,,,,5.0,,,具体收费情况以现场公示为主,,7
香格里拉大草原,http://travel.qunar.com/p-oi37807105-xianggeliladacaoyuan,,,,,5.0,,,具体收费情况以现场公示为主,,8
白马雪山自然保护区,http://travel.qunar.com/p-oi37806932-baimaxueshanziranbaohu,,,,,5.0,,,具体收费情况以现场公示为主,,8
卓玛拉康Dolma Lhakhang,http://travel.qunar.com/p-oi35951568-zhuomalakang,"

地址:
香格里拉市尼西乡巴拉社巴拉格宗景区内


电话:
400-6613-399,0887-8229222

",,包含在巴拉格宗景区内，景点开放时间详见景区公示,,5.0,建议游览时间：0.5小时 - 2小时,,包含在巴拉格宗景区内，通用于巴拉格宗景区门票,,9
害米洛,http://travel.qunar.com/p-oi35304388-haimiluo,,,,,5.0,,,具体收费情况以现场公示为主,,10
升几梁子,http://travel.qunar.com/p-oi35297911-shengjiliangzi,,,,,5.0,,,,,10
