名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
宋井桃源,http://travel.qunar.com/p-oi39366571-songjingtaoyuan,,宋井桃源以宋代卓筒井非遗文化为核心，结合十里桃园场景重塑宋井桃源景区特色，打造中国乡游精品示范村、西南著名的自然生态盐卤康养地。依托宋井文化植入宋风沉浸式体验场景，打造春赏桃花，夏游荷塘、秋品鱼蟹，冬泡盐汤的四季旅游闭环，构建体验、休闲、科普、教育等为一体的多元化乡游景区。,,,5.0,,,,,2
蓬溪白塔,http://travel.qunar.com/p-oi38621614-pengxibaita,,,,,5.0,,,具体收费情况以现场公示为主,,2
七彩明珠景区Qicaimingzhu Sceneic Area,http://travel.qunar.com/p-oi35198602-qicaimingzhujingqu,, 七彩明珠景区由诗景画廊、眉园叠翠、五彩花坞、桃源春晓、果香民居、黄峨古镇、鹭岛鸟语七个组成。,,,5.0,,,具体收费情况以现场公示为主,,5
大英汉陶博物馆Dayinghantao Museum,http://travel.qunar.com/p-oi34273095-dayinghantaobowuguan,"

地址:
大英县花园干道3号


电话:
0825-7825118

",大英汉陶博物馆位于四川省遂宁市大英县花园干道7号，博物馆共两层楼，一楼是博物馆办公室、接待室、子瞻茶园，还有一个“大英卓筒井展览室”，二楼是展品陈列室。大英汉陶博物馆内有西王母座神灯、说唱俑、抚琴俑等稀有文物，博物馆中展出的众多文物再现了西汉时期位于郪江流域的郪国文明。,周二至周日（周一闭馆） 夏季：8:30—18:30 (18:00后游客请勿入内) 冬季：8:30—18:00 (17:30后游客请勿入内) 国家法定节假日正常开放 夏季：8:30—20:30(20:00后游客请勿入内) 冬季：8:30—19:30(19:00后游客请勿入内),,5.0,建议游览时间：2小时 - 3小时,,免费,,5
沱牌舍得文化旅游区Shede Wine Cultural Tourist Area,http://travel.qunar.com/p-oi32718522-tuopaishedewenhualu:you,"

地址:
遂宁市射洪县沱牌镇沱牌大道999号


电话:
0825-6618888

",沱牌舍得文化旅游区地处北纬30.9°世界白酒核心酿造地带，以“生态循环、绿色环保”著称，是国家AAAA级旅游景区、省级工业旅游示范基地。沱牌舍得文化旅游区位于有“观音故里，诗酒之乡”之称的四川省遂宁市射洪市沱牌镇（原柳树镇），占地面积650万平方米，绿化率高达98.5％，拥有首批“中国食品文化遗产”、被誉为国宝级古法酿酒“活化石”的泰安作坊和被评为“国家非物质文化遗产”的沱牌曲酒传统酿造技艺，是集工业观光、生态观光、科普探秘、互动体验、文化艺术、康养度假、休闲体验为一体的综合性旅游度假胜地。沱牌舍得文化旅游区围绕舍得酒业百年酿酒文化，依托生态自然景观和酿酒工业资源，打造了以泰安作坊、黄金谷、生态酿酒车间、绿色储粮基地、陶坛贮酒库、舍得艺术中心等为主要景点的精品旅游线路，将自然之美与人文之美高度融合，立志成为中国一流的白酒艺术小镇，通过沉浸式场景体验，向世界推行诗酒文化。,全年 08:30-18:00,,5.0,建议游览时间：12小时 - 3天,,{'舍得酒文化旅游区门票+观光车套票成人票\n\n': ['¥39.9起']},,6
蓬莱商业街PengLai ShangYeJie,http://travel.qunar.com/p-oi24441684-penglaishangyejie,,,,,5.0,,,具体收费情况以现场公示为主,,7
赤城湖Chichenghu,http://travel.qunar.com/p-oi23344837-chichenghu,,赤城湖位于四川省蓬溪县，湖面辽阔，岛屿清幽，景色宜人。赤城湖中有古色古香的思源亭、居高临下的揽胜亭、小巧玲珑的湖心亭、翠竹环绕的果树园和长虹卧波的迎春阁，壮观不已，美不胜收。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/7353899628faf339b96142f1f28c8f7e.jpg_480x360x95_b3c7a5f0.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,8
宝梵寺Baofan Temple,http://travel.qunar.com/p-oi23344835-baofansi,,宝梵寺位于四川省遂宁市蓬溪县宝梵镇宝梵村内。大雄殿气宇轩昂，蔚为壮观。寺内现存明代彩绘壁画，具有很高的历史艺术价值。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
四川红军第一村First Village of the Red Army Long March,http://travel.qunar.com/p-oi23344583-sichuanhongjundiyicun,,,,,5.0,,,具体收费情况以现场公示为主,,8
遂宁烈士陵园Suining Martyrs Cemetery,http://travel.qunar.com/p-oi23342845-suininglieshilingyuan,,,,,5.0,,,具体收费情况以现场公示为主,,9
