名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
毛毛虫小镇,http://travel.qunar.com/p-oi39604257-maomaochongxiaozhen,,邢台毛毛虫小镇位于邢台园博园现代农业园内，该园区集游乐、运动、趣味、探索为一体的新型综合性儿童乐园，也是中小学生农耕文化研学基地，园区内有萌宠乐园、宠物寄存、农事体验、彩虹滑道、卡丁车、旋转木马、丛林穿越、坑爹过山车、小猪快跑等,,,5.0,,,,,1
观音寨Guanyin Village,http://travel.qunar.com/p-oi709242-guanyinzhai,"

地址:
邢台市沙河市寨底村北


电话:
13513191473

",观音寨位于邢台市西南45公里处，是小西天奶奶顶的姊妹峰，海拔1052米。该景区身后高山呵护，左右低坡回环，山石沟贫间长满了高低粗细、千姿百态的野生林木，植被覆盖率达80%以上，山林中有野鸡、山兔、短尾雉等野生动物。 传说:从前此处有一小白龙经常兴风作乱，扰民不安。小西天碧霞宫宫主碧霞神三月初一从明山回来，正在楼上梳妆更，童子来报，前殿一善人叫屈。碧霞元君一算，知是小白龙作怪。便命灵官速去解救被小白龙掠走的善人的新娘。灵官与小白龙大战30回合败下阵来。恰在此时，南海观音到北海路过此处，用手一指，一座山从正中裂开一条大缝，灵官且战且退，把小白龙再也不能胡作非为了。现在如遇刮风下雨，观音寨壁上还经常银光闪闪呢。,全年 8:00-19:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/17eb83d33eb0cf804a938031e1c415c6.jpg_480x360x95_861cb3aa.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
邢台好客欢乐谷,http://travel.qunar.com/p-oi38941908-xingtaihaokehuanlegu,,邢台好客欢乐谷位于邢台园博园内，亲子乐园项目占地4万平方米，融汇技能训练、儿童启智、家庭亲子、生活模拟、拓展等元素理念，着力打造主题鲜明、视觉震撼的亲子乐园！目前园区开放的项目有：绳网部落、大型滑梯、旋转飞椅、豪华转马、蹦床公园、网红秋千、网红索道、网红过山车、多人跷跷板、小猪快跑、水上部落、网红自行车、水上游船、网红树转马、蚂蚁王国，探洞工厂。,,,5.0,,,,,3
太行山脉,http://travel.qunar.com/p-oi38678920-taihangshanmai,,,,,5.0,,,具体收费情况以现场公示为主,,4
德龙钢铁文化园,http://travel.qunar.com/p-oi38340791-delonggangtiewenhuayuan,,德龙钢铁文化园内设有实景参观区，钢铁文化休闲体验区等不同空间。是集科普教育、文化体验于一体的文化园。,,,5.0,,,具体收费情况以现场公示为主,,4
赵云故里演义城,http://travel.qunar.com/p-oi38039394-zhaoyunguliyanyicheng,,赵子龙大战长坂坡实景演出景区，体验一场震撼感官的视听盛宴。,,,5.0,,,具体收费情况以现场公示为主,,5
邢台博物馆,http://travel.qunar.com/p-oi37806796-xingtaibowuguan,,"邢台博物馆整体占地面积较大，由正殿和南北偏殿组成，正门广场由一个""井""字。",,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,5
黄儿营生态园,http://travel.qunar.com/p-oi37806422-huangeryingshengtaiyuan,,,,,5.0,建议游览时间：2小时 - 3小时,,,,6
临城水库,http://travel.qunar.com/p-oi37806095-linchengshuiku,,临城水库位于临城县，景区有千米长廊、汉白玉观音塑像和水上乐园，其中，汉白玉观音塑像的高度约有五十米。,,,5.0,建议游览时间：3小时,,,,6
栾卸银杏景区,http://travel.qunar.com/p-oi37806020-luanxieyinxingjingqu,,,,,5.0,,,具体收费情况以现场公示为主,,6
柏乡牡丹世界旅游景区,http://travel.qunar.com/p-oi36679564-boxiangmudanshijielu:,"

地址:
邢台市柏乡县十里铺村南（赵辛线公路西侧）

",汉都牡丹世界位于河北省柏乡县十里铺村南（赵辛线公路西侧），园区占地面积66万平方米，搜集国内外600多种牡丹，数量5万余株，目前已成为国内野生牡丹引种驯化、新品种培育和商品牡丹繁殖的大生产基地之一。,9:00-18:00,,5.0,建议游览时间：2小时 - 3小时,,30元,,6
智跑科技主题乐园Zhipaokeji Theme Amusement Park,http://travel.qunar.com/p-oi35831955-zhipaokejizhutileyuan,,智跑科技主题乐园地处邢台市七里河畔，以智跑科技为主题，内设儿童乐园区、游乐区等多个体验区。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,7
小兴台历史文物博物馆Xiaoxingtai Museum of Historical Relics,http://travel.qunar.com/p-oi35384886-xiaoxingtailishiwenwu,,,,,5.0,,,具体收费情况以现场公示为主,,7
为福集团中央公元社区文化中心Zhongyang Gongyuan Community Cultural Center of Weifu Group,http://travel.qunar.com/p-oi35301118-weifujituanzhongyanggong,"

地址:
邢台市-任县-锦绣街

",,全年 全天开放,,5.0,,,具体收费情况以现场公示为主,,7
观音寨Guanyin Village,http://travel.qunar.com/p-oi27339059-guanyinzhai,"

地址:
河北省沙河市蝉房乡寨底村

",观音寨位于河北省邢台市，得名于此寨所处的山形似坐在莲花上的观音。这里山清水秀，风景优美，登上山顶的观音寨可将周边美景尽收眼底。,全年 6:00-18:00,,5.0,建议游览时间：1小时 - 2小时,,,,8
邢襄古镇Xingxiang Ancient Town,http://travel.qunar.com/p-oi24391119-xingxiangguzhen,"

地址:
河北省邢台市信都区龙泉寺乡055乡道附近

",邢襄古镇位于河北省邢台市邢台县龙泉寺乡，踏着古朴的道路，品味时光的轴线，带着岁月的古朴与深邃，寻找历史的回声，感受来自文化真实的脉动，享受生活的静谧和悠闲。这里是一个将历史文化、景观特色、休闲美食等有机相融的所在。,8:30-18:00,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/8f900821cc5ca97566534ec7a623faf4.jpg_480x360x95_27627c6e.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以景区现场公示为主。,,10
普彤寺塔Putong Pagoda,http://travel.qunar.com/p-oi23343149-putongsita,,,,,5.0,,,具体收费情况以现场公示为主,,10
