名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
资兴观澜书院,http://travel.qunar.com/p-oi38876658-zixingguanlanshuyuan,,,,,5.0,,,,,1
龙华山Longhua Mountain,http://travel.qunar.com/p-oi24411135-longhuashan,"

地址:
湖南省永兴县永兴县城东

",龙华山位于郴州市永兴县，山势险峻，集秀、险、奇、幽于一体，景色宜人。山上建有龙华寺和大明寺。这里是您休闲度假、旅游探险的好地方。,全年 全天开放,,5.0,建议游览时间：12小时 - 3天,,,,1
千佛塔Thousand Buddha Pagoda,http://travel.qunar.com/p-oi19982499-qianfota,,千佛塔位于湖南省资兴市，是用花岗岩筑砌而成，共有九层，为八角形，外墙有石雕像，内墙则有浮雕，整个建筑非常有特色。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/b56b52b84a0c71860fbc4a0bcfbe8432.jpg_480x360x95_d557dc8c.jpg,5.0,建议游览时间：2小时,,,,3
赤滩村,http://travel.qunar.com/p-oi39413164-chitancun,,,,,5.0,,,,,4
邱家,http://travel.qunar.com/p-oi38933316-qiujia,,,,,5.0,,,,,4
711地下核城,http://travel.qunar.com/p-oi38923056-711dixiahecheng,,功勋七一一矿是我国开采的第一座铀矿山，核工业711矿旧址群被列为：第八批全国重点文物保护单位。,,,5.0,,,,,4
湖南暖水温泉度假区,http://travel.qunar.com/p-oi38818048-hunannuanshuiwenquandu,,湖南暖水温泉度假区位于汝城县暖水镇，总占地面积约3000亩，总投资约20亿元，按照国家4A级旅游景区和五星级酒店标准布局。依泉脉而打造的温泉养生区。独特规划了7大特色温泉区，错落有致地分布在别具特色的半山坡地区内，分为景观温泉区、花型温泉区、石林温泉区、动感水疗区、水上乐园区、私密温泉区及贵宾SPA汤屋区，各类温泉汤池多达50个，为您提供多种多样的温泉养生疗养体验。,,,5.0,,,,,4
高椅岭樱花茶场乐园,http://travel.qunar.com/p-oi38596276-gaoyilingyinghuachachang,,,,,5.0,,,,,5
马皇丘大峡谷,http://travel.qunar.com/p-oi38336979-mahuangqiudaxiagu,,马皇丘大峡谷，全长5公里，道路竹林环绕，是特有的红岩大峡谷，非常适合自行车运动。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,5
望湖生态庄园Wanghushui Amusement Park,http://travel.qunar.com/p-oi38135216-wanghushengtaizhuangyuan,"

地址:
湖南省郴州市桂阳县望湖生态庄园


电话:
0735-4461182

",桂阳望湖乡村旅游有限公司创建于2012年，庄园南至骏马大道（桂阳县环城路）4公里，直达高铁站仅25公里（35分钟车程），距离县城中心仅8公里，是周边短途游胜地。庄园总占地5000余亩（水域300余亩），其中娱乐休闲区1900余亩、精品农业区2255余亩、植物花卉景观区1000余亩，让短途出行更加丰满有趣。园区内依山傍水，山环水聚，周边生态环境优雅，绿树成荫、果蔬飘香，是放松心情、回归自然的优选之一。园内还具有浓郁的湘南乡村风情和乡土文化气息，陆续被评为湖南省休闲农业与乡村旅游区（点）、星级休闲农庄。其中农业区包括：渔业禽类养殖园、百果园、蔬菜种植园、畜牧养殖园，到了果蔬成熟的季节，还可享受采摘的快乐。植物景观区含有：百花园、植物科普园，漫步百花丛中，只有惬意缠身。更有吸引人的娱乐休闲区，其中有：生态餐厅、越野俱乐部、儿童动漫水乐园、沙滩乐园、青少年拓展培训中心、自行车营地、马术俱乐部、汽车自驾游营地、玻璃漂流等20+项目。我们为打造成一个以高品质生态环境，与周末短途游乐园为背景，集休闲娱乐、健康养生、植物科普教育、游乐项目为一体，将成为桂阳县近百万人口，郴州市区百万人口乃至广州、长沙等地的休闲度假小镇，与生态游乐场。 ,全年 09:00-18:00,,5.0,建议游览时间：2小时 - 3小时,,,,5
松柏丛林越野,http://travel.qunar.com/p-oi37805500-songboconglinyueye,"

地址:
郴州市资兴市东江街道桥背松柏丛林越野俱乐部

",这个俱乐部拥有超长的赛道，是全地形越野，可以让你驰骋一个多小时，玩到尽心。更棒的是，你会穿过数橘子林、樟树林......每个季节整个赛道都会有所变。,全年 09:00-21:00,,5.0,建议游览时间：1小时 - 2小时,,,,6
赤石大桥Chishi Bridge,http://travel.qunar.com/p-oi35714832-chishidaqiao,"

地址:
郴州市宜章县

",赤石大桥全长两千多米，由主桥、四座桥塔、主梁、桥墩、引桥及其各立交匝道组成，桥身坚固，雄伟壮观。,全年 全天开放,,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,8
"安仁桃花岛Peach Blossom Island, Anren",http://travel.qunar.com/p-oi35320366-anrentaohuadao,,"安仁桃花岛依山傍水、景色秀丽，这里种植了三百多亩的桃花，每当桃花盛开时，格外美丽。
",,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,10
