名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
江平古镇,http://travel.qunar.com/p-oi716091-jiangpingguzhen,"

地址:
防城港东兴市江平镇，距东兴市区15公里

",自然风景区。位于东兴市江平镇。距东兴市区15公里。自然景观为一体的风景旅游区。江平原为江坪，是一块冲积平地。在这块土地上，原是古木参天的原始森林，长满檀香树、紫荆、松、杉等名贵木材。光绪13年，江平就成立了“南服书院”，积极培养地方人才。光绪11年，南海、番禺、顺德等地的商人为方便经商，也在这里成立了广州会馆，法国人则建起了精致的教堂，收罗门徒，广为传教，每至周末，钟声回荡，振人心脾。过去的江平真可谓文人荟萃，商贾云集之地。因此，在防城境内，该地当时...自然风景区。位于东兴市江平镇。距东兴市区15公里。自然景观为一体的风景旅游区。江平原为江坪，是一块冲积平地。在这块土地上，原是古木参天的原始森林，长满檀香树、紫荆、松、杉等名贵木材。光绪13年，江平就成立了“南服书院”，积极培养地方人才。光绪11年，南海、番禺、顺德等地的商人为方便经商，也在这里成立了广州会馆，法国人则建起了精致的教堂，收罗门徒，广为传教，每至周末，钟声回荡，振人心脾。过去的江平真可谓文人荟萃，商贾云集之地。因此，在防城境内，该地当时的教育，经济都算是发展得比较早的。江平不但文化发达，经济繁荣，更令时人赞叹的是。这里还有奇异的景致。至今还盛传着的八大景点。 一、古寨烟霞，二、印岭横江， 三、松亭鹤室，四、珠墩夜月，五、同皮古潜，六、银坑瀑布。七、五指高峰，八、棋盘夜灯。,全天,,5.0,,,免费,,2
白龙炮台White Dragon Fort,http://travel.qunar.com/p-oi715792-bailongpaotai,"

地址:
防城港市防城区

",白龙炮台始建于清朝光绪年间，紧邻北部湾。白龙炮台主要由白龙台、艮坑台、龙珍台、龙骧台这四座炮台组成，每座炮台的正面门楼军用方石条砌成，沿着正门的台阶向上，往里走，可看到昔日士兵居住的兵房，储存弹药的弹药库，送弹孔、藏弹洞等设施。来到炮台的高处，可一睹古炮台的庄严气势，还可远眺海平面，欣赏辽阔的美丽景色。,全天,https://img1.qunarzz.com/travel/d4/1610/58/45677fbb255566b5.jpg_480x360x95_40f71c74.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,2
魔石谷,http://travel.qunar.com/p-oi711460-moshigu,,位于广西防城港市上思县南部，距南宁128千米，县内四级路可达。是谷地型类自然风景旅游区。魔石谷因谷深，石头常年被河水冲刷，形状怪异而得名。魔石谷旅游风景区面积约10平方千米，十万大山白石牙主峰位于谷地旁边。是十万大山中峰、石、潭、瀑、林兼胜，以雄、奇、秀、幽著称的一处名胜。魔石谷地理环境生态原始，林木郁葱，林间空气负离子含量达7.9万个∕立方厘米，俨然一个巨大的天然氧吧。三月杜鹃花开，既是科考、野营、会务的重要场所，又是旅游观光、避暑度假的理想胜地。,,,5.0,,,,,3
观音寺,http://travel.qunar.com/p-oi38351510-guanyinsi,,观音寺占地面积三千多平米，有正定楼、钟楼、藏经阁、素食馆、山门、放生池、九龙壁等景点，藏有舍利子十余颗。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,5
明珠广场,http://travel.qunar.com/p-oi38337632-mingzhuguangchang,,,,,5.0,,,具体收费情况以现场公示为主,,5
桃花湖公园,http://travel.qunar.com/p-oi36125284-taohuahugongyuan,"

地址:
防城港市港口区北湖路


电话:
17344422284

",防城港桃花湖是人工淡水湖，位于防城港市渔万半岛桃花湾生活片区，北至马岭、南靠朱砂港、西接金凯利阳光海岸、东至深沟岭和白鸡龙，景区以海洋文化为灵魂，以桃花湾的自然资源为基础，以周边房地产项目为依托，构建一个集观光、休闲、娱乐、购物、饮食、住宅为一体的、高品位的城市综合旅游区。,全年 09:00-23:00,,5.0,,,189元,,5
东兴京族博物馆Dongxingjingzu Museum,http://travel.qunar.com/p-oi34270292-dongxingjingzubowuguan,"

地址:
东兴市江平镇万尾村民族路

",东兴京族博物馆地理位置优越，环境优美，馆内有很多展品，通过这些展品，人们可以更好地了解京族的民族服饰、生产生活工具、独弦琴和居住环境等内容。,全年 周二-周日 9:00-16:30,,5.0,建议游览时间：2小时 - 3小时,,免费,,6
京族哈亭Jing Nationality Ancestral Temple,http://travel.qunar.com/p-oi26637690-jingzuhating,,京族哈亭是当地民族经典景区。其中哈亭是当地民众祭神和民间娱乐的公众场所。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/9c2c1b05669a7153ce05324d57c8f543.jpg_480x360x95_3e8961e8.jpg,5.0,建议游览时间：2小时,,,,6
瑶寨九龙潭Jiulong Pools of Yao Village,http://travel.qunar.com/p-oi24410932-yaozhaijiulongtan,"

地址:
防城区那良镇

", 瑶寨九龙潭两岸有奇石、果林，漂流忽转忽旋，急驰而下，大浪扑面。周围曲径通幽，树木茂盛，郁郁葱葱，风光秀丽。,全年 8:30-17:00,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,7
国贸中心广场Guomao Center Square,http://travel.qunar.com/p-oi19970882-guomaozhongxinguangchang,,,,,5.0,,,具体收费情况以现场公示为主,,9
