名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
大垌山净业寺,http://travel.qunar.com/p-oi703085-datongshanjingyesi,,"大垌山净业寺位于阳西县城西五公里大垌山，是佛的王国,玉佛数量居全国第一，又称万佛城。净业寺历史悠久，清乾隆五十六年（1791）和道光二年（1822年）两次重修。净业寺初名静业庵,清康熙十六年大规模重修时,改名为净业寺。民国二十年阳江县长李伯振组织修缮，成为著名景点。毁于""文化大革命""期间；1988年阳西建县后重建，初具规模.净业寺群山环绕，风光秀美，古树婆娑，寺内有潺潺流水。净业寺坐西朝东南，宝殿斗拱飞檐，黄瓦朱柱，雕梁画栋，巍然耸立；正门上方，悬挂着中国佛教协...大垌山净业寺位于阳西县城西五公里大垌山，是佛的王国,玉佛数量居全国第一，又称万佛城。净业寺历史悠久，清乾隆五十六年（1791）和道光二年（1822年）两次重修。净业寺初名静业庵,清康熙十六年大规模重修时,改名为净业寺。民国二十年阳江县长李伯振组织修缮，成为著名景点。毁于""文化大革命""期间；1988年阳西建县后重建，初具规模.净业寺群山环绕，风光秀美，古树婆娑，寺内有潺潺流水。净业寺坐西朝东南，宝殿斗拱飞檐，黄瓦朱柱，雕梁画栋，巍然耸立；正门上方，悬挂着中国佛教协会会长赵朴初题写的横匾""净业寺""。2000年，妙空法师尽毕生积蓄，打造两千多尊缅甸玉佛，捐赠大垌山净业寺，中有一尊亚洲最大的缅甸玉卧佛，长7米，高2.5米，重27吨，造型精美，为全国最大的玉卧佛。大垌山净业寺是佛教名刹，慕名来访的名人墨客、达官显贵不胜其数。留下名联：""三载游人重访柳，万花绕砌不妨禅""。全国佛教协会会长赵朴初、中国国画大师关山月分别为大垌山净业寺题辞题字。",,,5.0,,,,,2
青洲岛,http://travel.qunar.com/p-oi7469232-qingzhoudao,"

地址:
广东省阳江市阳西县青州岛

",,08:30-17:30,https://img1.qunarzz.com/travel/poi/1408/27/2e13af33ba150e80ffffffffc8d65eac.jpg_480x360x95_d0ff5d4b.jpg,5.0,,,,,3
鸡乸朗村,http://travel.qunar.com/p-oi39439873-jinalangcun,,,,,5.0,,,,,4
阳江阳帆豆豉展览馆,http://travel.qunar.com/p-oi39365866-yangjiangyangfandouchi,,阳帆豆豉展览馆坐落于美丽的中国阳江市漠阳江之畔，位于深海高速白沙出口处，由广东阳帆食品有限公司投资兴建，于2022年正式开馆。来到阳帆豆豉展览馆，您能走进千年中国豆豉文化的发展史，了解百年阳江豆豉酿造的老传统，更能看到阳帆工厂是如何坚持用老传统生产制作阳江豆豉的。希望您能享受这次神奇的豆豉文化之旅。豆豉文化源远流长，是中华民族饮食文化的重要组成部分，阳帆豆豉展览馆一共五层，室内建筑面积约6000平方米，场馆内外可参观面积达3300平方米，由阳帆红色展厅、阳帆人才驿站、研学教室、阳帆豆豉非遗馆、阳帆微生物制曲车间、阳帆露天发酵场、阳帆封闭天然晒场、阳帆书法馆、旅游购物商场九大部分组成。设有专门旅游参观专用通道，配有餐饮区、大型绿化停车场，打造集生产、旅游、休闲、研学为一体的新型工业旅游景区。阳帆豆豉非遗馆由：“阳江豆豉地理标志“、”豆豉文化历史”、“阳江豆豉非遗传承”、“阳江豆豉制作工艺”“阳江豆豉功效”“豆豉饮食文化”六个展区组成。走进阳帆豆豉非遗馆，感受阳江百年的豆豉文化，品味具备特色的阳帆豆豉。通过对百年阳江豆豉酿造工艺的传播和普及，展现中华饮食文化的博大精深，展现中国传统酿造工艺的发展历程，展现阳帆独特的人文魅力。阳帆微生物制曲车间、阳帆露天发酵场及阳帆封闭天然晒场的展示，则集中展示了阳帆对阳江豆豉传统晒制工艺的传承和创新。,,,5.0,建议游览时间：1小时 - 2小时,,,,4
渔家文化展览馆,http://travel.qunar.com/p-oi39173068-yujiawenhuazhanlanguan,,在我国的浙江、福建、广东、广西沿海地区生活着一个疍民族群，他们至今仍保持着以前的生活习俗。“舟楫为宅，捕鱼为生”由于他们的艇形状象蛋，称为“疍家人”。也被称为“水上的吉卜赛人”。闸坡渔家文化展览馆便是以此为根本的文化展览馆。         疍民是个特殊的群体，但对其由来，没有相应的文字史料记载，至今对其起源也没有一个确切和权威的说法。有“古越人避秦军逃入丛簿说”，“吕嘉兵败遁逃江河说”“卢循余党入水上岛说 ”，“元末蒙古人避难流徙说”，“南雄珠矶巷富户破产沦落说”等等。也有人认为疍家人由于常年生活在海上与风浪搏斗，生存环境恶劣练就了他们独特的谋生手段，生命没有保障就像蛋壳一样脆弱，所以被称为“疍家”。这就是疍家人的来源。          随着社会的发展和进步，疍家人先后都已离开海上的漂泊生活上岸居住了，但富有海洋风情的疍家文化得到了传承和发扬。作为汉族分支的疍家人，在近两千年的生存繁衍和发展演变过程中，疍家人以自强不息、百折不挠、具有较强抗争能力和生存能力的社会群体。他们在江河沿海，开创了广阔的天地。这些特殊的水上居民，在中国民俗史上占有一定的地位。,,,5.0,建议游览时间：1小时 - 2小时,,,,4
仙家垌水库,http://travel.qunar.com/p-oi36405582-xianjiatongshuiku,,,,,5.0,,,具体收费情况以现场公示为主,,7
三山岛Sanshan Island,http://travel.qunar.com/p-oi35913207-sanshandao,,三山岛位于海陵岛的东南方，这里生态环境原始，景色十分美丽，是驴友们喜爱的岛屿之一。,,,5.0,建议游览时间：3天 - 6天,,具体收费情况以现场公示为主,,8
酒饭垌Jiufandong Village,http://travel.qunar.com/p-oi35643534-jiufantong,,,,,5.0,,,具体收费情况以现场公示为主,,9
根竹寨,http://travel.qunar.com/p-oi35305093-genzhuzhai,,,,,5.0,,,具体收费情况以现场公示为主,,9
海陵岛国家海洋公园Hailingdao Guojia Haiyang Park,http://travel.qunar.com/p-oi35213589-hailingdaoguojiahaiyang,,海陵岛国家海洋公园位于阳江市西南端的南海北部海域，这里四面环海，有阳光沙滩和海水的结合，被评为中国十大美丽海岛之一。,,,5.0,,,,,10
