名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
开河寺Kaihe Temple,http://travel.qunar.com/p-oi709031-kaihesi,,开河寺位于平定县乱流村西的魁头山腹，这里山峰突兀，松柏参天。此寺创建于北魏永平三年（510）。寺内有上、中、下三龛，大小佛像百余尊，佛像大者高4.4米，小者仅高0.12米，其造像风格和神态与大同云冈石窟佛像如出一辙，故有“三晋小云冈”之称。,,https://img1.qunarzz.com/travel/poi/1803/3b/352d1423d6b85537.jpg_480x360x95_c468cda5.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,1
董寨龙潭峡谷风景区,http://travel.qunar.com/p-oi38909946-dongzhailongtanxiagufeng,,龙耀九霄云腾致雨，潭深千尺水不扬波！董寨龙潭峡谷景区位于中国历史文化名村、中国传统村落——平定县娘子关镇下董寨村，是娘子关镇振兴乡村经济的重点项目之一，也是娘子关镇全域旅游开发的主要项目之一。,,,5.0,,,,,2
桃河公园(桃南东街),http://travel.qunar.com/p-oi38604910-taohegongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,2
阳泉海洋世界Yangquanhaiyang World,http://travel.qunar.com/p-oi34941683-yangquanhaiyangshijie,,阳泉海洋世界是一座风格独特的海洋主题游乐馆，突破传统水族馆的规划理念，馆内分为十一大展区。场馆设计用全新的方式和手段展示各种海洋生物，突出互动体验性，并引入了海洋和萌宠相互结合的元素概念，根据儿童心理特征设计的，通过科学的立体组合形成一个集寓教于乐、科普教育、观光游览为一体的第四代海洋馆，让儿童在观赏各类奇趣的海洋生物和萌宠动物的同时，学习到丰富的海洋知识。,,,5.0,建议游览时间：2小时 - 3小时,,78元,,3
地道战遗址Didaozhan Ruins,http://travel.qunar.com/p-oi19973276-didaozhanyizhi,,地道战遗址位于山西省平定县南庄村，在抗日战争时期，南庄村三面受敌，为抵抗入侵，村民齐心挖地道与日军开展“地道战”。挖好的地道全长约4000米，设置了22个进出口，31个居住窑洞，21个通气眼，6个竖井式防毒气战及防烟薰战机关。几十年过去了，南庄村的地道基本保持着原来样貌。2013年8月，南庄村利用现有的抗战地道遗址，保护性开发乡村红色旅游项目。目前，村子西边的1000米地道已对外开放。2014年年底前，将陆续对剩余的3000米地道进行修复工作。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/3c34563bc08075955d451e3f5d19a422.jpg_480x360x95_a078501c.jpg,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,6
龙凤松Longfeng Pine Tree,http://travel.qunar.com/p-oi18700035-longfengsong,,位于藏山山谷咽喉之地，龙松仰卧东北，盘曲虬然，凤松绵亘东南，若越若腾。龙凤二松千百年来沐浴在风雨中，守护着圣洁的忠义之地。,,,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,9
七机岩Seven Caves,http://travel.qunar.com/p-oi10003441-qijiyan,,在藏山村北，相传七仙女下凡时，曾在此顶部的大岩洞内纺纱织布，以解民间穿衣御寒之苦，故名“七机岩”。沿999个台阶拾级而上到达峰顶，回头俯视，四周苍山如海、田舍如画，有身置宵汉之感。,,https://img1.qunarzz.com/travel/poi/1712/80/6c5456c4abe0b637.jpg_480x360x95_e0c9ab63.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,9
笏峰Hufeng Peak,http://travel.qunar.com/p-oi10003438-hufeng,,笏峰位于南天门之西，势若斧削面祠南立形似古代大臣上朝时手中所持的“笏板”，故名。,,https://img1.qunarzz.com/travel/poi/1712/e8/cb022d20ea431637.jpg_480x360x95_fce0256b.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,9
拜水洞Baishui Cave,http://travel.qunar.com/p-oi10003436-baishuidong,,又称龙洞，位于藏山北崖从南天门向北转西行即可到达。洞中有石龙盘曲，鳞甲天然，龙身红腻，光彩照人。凡大旱之年，老百姓必到此祈雨，非常灵验，故名拜水洞。,,https://img1.qunarzz.com/travel/poi/1712/5e/b227656968172f37.jpg_480x360x95_fff16f5c.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,10
抱孤峰Baogu Peak,http://travel.qunar.com/p-oi10003434-baogufeng,,位于藏山口七机岩峰顶，于两山之中一峰突起，壁立千仞。峰顶有大石人怀抱小石人的造型，寓意程婴怀抱赵氏孤儿抚育的情景。,,,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,10
仙人秀石Xianren Xiushi,http://travel.qunar.com/p-oi10003432-xianrenxiushi,,位于七机岩右侧，形似人，高8米，名曰“仙人石”。传说程婴杀身取义后，在冥游中又毅然返回藏山，化作一座巨石，保护着有恩于他的仇犹老百姓。,,,5.0,建议游览时间：1小时,,,,10
梳洗楼Shuxilou,http://travel.qunar.com/p-oi10003431-shuxilou,,位于北崖中嶂为双层悬空结构，如天外飞来降落在峭壁之上，又名飞岩楼。登楼凭栏，藏山诸景尽收眼底。,,https://img1.qunarzz.com/travel/poi/1806/ef/bb3bb2b203c42037.jpg_480x360x95_82b89ddf.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,10
石莲花Stone Lotus Scenic Spot,http://travel.qunar.com/p-oi10003428-shilianhua,,石莲生于忠义苑莲花寺后的崖壁上，是一朵形象逼真的莲花状钟乳石。传说：释迦牟尼神游藏山时，与老子讲经论道，感到东方文化博大精深，便留脚下莲花，以志纪念。,,https://img1.qunarzz.com/travel/poi/1712/e6/190a766a5faf6237.jpg_480x360x95_0d925b25.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,10
