名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
清代立交桥,http://travel.qunar.com/p-oi7475904-qingdailijiaoqiao,"

地址:
雅安市雨城区上里古镇

",高桥又称清代立交桥，桥面高起，距离水面有十多米，桥身平坦宽阔——这样的设计既保证了人流货运的畅通，也保证了丰水季节的出入安全。高桥是上里古镇过去最大的一座桥梁，也是南丝路驿道进入古镇的主要通道。值得一提的是，在这座石桥东西两端的桥身之下，还各建有一人行通道，这样桥上、桥下皆可通行，被当地人誉为清代的“立交桥”。想当年，高桥上马帮铃响，络绎不绝，桥下则人流如注，来往喧嚣。古镇的热闹，丝路的繁华，在这高桥身上可窥一斑。,全天,https://img1.qunarzz.com/travel/poi/1409/17/4811d34fc56085bffffffffc8d65eac.jpg_480x360x95_09fef857.jpg,5.0,建议游览时间：0.5小时,四季皆宜。,免费,,2
金凤寺,http://travel.qunar.com/p-oi706180-jinfengsi,"

地址:
四川雅安市

","金凤寺，西距雅安市区三公里，前临清衣江，后枕蒙山，山形呈“青龙绕凤”之势，环境幽静雅致，是雅安八属之古迹。金凤寺始建于唐初，兴盛于宋，明永乐元年僧宗寿重建，迄今6百多年历史。因山下有莲花池而更名为“莲花寺”，又因山之东状如飞翔的凤凰，且寺庙恰处飞凤头下，遂更名“金凤""。弘治年间增添亭台楼阁、连池水榭。清同治年间，修“揽辉”、“望月”二亭。抗战期间，修建“牌坊”，于公元一九八七年，修建“罗汉堂”。如今，金凤寺宝刹更日益辉煌。",7:00---17:30,https://img1.qunarzz.com/travel/poi/201408/04/6d2e67602cc4023cc8d65eac.jpg_480x360x95_6cd350c8.jpg,5.0,,一年四季都可游览，需要注意的是来这里一定要准备好防雨。,2元,,2
金凤山,http://travel.qunar.com/p-oi705190-jinfengshan,"

地址:
四川雅安市雅安市城区旁

",金凤山公园在雅安市城区旁，以金凤寺和高颐墓阙为主要景点。金凤寺始建于唐初，重建和扩建于明清，寺庙掩映在葱葱苍翠之中，环境幽雅，占地1万平方米。天王、弥勒、大雄、观音四殿和罗汉堂建筑规模宏大，是千年古刹。寺庙藏有经书500多卷，有名人匾对，屏画50余幅，唐卡图及神兽、转轮等象征吉祥如意的装饰物，是汉藏民族团结和睦的见证。罗汉堂内500罗汉雕塑神态各异，栩栩如生。高颐墓阙建于东汉建安14年公元209年，占地2000平方米，是汉代益州太守高颐及弟高实的墓阙，属国家重点文...金凤山公园在雅安市城区旁，以金凤寺和高颐墓阙为主要景点。金凤寺始建于唐初，重建和扩建于明清，寺庙掩映在葱葱苍翠之中，环境幽雅，占地1万平方米。天王、弥勒、大雄、观音四殿和罗汉堂建筑规模宏大，是千年古刹。寺庙藏有经书500多卷，有名人匾对，屏画50余幅，唐卡图及神兽、转轮等象征吉祥如意的装饰物，是汉藏民族团结和睦的见证。罗汉堂内500罗汉雕塑神态各异，栩栩如生。高颐墓阙建于东汉建安14年公元209年，占地2000平方米，是汉代益州太守高颐及弟高实的墓阙，属国家重点文物，墓阙及石兽均体现了汉代文化和建筑的丰富内涵，集建筑雕刻书法艺术于一体，是全国汉墓阙中保存最完整最精美的珍品，具有很高的历史、艺术和美学价值。,7:00 - 19:00,,5.0,,一年四季都可游览，需要注意的是来这里一定要准备好防雨。,10元,,2
安顺场渡口与翼王亭,http://travel.qunar.com/p-oi711712-anshunchangdukouyuyiwang,"

地址:
四川雅安市石棉县境内


电话:
0835-2316838

",安顺场原名紫打地，地势险要。清代同治二年5月，太平天国箕王石达开在此全军覆没。1935年5月，中国工农红军长征在此强渡大渡河成功，安顺场由此载人中国革命史册，1980年被列为省级文物保护单位。渡口遗址建有“中国工农红军强渡大渡河纪念碑”，塑红军战土头像，锈刻邓小平同志题词，周围植苍松翠拍、花草。安顺场建有红军强渡大渡河纪念室，陈列红军用过的兵器、马灯等实物47件、图片80幅，还有刘伯承、聂荣臻等老一辈革命家的题词。翼王亭屹立于石棉县城北、大渡河铁索桥畔的石儿山...安顺场原名紫打地，地势险要。清代同治二年5月，太平天国箕王石达开在此全军覆没。1935年5月，中国工农红军长征在此强渡大渡河成功，安顺场由此载人中国革命史册，1980年被列为省级文物保护单位。渡口遗址建有“中国工农红军强渡大渡河纪念碑”，塑红军战土头像，锈刻邓小平同志题词，周围植苍松翠拍、花草。安顺场建有红军强渡大渡河纪念室，陈列红军用过的兵器、马灯等实物47件、图片80幅，还有刘伯承、聂荣臻等老一辈革命家的题词。翼王亭屹立于石棉县城北、大渡河铁索桥畔的石儿山上，为纪念石达开兵败大渡河而建，亭为六角形，四方有吴王靠和坐槛，竖《冀王亭记》石碑，亭外尚有纪念翼王石刻碑文20余通，亭下危岩悬壁，大渡河波涛汹涌，惊涛拍岸，慰为壮观。,全天,https://img1.qunarzz.com/travel/d1/1508/77/be88572c363604.jpg_480x360x95_ef8e7812.jpg,5.0,,,16元,,3
雅安科技馆,http://travel.qunar.com/p-oi38340969-yaankejiguan,,雅安科技馆有三层，分三个展厅，七个展区，三楼有基础科学展品，可以通过参观体验展品学到很多科学知识。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,4
红军村,http://travel.qunar.com/p-oi37195940-hongjuncun,,1935年11月，红四方面军第四军和第九军解放并进驻天全县，在红军村设立红四方面军总部、政治部，红军大学和红军总医院。红军在此驻扎战斗生活了100余天，留下了诸多英雄的故事。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,5
龙苍沟山地运动公园,http://travel.qunar.com/p-oi37190585-longcanggoushandiyundong,"

地址:
龙苍沟森林公园


电话:
13551802099

", 龙苍沟山地运动公园面积很大，山清水秀，人们可以在这里体验越野车项目、喂小动物。,全年 09:00-17:00,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,5
青衣江公园,http://travel.qunar.com/p-oi37189173-qingyijianggongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,5
汉源湖,http://travel.qunar.com/p-oi36447194-hanyuanhu,"

地址:
富林镇观湖街汉源湖

","汉源湖位于汉源新县城,湖水为贡嘎雪山冰雪融水,四季清澈透明。湖周群山绵延，水面百鸟翱翔,气候温和，湖区空气清新、冬无严寒、夏无酷暑，是宜于休闲、度假、康体、养生的生态宝地。",全天开放，免费游览,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,6
月亮湾·金钟山景区,http://travel.qunar.com/p-oi36156472-yueliangwanjinzhongshan,"

地址:
雅安市汉源县大树镇


电话:
0835-4227117

",月亮湾金钟山景区位于雅安市汉源县大树镇，包括月亮湾葡萄园和金钟山。月亮湾葡萄园于2012年10月开始建设，引进了多种优质葡萄品种，是目前汉源县大规模的集生产、观光、科教于一体的连片葡萄采摘园。金钟山因形如一口金钟罩地面得名，从山顶俯瞰大地，良田万顷，烟波浩渺。山前大渡河蜿蜒东流，晴风山下碧波，蔚为壮观，古称大渡晴波，是汉源旧八景之一。山顶建有观音阁，始建于唐，历经千秋，几度废兴，九十年代重修，三重大殿巍峨壮观，金碧辉煌，遇节假日或佛事活动日，参观、朝拜...月亮湾金钟山景区位于雅安市汉源县大树镇，包括月亮湾葡萄园和金钟山。月亮湾葡萄园于2012年10月开始建设，引进了多种优质葡萄品种，是目前汉源县大规模的集生产、观光、科教于一体的连片葡萄采摘园。金钟山因形如一口金钟罩地面得名，从山顶俯瞰大地，良田万顷，烟波浩渺。山前大渡河蜿蜒东流，晴风山下碧波，蔚为壮观，古称大渡晴波，是汉源旧八景之一。山顶建有观音阁，始建于唐，历经千秋，几度废兴，九十年代重修，三重大殿巍峨壮观，金碧辉煌，遇节假日或佛事活动日，参观、朝拜的旅游者、香客络绎不绝，非常热闹。,08:00-18:00,,5.0,建议游览时间：2小时 - 3小时,,60元,,6
百丈湖Baizhang Lake,http://travel.qunar.com/p-oi35216964-baizhanghu,,百丈湖景?砂僬珊⒐鸹ǖ骸⒉杪硭尽⑶邃艉木暗愎钩桑挥诿缮蕉矗舭?08、318线。百丈湖湖岸蜿蜒曲折，小岛座落其间，山光水色，淡雅宁静，水碧如蓝，宛若平镜。湖水源于夹金山下的玉溪河，碧水长流，进出不断，水质优异。桂花岛：因桂花遍野而得名。岛上四季浓荫碧翠，花香四溢；岛内林荫小道纵横交错，尤显宁静；竹篱茅舍座落其间，古朴雅致。茶司马：位于百丈湖之西5公里处，108国道旁，即南丝绸之路的商业通道上。建于宋神宗熙宁七年（1072年），并“遣官以主之”，专司茶马事宜。清道光二十九年（1849年）重修的茶马司遗址系纪念性建筑，占地面积约4000平方米，建筑面积1000多平方米，是一座石料檐柱的砖木结构四合院。历史上的茶马司主要与藏族为主的各民族进行以茶换马交易，而用于军事，鼎盛时期达到“岁运名山茶二万驮”之多，有时接待民族茶马贸易通商队伍人数一日竟达2000余人，盛况可见一斑。清漪湖：与百丈湖毗邻，湖中龟山岛，四面环水，被葱木、翠竹和碧绿茶园拥抱，分外幽静。岛上有金龟亭、二王亭、观音阁。林中小道，错落迂回，漫步其间，别有洞天。,,,5.0,建议游览时间：2小时 - 3小时,,,,7
汉源县博物馆Hanyuanxian Museum,http://travel.qunar.com/p-oi34271301-hanyuanxianbowuguan,"

地址:
汉源县文化大厦（汉源县富林镇江汉大道四段）

",汉源县博物馆通过文字图片展示等形式，让参观者了解汉源的历史文化。,免费开放时间：9:00—17:00（周一闭馆，主馆装修改造、附馆开放）,,5.0,建议游览时间：1小时 - 2小时,,免费,,8
姜庆楼Jiangqing Tower,http://travel.qunar.com/p-oi27339128-jiangqinglou,"

地址:
四川省芦山县芦阳镇南街

",,全年 7:00-19:00,,5.0,,,,,8
清漪湖风景区Qingyihu Tourism Scenic Area,http://travel.qunar.com/p-oi24510299-qingyihufengjingqu,"

地址:
雅安市名山区茶都大道

",湖中有岛，四面环水，树木茂盛，环境幽静，空气清新。游人可以在这里一边乘船，一边可以饱览湖边的美景。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/6c7447a814aad7e927ab1697b8d5e3fa.jpg_480x360x95_0a17ea27.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,9
红草坪万亩观光茶园Hongcaoping Miles Sightseeing Tea Garden,http://travel.qunar.com/p-oi24502762-hongcaopingwanmuguanguang,"

地址:
雅安市名山区万古乡红草坪村

",红草坪万亩生态观光茶园是万古乡全乡茶园的核心基地，占地面积1.56万亩，茶园内林茶叠翠、鸟语花香、茶韵纷呈、风景迷人，是农业观光、骑游摄影、乡情体验的理想之地。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8cbb892f37110193f9da77e900f03097.jpg_480x360x95_42c2cffd.jpg,5.0,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,9
