名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
罗圈背,http://travel.qunar.com/p-oi722442-luoquanbei,"

地址:
辽宁省鞍山市岫岩满族自治县洋河镇南端罗圈背岭山脚下

","岫岩罗圈背风景区位于岫岩满族自治县洋河镇南端罗圈背岭山脚下，风景区占地面积570万平方米，水域面积370万平方米，蓄水量6000万立方米，是鞍山地区规模最大的水库。从空中俯视，水库外形恰如一个罗锅，所以得名罗圈背。水库是岫岩和东港的交界处，水面面积大部分在岫岩境内，承担着给东港市给水灌溉的任务，可以说是""蓄岫岩水，灌东港田""。这座水库目前是国家A级风景区。 水库四周山峰秀丽，山水相依，水天相接，风光宜人。四周山岭植被良好，森林覆盖率达98%以上，是一处良好的水域...岫岩罗圈背风景区位于岫岩满族自治县洋河镇南端罗圈背岭山脚下，风景区占地面积570万平方米，水域面积370万平方米，蓄水量6000万立方米，是鞍山地区规模最大的水库。从空中俯视，水库外形恰如一个罗锅，所以得名罗圈背。水库是岫岩和东港的交界处，水面面积大部分在岫岩境内，承担着给东港市给水灌溉的任务，可以说是""蓄岫岩水，灌东港田""。这座水库目前是国家A级风景区。 水库四周山峰秀丽，山水相依，水天相接，风光宜人。四周山岭植被良好，森林覆盖率达98%以上，是一处良好的水域观光旅游区。水库水质清澈，基本没有受到污染，水库内放养有草鱼、鲢鱼、武昌鱼等10多个品种的鱼类。水库旁边有2处度假村。除欣赏优美的的山水风光外，还可以开展游戏、垂钓、网虾、冲浪等娱乐活动。欢迎各位朋友到罗圈背观光旅游。",全天,https://img1.qunarzz.com/travel/d6/1702/77/de3b7f95adadf1b5.jpg_480x360x95_515c4c68.jpg,5.0,,,免费,,2
千山仙人台国家森林公园,http://travel.qunar.com/p-oi38950353-qianshanxianrentaiguo,,仙人台国家森林公园地貌景观奇特，素以山高、石怪、奇松、庙古、塔多、径幽而著称于世。历来名人词客游踵所至，不少留题，所谓无峰不奇、无石不峭、无寺不古、重峦叠嶂、古松参天，是旅游好地方。湘潭房产山峰有仙人台峰、金刚峰、通明峰、净瓶峰、璎珞峰等，仙人台鹅头峰上刻有棋盘，传说八仙曾在此下棋。著名的卧龙石、寿星石、巨人石、合心石、钟鼓石乃天工巧成。祖师洞、大安罗汉洞、老洞、冰洞、水洞不仅形态各异，古怪离奇，而且寓含着典故和传说，为古老的洞穴添上了神秘的色彩。,,https://flight-feed.qunarzz.com/as3/423/image/poi_vishnu/09ab44bf-549f-4b3e-9505-11c86ffeabb9.jpg,5.0,,,,,3
千山老院子景区Qianshan Old Courtyard Scenic Spot,http://travel.qunar.com/p-oi36109440-qianshanlaoyuanzijing,"

地址:
鞍山市立山区316省道北


电话:
0412-5566666

",老院子有着古朴的中式园林建筑群落，园中每一处都遍布亭台楼阁、老房子、小树屋等景致。园内还有精品民宿，水果采摘、烧烤垂钓、地域文化演出等于一体的多功能综合区。,全年 09:00-18:30,,5.0,建议游览时间：1小时 - 2小时,,,,6
龙泉湖旅游度假风景区Longquan Lake Tourist Resort Scenic Area,http://travel.qunar.com/p-oi35825750-longquanhulu:youdujia,,龙泉湖旅游度假风景区位于辽宁省鞍山市岫岩满族自治县前营镇境内，是集文化、艺术、休闲、养生、养老、娱乐、购物、餐饮、住宿等业态于一体的多功能旅游景区。目前，景区已初具规模，玉文化、满族文化、高句丽文化等文化旅游资源特色鲜明；山水、森林、温泉、农业和美食等生态资源优势突出，已形成较好的市场基础和知名度。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以景区现场公示为主。,,6
海城市博物馆Haichengshi Museum,http://travel.qunar.com/p-oi34274017-haichengshibowuguan,"

地址:
西关街关帝庙院内

",海城市博物馆位于海城市兴海管理区，属清代庙宇建筑，占地面积四千余平米，馆藏丰富高达一万余件。,全年 周二-周日 9:00-16:00,,5.0,建议游览时间：1小时 - 3小时,,免费,,8
岫岩吉湾花海Jiwan Flower Sea by Xiuyan Tourism,http://travel.qunar.com/p-oi29462643-xiuyanjiwanhuahai,,岫岩吉湾花海是岫岩县委县政府培育新兴旅游产品、全面提升旅游产业素质，建设旅游经济强县所打造的重点项目之一。吉湾花海项目总占地面积近千亩，其中花卉品种丰富，规模庞大，景区交通便利，规划布局合理，配套完备。依托岫岩的环境，以自然为舞台，以田园为景幕，因地制宜，因景制宜，打造与自然和谐相处的生态田园综合体景区。,,,5.0,,,具体收费情况以现场公示为主,,8
对炉山Duilu Mountain,http://travel.qunar.com/p-oi27337254-duilushan,,,,,5.0,,,具体收费情况以现场公示为主,,8
魁星楼Kuixing Building,http://travel.qunar.com/p-oi25290650-kuixinglou,,魁星楼位于海城市城南，厝石山公园内，原为“临溟八景”之一，始建于1778年，重修于1923年，毁于文化大革命之初，重建于1999年。,,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/fec9aacc-8915-4582-adfe-90e36527518f.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,9
保安寺Bao'an Temple,http://travel.qunar.com/p-oi25290088-baoansi,,保安寺位于辽宁省海城市厝石山上，它建于明万历二十四年，距今已有500多年的历史了。,,https://flight-feed.qunarzz.com/as3/180/image/poi_vishnu/87f2089c-1d35-426b-8ae8-f5023c672eff.jpg,5.0,建议游览时间：1小时 - 2小时,,,,9
西平森林公园Xiping Forest Park,http://travel.qunar.com/p-oi24409534-xipingsenlingongyuan,"

地址:
西平乡

",西平森林公园位于辽宁省鞍山市台安县，占地面积约四千三百多公顷，森林覆盖率高。园内珍稀动植物种类繁多，还有游泳池、人工湖、射击场、瞭望塔等游玩项目。,全年 全天开放,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,9
