名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
火山堰塞湖观光区,http://travel.qunar.com/p-oi719807-huoshanyansaihuguanguang,,“名山如画屏，珠带五湖清”。当新期火山喷发时，熔岩流以其排山倒海之势，把古老的白河河道截成五个串珠状湖泊，总面积丰水期时为45平方公里，仅三池子就有21.5平方公里，是我国第二大火山堰塞湖。因为有地下矿泉水的补充，所以终年不枯竭，是一个地下涌泉矿水湖，它由几百个泉眼组成没有大量的地表水流入，所以它的矿泉鱼才堪称一绝这里的五个池子色彩和形态各异，池岸曲线变化丰富，和周围广阔的熔岩台地相映衬，在群山的怀抱中，更显得风姿卓约。在五大连池里还有一种奇特的倒鳞鱼...“名山如画屏，珠带五湖清”。当新期火山喷发时，熔岩流以其排山倒海之势，把古老的白河河道截成五个串珠状湖泊，总面积丰水期时为45平方公里，仅三池子就有21.5平方公里，是我国第二大火山堰塞湖。因为有地下矿泉水的补充，所以终年不枯竭，是一个地下涌泉矿水湖，它由几百个泉眼组成没有大量的地表水流入，所以它的矿泉鱼才堪称一绝这里的五个池子色彩和形态各异，池岸曲线变化丰富，和周围广阔的熔岩台地相映衬，在群山的怀抱中，更显得风姿卓约。在五大连池里还有一种奇特的倒鳞鱼生长，鱼鳞有五分之四是倒着长的。那么倒鳞鱼是怎么来的呢？到目前为止还是一个没有解开的迷。游览火山堰塞湖观光区，可从城区内的石龙河水上风景线的船站出发，乘船向北经8华里石龙河水上风景线到达一池溢出口瀑布，然后徒步几百米到达一池船站换乘豪华游船，依次向北游览一池、二池、三池或四池、五池，午间可在三池鱼村就餐，然后乘车返回城区。,,https://img1.qunarzz.com/travel/d8/1610/ea/40dadb42aefff0b5.jpg_480x360x95_59547df9.jpg,5.0,,,,,1
五道活龙岛,http://travel.qunar.com/p-oi707736-wudaohuolongdao,,五道活龙岛影视基地旅游区位于黑龙江黑河市西郊四公里处，总面积2.5平方公里。它由风流岛影视基地、黑龙湾、历史文物馆、原始人部落、天然动物园五个景区，五十五个景观组成。风流岛影视基地是五个景区的主体。风流岛，其正名为“五道活龙岛”，俗称五道豁洛岛。专为北京电影制片厂拍摄的54集电视连续剧《黑龙江三部曲》而建。建筑面积3200平方米。从西往东共分9个景区，主要有牌楼、俄罗斯一条街、教堂、俄警察局、监狱、爱辉衙门等建筑物50余个，堪称晚清时期，中俄两国的城乡建筑...五道活龙岛影视基地旅游区位于黑龙江黑河市西郊四公里处，总面积2.5平方公里。它由风流岛影视基地、黑龙湾、历史文物馆、原始人部落、天然动物园五个景区，五十五个景观组成。风流岛影视基地是五个景区的主体。风流岛，其正名为“五道活龙岛”，俗称五道豁洛岛。专为北京电影制片厂拍摄的54集电视连续剧《黑龙江三部曲》而建。建筑面积3200平方米。从西往东共分9个景区，主要有牌楼、俄罗斯一条街、教堂、俄警察局、监狱、爱辉衙门等建筑物50余个，堪称晚清时期，中俄两国的城乡建筑博物馆。“五道活龙岛”之称与“黑龙神话”有关，“风流岛”之称是位知名人士送给的雅号，在这里你可以看到五大风流：即天然风流景观、中俄风流建筑、百年风流的故事、塞北龙江风流史、迷人风流神话。,,,5.0,,,25元,,1
药泉山钟灵禅寺,http://travel.qunar.com/p-oi709824-yaoquanshanzhonglingshan,,药泉山钟灵禅寺坐落在五大连池风景名胜区老期火山药泉山的火山口中平旷之处，距火口垣尚有十余米的高程，它与火山堰塞湖和新老期火山相映生辉，构成了独特的人文景观，在火山口里建寺庙在世界上是唯一的，所以钟灵禅寺又号称火口第一寺。登药泉山晋钟灵寺，会看见许多造型各异、雄伟巍峨、金碧辉煌的殿堂式建筑，殿堂内又有许多妙相庄严、气势雄伟、技法精湛的各种塑像，有色彩艳丽，画技高超的壁画，殿堂周围有郁郁葱葱的苍松翠柏，有袅袅升起的香烟，有喃喃回荡的颂经声……，身处...药泉山钟灵禅寺坐落在五大连池风景名胜区老期火山药泉山的火山口中平旷之处，距火口垣尚有十余米的高程，它与火山堰塞湖和新老期火山相映生辉，构成了独特的人文景观，在火山口里建寺庙在世界上是唯一的，所以钟灵禅寺又号称火口第一寺。登药泉山晋钟灵寺，会看见许多造型各异、雄伟巍峨、金碧辉煌的殿堂式建筑，殿堂内又有许多妙相庄严、气势雄伟、技法精湛的各种塑像，有色彩艳丽，画技高超的壁画，殿堂周围有郁郁葱葱的苍松翠柏，有袅袅升起的香烟，有喃喃回荡的颂经声……，身处其间，能体会到千百年来积淀而成的佛教文化在瞬间释放。钟灵禅寺系汉传佛教寺院，始建于民国18年，后又多次遭劫，几次修建，历尽沧桑，现有寺院规模为1990年以后复建，总建筑面积18713平方米，寺院建筑风格采用了独特的“伽蓝七堂制”，打破了坐北朝南建筑风格，而是面朝西方，背朝东方，寓意咫尺西天，以东至西为中轴线，保持一定距离，修建若干殿堂，殿堂建筑按以下顺序排列：影壁――山门殿――天王殿――大雄宝殿――藏经阁―卧佛殿，配殿和附属设施分布在中轴线南北两侧对称建造的次要建筑，由钟楼、鼓楼、南北环廊、伽蓝殿、祖师殿、客堂、法物流通处等组成。钟灵禅寺山门是一座有三个门洞的牌楼式建筑构成，中间有一个大门洞，两旁各有一个稍微小一些的洞门，象征着佛教的“三解脱门”(即空门、无相门、无作门)，因此也称“三门”，我们日常所说的“身入空门”就是僧尼进入寺院的大门――三门，以此开始了远离人世喧嚣，吃斋念佛的寺院生活。,,https://img1.qunarzz.com/travel/d9/1704/b9/77c01c71f7755cb5.jpg_480x360x95_5bdc7a54.jpg,5.0,,,,,2
母亲广场,http://travel.qunar.com/p-oi38611508-muqinguangchang,,,,,5.0,,,具体收费情况以现场公示为主,,3
黑龙江大桥公园,http://travel.qunar.com/p-oi38337309-heilongjiangdaqiaogong,,,,,5.0,,,具体收费情况以现场公示为主,,3
孙吴县嘎巴亮子民族风情度假村,http://travel.qunar.com/p-oi38011840-sunwuxiangabaliangzimin,"

地址:
黑龙江省黑河市孙吴县沿江边防巡逻路北50米

",孙吴县嘎巴亮子民俗风情度假村，坐落在美丽的黑龙江畔，沿江乡胜利村国道331公路从胜利屯村边通过，美丽的黑龙江从胜利屯北边流过，村南5公里是蜿蜒的小兴安岭北麓，胜利屯村南有山北靠水。嘎巴亮子民族风情度假村改造了10户民俗吃住为一体的满族、达斡尔、朝鲜族民俗户，可满足各种民族的人员来就餐住宿。建有民族风情墙、旅游接待中心，在岛上修建了旅游管理中心、人行道路、沙滩排球场，凉亭，更有沙滩摩托、快艇、水上摩托、观光船游览开展界江风光游。现在岛上可接待200多人的就餐，是休闲、娱乐、餐饮集一体的度假胜地。,全年 08:30-17:00,,5.0,建议游览时间：3天 - 6天,,,,3
永远窑地Yongyuan Yaodi Village,http://travel.qunar.com/p-oi35384645-yongyuanyaodi,,,,,5.0,,,具体收费情况以现场公示为主,,4
孙吴县闯关东纪念馆Sunwuxian Chuangguandong Memorial Hall,http://travel.qunar.com/p-oi34272254-sunwuxianchuangguandong,"

地址:
黑龙江省孙吴县西兴乡平度村

",,全年 周二-周日 9:00-16:00,,5.0,,,免费,,6
孙吴县侵华日军军人会馆遗址陈列馆Sunwuxian Qinhua Rijun Junren Association Ruins Exhibition Hall,http://travel.qunar.com/p-oi34272065-sunwuxianqinhuarijunjun,"

地址:
黑龙江省孙吴县北孙吴

",,全年 周二-周日 9:00-16:00,,5.0,,,免费,,7
嫩江农场Nenjiang River Farm,http://travel.qunar.com/p-oi24409914-nenjiangnongchang,"

地址:
科洛镇

",,全年 全天开放,https://flight-feed.qunarzz.com/as3/376/image/poi_vishnu/53865daa-bc6a-4d58-9fc4-d12ac619c869.jpg,5.0,,,具体收费情况以现场公示为主,,8
