名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
泥凼石林,http://travel.qunar.com/p-oi3864549-nidangshilin,,"泥凼石林风景名胜区位于兴义县城南面,南盘江左岸泥凼乡,距县城约四十七公里。石林东起距泥凼乡人民政府所在地二公里的风波弯,经戴家坝、白马地,西至陇戛(又名“李家弯子”)。东西长约四公里,南北宽约二公里。石峰耸立,千嶂苍翠。石林分布在土山、石山相间的台地和缓坡上,面积三干余亩。这座无人工雕琢痕迹、迷宫式的石林景观,形成于古生代,是发育典型的岩溶地貌。",,https://img1.qunarzz.com/travel/d4/1611/10/dce52a4c1d9dc2b5.jpg_480x360x95_34563896.jpg,5.0,,,,,1
板纳回头湾杨梅园,http://travel.qunar.com/p-oi39611662-bannahuitouwanyangmei,,,,,5.0,,,,,2
万峰林民族文化源,http://travel.qunar.com/p-oi38340337-wanfenglinminzuwenhua,,万峰林民族文化源由四个部分组成：“盘江历史文化”、“盘江非物质文化遗产”、“指尖上的盘江”和“欢乐盘江”。 人们在这里可以了解南方丝绸之路、茶马古道、布依族刺绣、盘江铜鼓等人文历史。,,,5.0,建议游览时间：1小时 - 2小时,,包含于万峰林景区内，需购买万峰林景区门票方可进入。,,3
雨补鲁村,http://travel.qunar.com/p-oi37807158-yubulucun,"

地址:
木桥新寨

",雨补鲁村位于兴义，村子建在一个天坑里，进出该村只有一条道路，形成了易守难攻之势，很多老建筑没有深挖地基，只是建在了原生的石板上，非常奇特。,全年 10:00-22:00,,5.0,建议游览时间：12小时,,具体收费情况以现场公示为主,,3
板万村,http://travel.qunar.com/p-oi36920532-banwancun,"

地址:
黔西南布依族苗族自治州册亨县丫他镇板万村

",板万村是第三批传统保护村落，这里有西南地区集中布依夯土墙木质吊脚楼建筑群。经过238个弯的山路方能抵达，清静之所；落日星辰乡村风光，是摄影和户外爱好者的天堂；还有天然喀斯特溶洞形成的地貌奇观，让人惊叹。,全年 全天开放,,5.0,,,具体收费情况以现场公示为主,,3
山地旅游体验馆,http://travel.qunar.com/p-oi36306928-shandilu:youtiyanguan,"

地址:
兴义市义龙新区鲁屯镇义龙国际会展中心

",山地旅游体验馆包括山地旅游主题馆，山地旅游体验馆。主题团承担着山地旅游介绍展示、山地景区宣传推广、山地运动项目体验等职能，将贵州省丰富的山地旅游资源、独特的山地地形地貌、原生态的传统民族文化囊括于各3000平米的展馆之中，是了解山地知识、体验山地乐趣的好去处。体验馆山地旅游博览馆内拥有几十项老少皆宜丰富多彩的体验项目，是国内山地运动主题占地面积大，科技含量高，娱乐设施先进，文化活动丰富的山地旅游文化主题公园之一。走进全景式高科技互动体验园——山地运动体验主题公园，就像走进了美轮美奂的山地世界。全园共有十大主题区，序厅-玩转山地大冒险，赛道英雄，山地攀岩，运动全明星，奔跑吧兄弟，VR秘境追踪，山地越野大PK，强山地王等。这里还有众多全国科技娱乐项目，如全球VR沉浸体验室无底跌落式急速过山车，城市激流落差峡谷激流勇进，国际级4k高清飞行影院，新沉浸式VR秘境追踪，模拟冰雪世界体验等诸多互动体验项目。,全年 09:00-17:00,,5.0,建议游览时间：1小时 - 3小时,,68元,,4
贵州省黔西南州兴仁县潘家庄镇放马坪景区Guizhousheng Qianxinanzhou Xingrenxian Panjiazhuangzhen Fangmaping Sceneic Area,http://travel.qunar.com/p-oi35215802-guizhoushengqianxinan,,,,,5.0,,,具体收费情况以现场公示为主,,6
修仙桥景区Xiuxianqiao Sceneic Area,http://travel.qunar.com/p-oi23342237-xiuxianqiaojingqu,,修仙桥景区，是明代知名旅游家徐霞客寻访名山大川，云游至此，驻足老江底桥时，不禁惊诧于这里的悬崖奇观。因此桥来得奇巧，故名为仙修桥。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/d345a92777c25c32a19b0dbeb188883b.jpg_480x360x95_f3a9cefe.jpg,5.0,,,具体收费情况以现场公示为主,,8
巴铃绿阴河湿池公园Baling Lvyinhe Shichi Park,http://travel.qunar.com/p-oi19978627-balinglu:yinheshichigong,,巴铃绿阴河湿池公园位于兴仁县，公园的湖水澄澈见底，周边的景色优美，花团锦簇，很适合散步放松。,,,5.0,建议游览时间：3小时,,,,9
南明历史博物馆Nanming History Museum,http://travel.qunar.com/p-oi19976656-nanminglishibowuguan,,馆舍为中国传统宫殿式仿古建筑，目前，共设置展厅4个，分为南明历史、安龙历史、石刻陈列、民族民俗展厅，涉及安龙从史前文化到近现代的历史进程，也让博物馆成为了外界了解安龙的一个形象窗口。,,,5.0,建议游览时间：3小时,,,,9
丰茂广场Fengmao Square,http://travel.qunar.com/p-oi19970452-fengmaoguangchang,,,,,5.0,,,,,9
