名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
神州半岛灯塔,http://travel.qunar.com/p-oi38603121-shenzhoubandaodengta,,"神州半岛位于万宁市东澳镇，这里的灯塔不仅是海港的守望者，还成为了地标性景点。沿着深入海中的护堤走进去就来到了灯塔脚下。在碧蓝大海的映衬下，红白相间的灯塔格外清新。傍晚时分，在晚霞和海水的映衬下，多彩梦幻的画面便呈现在眼前，让人沉浸在一眼天涯的浪漫中。
",,https://tr-osdcp.qunarzz.com/tr-osd-tr-space/img/26a6baadc09fc8e7c133b1d2e73815fd.jpeg_480x360x95_3b16a170.jpeg,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,2
青云塔,http://travel.qunar.com/p-oi703681-qingyunta,"

地址:
海南万宁市

","当地亦称这""山尾岭""、""万州塔""。青云塔体为八角形，用火砖和零星石料砌成，塔高约27米，分七层七檐。顶层正中，突出一个八棱柱，柱顶托道一个球形塔刹。底层内壁为八角形，上面六层内壁均为圆形，每层从不同方向对开两个拱门，一供观赏，二供通风透光。底层西面开一个门，门顶塔墙上嵌有一块长方形的石碑，上面刻有""青云""两字。旁有""道光壬辰年建""小字。塔的第三层与底层塔门同向。又嵌有一块同样大小的石碑，上面刻有""甲峰""两字，旁有小字，因太高看不清楚，塔腹中空，光线充足，风清...当地亦称这""山尾岭""、""万州塔""。青云塔体为八角形，用火砖和零星石料砌成，塔高约27米，分七层七檐。顶层正中，突出一个八棱柱，柱顶托道一个球形塔刹。底层内壁为八角形，上面六层内壁均为圆形，每层从不同方向对开两个拱门，一供观赏，二供通风透光。底层西面开一个门，门顶塔墙上嵌有一块长方形的石碑，上面刻有""青云""两字。旁有""道光壬辰年建""小字。塔的第三层与底层塔门同向。又嵌有一块同样大小的石碑，上面刻有""甲峰""两字，旁有小字，因太高看不清楚，塔腹中空，光线充足，风清凉爽。游人从底层西门进去，可仰望塔顶，纵观塔腹全貌，领略古塔的高超建技和迷人景色。青云塔是海南现存地稀有古塔之一，建于清朝道光壬辰年（公元1832年）。据《万州志》载，青云塔的前身是文魁塔，始建于清朝康熙五年（公元1666年）毁坏后于道光壬辰年重建，取名青云塔，因为塔身高耸壮观而得名。青云塔高大巍峨，古朴典雅，坚固稳重，充分体现了万宁古代人民独特的砖石建筑艺术。150多年来，古塔虽遭无数次的强台风和雷雨袭击，但塔身至今仍然安然无恙，巍然如故。日本侵占海南时，曾用重炮轰击此塔，但终未炸毁，仅南角有较大的损坏而已。海南建省后已将损坏处修缮好。青云塔是万宁著名胜景之一，现已列入海南重申噗保护的文物古迹。古塔自有一番迷人的风韵，它周围怪石嶙峋，百态千姿；奇花异草繁茂，蜂蝶成群穿梭于花间叶丛。塔下有一条溪流，犹如一条银白色的飘带绕塔而过，美景飘渺迷人。",全天,,5.0,,,5元,,2
南燕湾高尔夫球会,http://travel.qunar.com/p-oi702156-nanyanwangaoerfuqiuhui,,南燕湾高尔夫球会是海南唯一海景高尔夫球场，它地处海南省万宁市南燕湾海滨，距离三亚机场只需一小时车程，从海口到球会1小时30分钟，距东线高速公路石梅出口113公里。独特的自然环境不仅为球场增添了美色，同时也为球场平添了天然的障碍和难度。前九洞葱郁悠静、鸟语花香，山峦起伏，给人无限的挑战，后九洞海风习习，视野开阔。来到海南岛上这独一无二的球场，除了在挥杆时感受到一股热带海滨球场的魅力外，又岂可错过阳光与海滩。打完十八洞，最好不过的就是到海边走一趟，感受一...南燕湾高尔夫球会是海南唯一海景高尔夫球场，它地处海南省万宁市南燕湾海滨，距离三亚机场只需一小时车程，从海口到球会1小时30分钟，距东线高速公路石梅出口113公里。独特的自然环境不仅为球场增添了美色，同时也为球场平添了天然的障碍和难度。前九洞葱郁悠静、鸟语花香，山峦起伏，给人无限的挑战，后九洞海风习习，视野开阔。来到海南岛上这独一无二的球场，除了在挥杆时感受到一股热带海滨球场的魅力外，又岂可错过阳光与海滩。打完十八洞，最好不过的就是到海边走一趟，感受一下真正的水清沙幼，遇到日落时分更是格外浪漫！夜幕降临时分，当你一天挥杆略感疲劳且饥肠辘轱时，南燕湾海滨球会的海边晚餐又升起了炊烟。与朋友一起坐在海边，赏明月、吃烧烤，望着海面上忽隐忽现的点点渔火，一天的劳作顿时烟消去散。,,,5.0,,,,,3
SHAKA SURF沙卡冲浪（神州半岛店）,http://travel.qunar.com/p-oi38760197-shaka_surfshakachonglang,,沙卡冲浪俱乐部，由一群热爱冲浪运动的年轻人组成，为你提供一站式冲浪服务：冲浪教学、浪板租赁、冲浪课程、海滩生活、帅气教练、好玩的据点，全程供应休息场地。,,,5.0,,,,,4
日月湾海岛教堂,http://travel.qunar.com/p-oi38362720-riyuewanhaidaojiaotang,,,,,5.0,,,具体收费情况以现场公示为主,,4
太阳河景观大桥,http://travel.qunar.com/p-oi38135663-taiyanghejingguandaqiao,,太阳河景观大桥下面有沙滩，沙又细又软，在这里可以享受海滩、阳光，也可以钓鱼，环境优美，是打卡拍照的好地方。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,5
燕子洞景区,http://travel.qunar.com/p-oi38041824-yanzidongjingqu,,"这里的黑色礁石非常漂亮，海浪撞击着礁石，激起雪白的浪花，洞穴口处水天一色，是拍摄大片的好地方，附近还有菠萝林，景色非常美丽。
",,,5.0,建议游览时间：2小时 - 3小时,,,,5
兴隆华侨农场,http://travel.qunar.com/p-oi37204244-xinglonghuaqiaonongchang,,,,,5.0,,,具体收费情况以现场公示为主,,5
"万宁西门婆祖庙Pozu Temple, West Gate of Wanning",http://travel.qunar.com/p-oi35304531-wanningximenpozumiao,,,,,5.0,,,,,6
春园湾Chunyuan Bay,http://travel.qunar.com/p-oi35215612-chunyuanwan,,,,,5.0,,,,,6
"分界洲岛+海豚表演Dolphin Show, Boundary Island",http://travel.qunar.com/p-oi19485424-fenjiezhoudaohaitunbiao,"

地址:
光坡镇香水湾高速出口香水湾内


电话:
0898-31817777,0898-31817733

",三亚陵水县分界洲岛海豚湾的表演很精彩，这是分界洲岛海洋文化馆的一部分，是自然界的海洋围起来的，很天然。这里的海豚、海狮等动物的表演有很精彩，很适合亲子游。海豚互动，喂海龟，让孩子体验感很好。推荐！,分界洲岛：8:30-22:40，20:00停止售票；海豚表演每天共四场：第一场10:30，第二场11:3，第三场13:30，第四场15:30，演出上映时长约30分钟；（节假日根据客流量会加场，详情以景区公示为准或电话咨询景区）。,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/4707105923cb7a7773e4e7a1eaae669b.jpg_480x360x95_333142a7.jpg,5.0,,,分界洲岛门票（含往返船票）5月1日-9月30日淡季127元，10月1日-次年4月30日旺季132元，海豚表演门票已包含在海洋剧场230元内。,,8
兴隆热带经济作物园Xinglong Tropical Commercial Crop Garden,http://travel.qunar.com/p-oi18716655-xinglongredaijingjizuo,,兴隆热带经济作物园里有很多热带植物，其中园内的果木植物都是华侨从国外带回的各种种子培育至今建成的。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,8
新潭湾Xintan Bay,http://travel.qunar.com/p-oi18703144-xintanwan,,新潭湾，是万宁市东澳镇新潭村的地理符号。别看它在海南的东海岸版图上很难找到，也别看它在万宁市的岸线坐标上微若沙粒，但毕竟它如飘带般抛出，沿海逶迤且清新内秀。,,https://img1.qunarzz.com/travel/poi/1803/98/7d8e714ce7230f37.jpg_480x360x95_3ccfc2e7.jpg,5.0,,,具体收费情况以现场公示为主,,9
