名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
北礁,http://travel.qunar.com/p-oi36246835-beijiao,,北礁位于西沙群岛。珊瑚礁在岛屿边缘生长，就像给海岸镶嵌上了彩色的珊瑚边，海平面上升覆盖了整个岛屿就成为了现在的北礁。北礁的珊瑚发育得比较好，海底生物多样，特别适合拍摄。,,,5.0,,,具体收费情况以现场公示为主,,1
长滩,http://travel.qunar.com/p-oi38035095-changtan,,,,,5.0,,,具体收费情况以现场公示为主,,1
西沙洲,http://travel.qunar.com/p-oi38035025-xishazhou,,,,,5.0,,,具体收费情况以现场公示为主,,1
永暑岛,http://travel.qunar.com/p-oi36212290-yongshudao,,永暑岛是永暑礁西南礁盘上的人工岛，面积约108平方公里，1988年中国在此建立了联合国教科文组织的海洋观察站，永陆面积约2.8平方公里，建有永暑岛机场、永暑医院等。,,,5.0,建议游览时间：3天 - 6天,,具体收费情况以现场公示为主,,1
珊瑚岛Pattle Island,http://travel.qunar.com/p-oi23343514-shanhudao,,岛呈椭圆形，岛四周沙滩上灌木发育，鸟粪层也多，说明昔日这里林木众多。本岛早期是我国人民所开发，今天在岛上各处均有清代瓷器发现，且多日常用器，如青釉瓷碗、杯等。 ,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/e00894fbae8c07b29a9df81439df2f6f.jpg_480x360x95_fdbeae91.jpg,5.0,建议游览时间：6天,,,,2
中建岛Triton Island,http://travel.qunar.com/p-oi18703151-zhongjiandao,,中建岛位于中国海南省三沙市西沙群岛南端，东北距华光礁西南位50公里、距永乐主岛晋卿岛约90公里、距离西沙主岛永兴岛约178公里。中国渔民俗称螺岛或半路峙，现名为纪念1946年的中建号军舰。有的说属于永乐群岛，有的说属于西沙孤散岛屿。海拔2米多，陆地面积因风浪吞噬而由1.5平方公里缩小为1.2平公里。台风大潮时常会淹没岛的大部分。涨潮时的中建岛只有两个足球场那么大，即0.014平方公里，大约是落潮时的百分之一。所在礁盘较大，约7.5平方公里。岛是在台礁顶部发育成的灰沙岛，四...中建岛位于中国海南省三沙市西沙群岛南端，东北距华光礁西南位50公里、距永乐主岛晋卿岛约90公里、距离西沙主岛永兴岛约178公里。中国渔民俗称螺岛或半路峙，现名为纪念1946年的中建号军舰。有的说属于永乐群岛，有的说属于西沙孤散岛屿。海拔2米多，陆地面积因风浪吞噬而由1.5平方公里缩小为1.2平公里。台风大潮时常会淹没岛的大部分。涨潮时的中建岛只有两个足球场那么大，即0.014平方公里，大约是落潮时的百分之一。所在礁盘较大，约7.5平方公里。岛是在台礁顶部发育成的灰沙岛，四周有沙堤，内有残留浅水潟湖。,,https://img1.qunarzz.com/travel/poi/1803/ae/34d2774fe6b23937.jpg_480x360x95_4cd52a2a.jpg,5.0,建议游览时间：6天,,,,2
立地暗沙James Shoal,http://travel.qunar.com/p-oi10024610-lidiansha,,立地暗沙为中国南海南沙群岛区域的一座暗沙，是实际上的中国领土的南端（非位于其东北14.94海里的曾母暗沙）。按中国行政区划，立地暗沙属于海南省三沙市管辖。,,https://img1.qunarzz.com/travel/poi/1712/33/b5e73dcfd95f3137.jpg_480x360x95_425e1766.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,2
东岛East Island,http://travel.qunar.com/p-oi10011717-dongdao,"

地址:
中国海南省三沙市

",东岛，位于中国西沙群岛东部的宣德群岛东岛环礁中，在永兴岛东南约50公里。该岛呈长方形，岛周围有沙堤环绕，岛中部地势低洼。面积1.7平方公里。该岛是上升礁和珊瑚贝壳沙体复合组成的岛屿。岛屿呈长条状，长度约为2400米，宽度约为1000米，陆地面积约1.7平方公里。全岛平均海拔只有4-5米，较高处在沙堤上，约8.5米，沙堤宽达60米。岛南端还有一条粗沙组成的沙咀伸出于礁盘上，沙岛北面礁盘上有新沙洲两个。东岛所在礁盘为一长形弧状巨大礁盘，向东北突出。它是东岛环礁的东北翼，也是保存较好的一翼。而环礁的西南部，珊瑚礁还未能长到水面附近，而只是成为暗礁滩，深沉水下。如堪涵滩、滨湄滩等。岛上有中国南端的自然保护区。栖息着40多种鸟类，素有“鸟岛”之称，其中白鲣鸟为国家二类保护动物。东岛树丛茂密，葱翠欲滴，东南侧有一个小小的淡水泻湖。另外，岛上遍布南国树种——抗风桐和羊角树，优越的自然环境，吸引了众多的海鸟前来栖息，岛上约有6万多只海鸟。常年有约10万只白鲣鸟和白鹭、金雕、海鹤等40多种鸟类繁衍生息。,"8:00-18:00,18:00停止入场。",https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/2a512842c112b4635bc0a83427e80f12.jpg_480x360x95_3c0a07bf.jpg,5.0,建议游览时间：1小时 - 3小时,,具体收费情况以现场公示为主,,3
北礁,http://travel.qunar.com/p-oi36246835-beijiao,,北礁位于西沙群岛。珊瑚礁在岛屿边缘生长，就像给海岸镶嵌上了彩色的珊瑚边，海平面上升覆盖了整个岛屿就成为了现在的北礁。北礁的珊瑚发育得比较好，海底生物多样，特别适合拍摄。,,,5.0,,,具体收费情况以现场公示为主,,4
长滩,http://travel.qunar.com/p-oi38035095-changtan,,,,,5.0,,,具体收费情况以现场公示为主,,4
