名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
董氏砖雕墓,http://travel.qunar.com/p-oi703881-dongshizhuandiaomu,,在山西侯马市西北郊基建工地发现，1959年和1969年，分别迁于山西考古研究所候马工作站院内。墓主人一名董海，一名董明，先后于金明昌七年（1196年）和大安二年（1210年）埋葬。均为仿木构砖雕墓，平面皆方形。董海墓为前后两室，系我国北方地区传统的四合院形制。结构复杂，比例适当，磨砖对缝，手法严谨，墓室内壁雕刻有翎毛花卉，八仙人物，戏剧故事以及飞马、奔鹿、走狮等动物，琳琅满目，华丽似锦，具有很高的建筑与雕刻艺术价值。董明墓的北壁，砌有一座小戏台及生、末、净、旦、...在山西侯马市西北郊基建工地发现，1959年和1969年，分别迁于山西考古研究所候马工作站院内。墓主人一名董海，一名董明，先后于金明昌七年（1196年）和大安二年（1210年）埋葬。均为仿木构砖雕墓，平面皆方形。董海墓为前后两室，系我国北方地区传统的四合院形制。结构复杂，比例适当，磨砖对缝，手法严谨，墓室内壁雕刻有翎毛花卉，八仙人物，戏剧故事以及飞马、奔鹿、走狮等动物，琳琅满目，华丽似锦，具有很高的建筑与雕刻艺术价值。董明墓的北壁，砌有一座小戏台及生、末、净、旦、丑五个戏俑，生动活泼，维妙维肖，是我国早期戏剧表演艺术的再现，为研究宋金戏剧提供了宝贵的资料。,,,5.0,,,,,3
孟门夜月,http://travel.qunar.com/p-oi716566-mengmenyeyue,,从秦晋交界的黄河大桥朝下望，河水冲出龙槽豁然开阔，水面渐宽处，一块巨礁屹立河心，俯视如门，侧看如舟，仰视如山，实则是黄河中的一个小岛，它雄踞中流，划开河水，那就是传说中“山石为禹所凿”的孟门山。相传大禹治水时，先在这里凿开了第一个阻挡洪水的“龙门”暗洞，就叫它孟门。那孟门巨石之上，至今赫然镌有金明郡守所写的“卧镇狂流”四个一米见方的朱红大字。如到河水下落时，这四个字便能露出水面，供游人观赏。,,,5.0,,,,,3
克难坡,http://travel.qunar.com/p-oi705506-kenanpo,,位于吉县西北30公里处，黄河中游晋陕峡谷壶口瀑布东岸垣头，西濒黄河，北通古贤沟，南达麻库掌，东连南村垣，东西长约一公里，南北宽约0．5公里，是一个三面临沟河，一面通高原的葫芦状独立山梁，确有一夫当关万夫莫开之险要。阎锡山的第二战区司令长官部、山西省政府、民族革命同志会等首脑机关于1940年至1945年曾驻扎在这里。阎锡山以南村音近“难存”，并意欲标榜克服困难，故改名克难城，通称为克难坡。,,,5.0,,,,,3
新田广场,http://travel.qunar.com/p-oi38798060-xintianguangchang,,,,,5.0,,,具体收费情况以现场公示为主,,5
山西侯马首届民俗灯光艺术节,http://travel.qunar.com/p-oi38351472-shanxihoumashoujiemin,,2022年侯马首届民俗 灯光艺术节主题一，孝道文化，以传统的灯火做成动态24孝可以让孩子们边看边了解孝道文化主题二，遨游太空，让孩子们上一堂生动的天文课堂水星、金星、火星、木星、土星、天王星、海王星。水星：最接近太阳的行星。主题三，让孩子们以花灯的形式看到自己的星座给孩子们一个不一样的春节期间,,,5.0,,,,,5
佛爷山旅游景区,http://travel.qunar.com/p-oi36049578-foyeshanlu:youjingqu,,佛爷山景区，地处中条山脉，位于翼城与沁水交界处的东西坞岭，海拔1800余米，气温凉爽，空气清新，植被茂密，风景秀丽。伫立山巅远眺，北有五龙山，南有仙女峰，西有娘娘岭，东有大尖山，自古就有“仙境”之誉，秦汉以来延至明清历代均有庙宇修建，每逢农历四月初八佛诞日与七月中元日，翼沁两县百姓朝山取水，香火鼎盛。曲辉公路蜿蜒山脚，交通便利，设施完善，实为晋南之胜景，现已辟为国家AAA级旅游景区。进入景区大门，宽敞宏大的仰佛阁映入眼帘，穿过]洞，1199级石砌步道迤逦林间，曲径通幽，与直达关帝庙的2000米木构栈道相映成趣。沿步道攀登，林间松涛声声，花卉吐香，果药遍地，百鸟争鸣。登临山巅，广场空旷，山门与戏台合二为一，下券门洞五孔，上造戏台三间，钟楼鼓楼峙立两侧，气势恢宏。入得山门，大雄宝殿庙貌俨然，內塑三圣宝相庄严，金碧辉煌。殿后佛山寺梅花易数布局，供奉天地全神，尽显佛道同流。寺北五福通天塔光射斗牛，高接云表，由塔内旋转而上，远眺四周，一览无余。随着景区不断开发提升，将建成集佛道文化展示、探幽避署、登高健身和旅游度假于一体的风景名胜区， 吸引四海宾朋、八方来客前来观光旅游，尽享美丽风光。,,,5.0,建议游览时间：12小时 - 3天,,{'佛爷山旅游景区门票成人票\n\n': ['¥24起']},,6
景明风景旅游区Jingming Tourism Scenic Area,http://travel.qunar.com/p-oi35832483-jingmingfengjinglu:you,,景明旅游区位于山西省曲沃县，由龙岩寺、白寺楼、景明瀑布、景明竹林、沸泉水库、千年银杏树、龙底泉等景点组成。,,,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,6
赤邓村Chideng Village,http://travel.qunar.com/p-oi35288432-chidengcun,,,,,5.0,,,具体收费情况以现场公示为主,,8
曲沃县博物馆Quwoxian Museum,http://travel.qunar.com/p-oi34274295-quwoxianbowuguan,,,,,5.0,,,免费,,9
浮山县博物馆Fushanxian Museum,http://travel.qunar.com/p-oi34269642-fushanxianbowuguan,"

地址:
山西省浮山县尧山广场

",,不开放,,5.0,建议游览时间：1小时 - 2小时,,收费,,9
