名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
天宝山,http://travel.qunar.com/p-oi9149819-tianbaoshan,,"清咸丰年间，为避匪祸，近处村民在山上构筑围寨，贼寇屡次来攻，在危急时刻，似有天公相助，其他山寨具破，惟此山寨巍然屹立，村民遂改名“天保山”现名天宝山及天保山的谐音。周围方圆20多平方公里,峰峦起伏,山清水秀，花果遍地，风光旖旎。在八十年代末，其中的九间棚村奋发图强，自力更生，把一个坐落在山顶上的小村庄建设得花团锦簇，有模有样的，引得四面八方前来参观学习，一时间名闻遐迩。然而天宝山的出名，最早却是因为它是山东黄梨集中产地之一，素有黄梨之乡的美誉。其间最...清咸丰年间，为避匪祸，近处村民在山上构筑围寨，贼寇屡次来攻，在危急时刻，似有天公相助，其他山寨具破，惟此山寨巍然屹立，村民遂改名“天保山”现名天宝山及天保山的谐音。周围方圆20多平方公里,峰峦起伏,山清水秀，花果遍地，风光旖旎。在八十年代末，其中的九间棚村奋发图强，自力更生，把一个坐落在山顶上的小村庄建设得花团锦簇，有模有样的，引得四面八方前来参观学习，一时间名闻遐迩。然而天宝山的出名，最早却是因为它是山东黄梨集中产地之一，素有黄梨之乡的美誉。其间最负盛名的，要数天宝山西麓的大峪沟，民间曾有评价说：“两个济宁州，赶不上一个大峪沟”",,https://img1.qunarzz.com/travel/poi/1512/66/89585267a2691df7.jpg_480x360x95_ebc32a51.jpg,5.0,,3月-7月最佳。 临沂气候为暖温带季风大陆型气候，四季分明，雨量充沛，气侯温和，夏季气温较高，炎热而多雷雨；冬季寒冷，最低可达零下11.1℃，晴好天气较多，雨雪天气较少，但干燥而寒冷；春季回暖快，少雨，但偶尔略有大风；秋季凉爽宜人，适合出游。,,,1
沂水雪山旅游区,http://travel.qunar.com/p-oi715996-yishuixueshanlu:youqu,"

地址:
山东省沂水县城东北隅


电话:
0539-2315766

",沂水雪山旅游区（AA级）位于沂水县城东3公里处。主要包括雪山、大山、马山，总面积200万平方米。雪山树木葱郁，奇石林立，自古就有“雪山七十二景”之说，主要有“热炕”、“凉炕”、龟驮桥、仙人桥、灯碗石、霹雳石、雄鸡石、蛤蟆石、马子24.0pt石等众多奇石景和各种形状的奇松。雪山文化内涵丰厚。有李逵杀虎、刘勰问学等许多优美传说，流传很广。现风景区内建成了梅园、翠竹园，为雪山风景区锦上添花。雪山是节假日人民休闲娱乐的好去处。,9:00-17:00,,5.0,,,旺季68元  淡季50元,,2
栈道,http://travel.qunar.com/p-oi717928-zhandao,,走在崖壁栈道，游客朋友们便可欣赏到沂蒙山的群崮，亲手触摸天上王城陡峻的崖壁。沂蒙山区以多崮著称，其山顶多为平坦的方形山崮，大都是厚厚的石灰岩或石英砂岩平铺在山丘顶部，远处望去，座座大山象戴上了平顶帽子似的。崮的基本特征是平顶陡崖，崮顶一般都比较平坦，崮顶向下周围是如刀削般陡峻的峭壁，峭壁下面坡度由陡到缓。而天上王城—纪王崮是沂蒙七十二崮中面积最大的崮，崮顶面积有4平方公里，是崮貌最为典型的崮，也是唯一有人居住的崮，故被誉为沂蒙第一崮。,,,5.0,,,,,4
新村古梅园,http://travel.qunar.com/p-oi711074-xincungumeiyuan,"

地址:
山东临沂市郯城县新村乡政府驻地

",新村古梅园建于1992年秋，总面积7.5公顷。园内有千年古银杏树、全国最大的泥塑大佛像等。,全天,https://img1.qunarzz.com/piao/fusion/2105/52/3950e1673ba48f02.jpg_480x360x95_db805563.jpg,5.0,,,10元,,5
灵泉寺,http://travel.qunar.com/p-oi722340-lingquansi,"

地址:
山东省沂水县龙家圈乡境内

",俗称上源寺，位于山东省沂水县龙家圈乡境内，距县城15公里。紧邻山东省第三大水库—沂蒙母亲湖（跋山水库），景区规划面积180公顷，规划总投资3288万元。景区群山环绕，自然环境优美，文化积淀深厚。灵泉山悬崖峭壁，数百年苍松叠翠，溪流潺潺，高山间2600米的崖壁栈道气势宏伟。主要景点有悬崖栈道、灵泉寺、千年古银杏、佛教塔林、宋代九龙碑、灵泉湖、雄狮崖、狮子眼、鹰门塔石、和尚林、迎客松、观音洞、韩湘洞、朝阳洞、飞来石、仙人石、南天门、灵山隐士、孔雀谷、神仙府、佛爷...俗称上源寺，位于山东省沂水县龙家圈乡境内，距县城15公里。紧邻山东省第三大水库—沂蒙母亲湖（跋山水库），景区规划面积180公顷，规划总投资3288万元。景区群山环绕，自然环境优美，文化积淀深厚。灵泉山悬崖峭壁，数百年苍松叠翠，溪流潺潺，高山间2600米的崖壁栈道气势宏伟。主要景点有悬崖栈道、灵泉寺、千年古银杏、佛教塔林、宋代九龙碑、灵泉湖、雄狮崖、狮子眼、鹰门塔石、和尚林、迎客松、观音洞、韩湘洞、朝阳洞、飞来石、仙人石、南天门、灵山隐士、孔雀谷、神仙府、佛爷阁、碧霞祠等。传说唐贞观九年，一个法号昌弘的高僧为宏扬佛法来到此地，见此处苍松翠柏郁郁葱葱，山泉奔涌碧流成溪，遂决定在此建寺塑佛广传佛道，为当地朝佛圣地。现寺院周围尚有五株古银杏树，相传为昌弘所植，树龄已达1300余年，高30余米，至今仍是枝繁叶茂，果实累累。树绕灵泉，泉水经年不枯，常饮此泉水，可以延年益寿，泉又连一贮水池，池水如镜该景区。,7：00-18：00,https://img1.qunarzz.com/travel/d6/1506/b3/5dc0a7b19bb918.jpg_480x360x95_f770d594.jpg,5.0,,,成人票：50元 儿童票：25元,,6
好客欢乐城,http://travel.qunar.com/p-oi38913498-haokehuanlecheng,,好客欢乐城，项目共计2.4万平米，是山东省室内单体面积较大的游乐场，集文化与娱乐为一体的大型综合性游乐场。,,,5.0,,,,,8
1972创意产业园,http://travel.qunar.com/p-oi38334938-1972chuangyichanyeyuan,,走进1972创意产业园会有种进入时光隧道的错觉，一侧是老库房和学习雷锋宣传栏，而另一侧却是“当潮不让”“玩物励志”等创意炫彩的墙绘，历史与时尚的“邂逅” 给这个园区增添了很多新的气息。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
椿树沟景区,http://travel.qunar.com/p-oi38135179-chunshugoujingqu,,椿树沟景区环境优美，这里有儿童森林剧场，会有表演节目，还有高空玻璃漂流，七彩旱滑，吹水锅的小火车等游乐项目。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,9
沂蒙山旅游区,http://travel.qunar.com/p-oi38034425-yimengshanlu:youqu,,,,,5.0,,,具体收费情况以现场公示为主,,9
兰湖湾营地乐园,http://travel.qunar.com/p-oi37687817-lanhuwanyingdileyuan,"

地址:
山东省临沂市兰陵县压虎庄村888号


电话:
18663210503

","兰湖湾营地乐园﻿粉色沙滩，网红打卡，儿童游乐。含有迷你小火车，吊床，天空之梯，沙蔓迷宫，高空滑索，自助KTV，多人秋千等。
",7/25-8/31 09:00-20:00,,5.0,建议游览时间：12小时 - 3天,,,,9
