名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
天庭观景,http://travel.qunar.com/p-oi721569-tiantingguanjing,,即金顶观景。金顶观景台，是世界上最壮观的观景台，能容纳数千人观景。站在群峰环合的孤峰之上，环顾玉峰素裹的四壁，横陈西天的贡嘎雪山，峨眉山的风骨俊朗、精神逸韵尽收眼底。,,https://img1.qunarzz.com/travel/d2/1507/f9/4bf855af7567a4.jpg_480x360x95_22d990f0.jpg,5.0,,,,,5
"大坪霁雪Daping Jixue Scenic Spot, Mount Emei",http://travel.qunar.com/p-oi717967-dapingjixue,"

地址:
乐山市峨眉山市大坪

",大坪霁雪为峨眉山十胜景之一。大坪，位于峨眉山的中部，危耸于黑白二水之间，一峰突起。每年秋末，金顶开始飘雪，立冬一过，大坪已是雪花满山飞舞，纷纷扬扬，一株株挺立的常绿乔木，如琼枝玉叶，白塔凌空。严冬时，峨眉山处处雪树冰花，全山宛似银色世界。晴雪初霁，仁立在大坪以上高海拔的山峰上，鸟瞰大坪是另一番“幽峭精绝”的冬景。大坪和环绕四周的群峰，组合成一朵庞大的雪莲花：大坪如同花芯，丛丛参天古树活象花蕊，周围的峰峦宛似一裂裂花瓣。这朵洁白的雪莲花，正展瓣吐蕊，盛开在峨眉山的腹部，盛开在广阔无垠的天地之间；冬阳下，白中泛红，温润晶莹，冷艳妖娆。倘若在后山的霁雪亭，倚阑静观，举目回望，游者如同身处于雪莲花之，飘然有羽化成仙之感。,全年 6:00-18:30,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0de51ba4f87b531dd07f6dc691e28e51.jpg_480x360x95_764a11bf.jpg,5.0,建议游览时间：0.2小时 - 0.3小时,,,,5
美女峰,http://travel.qunar.com/p-oi711834-meinu:feng,"

地址:
位于四川乐山市沙湾区城南


电话:
0737-4243248

",美女峰位于乐山市沙湾区城南，系峨眉山脉第三峰，海拔2027米，因形似美女仰卧，被郭沫若誉为“睡美人”。美女峰景观以沙湾石林著称。方圆约10平方公里的石林，山石奇美，植物茂盛，石峰石笋如兽似神，似动犹静，形态万千；石盆景藤缠石、树夹石，石树争辉。溶洞穿山而过，清泉瀑布绕石而行，是集“山、石、峰、洞、泉”于一体，兼具位高、险峻、秀丽等特点的岩溶景观，是川西南独具魅力的天然公园。1996年被四川省人民政府公布为省级风景名胜区。,全天,,5.0,,,免费,,6
牛心寺Niuxin Temple,http://travel.qunar.com/p-oi718195-niuxinsi,,牛心寺在清音阁后，牛心岭山腰，海拔高度958米。牛心寺原名延福院，唐慧通禅师改名卧云寺。宋代继业三藏法师重建，后几经改建，现存大雄殿、观音殿、厢房和斋堂。牛心寺深居密林，环境幽静，昔日高僧多来该寺居修，研习经书。清乾隆以前，为清音阁去洪椿坪必经之道，当时殿宇规模宏大，后因游山道改至白云峡中，寺庙逐步荒废。牛心寺后山脚下有个“药王洞”，传说是“药王”孙思邈在峨眉山采药炼丹的地方。洞高约5米，宽近3米，深5米多，洞底和洞口均有明显的烟熏火烤痕迹，洞壁上至今寸草不生，据说是久经药物熏烤的原因。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/666437f68f5118ea1b93b71c4b7e7caf.jpg_480x360x95_28f79071.jpg,5.0,建议游览时间：1小时 - 2小时,,包括在峨眉山门票内。,,7
凉山第一寨,http://travel.qunar.com/p-oi38961149-liangshandiyizhai,,风景很有特色的彝族寨子，民俗活动体验，烧烤野炊的好去处，篝火晚会等项目期待您的体验,,,5.0,建议游览时间：3小时 - 5小时,,,,7
四溪沟,http://travel.qunar.com/p-oi38950631-sixigou,,,,,5.0,,,,,8
数游峨眉体验中心,http://travel.qunar.com/p-oi38887971-shuyouemeitiyanzhongxin,,占地面积约2000平米的“数游峨眉体验中心”，包括一馆五厅和“十四大”主题，依托5G、AR/VR、3D Mapping、全息影像、裸眼3D等现代新兴技术，充分挖掘峨眉山旅游资源，全面展示峨眉山丰富的动植物资源、悠久的人文历史和数十亿年来的地质结构变迁，将峨眉山传统景观与现代艺术相融合，将未见之美景、未见之智慧、未见之体验进行呈现，将单一的旅游打造成展览、体验、研学等形式多样的未来旅游全新模式。,,,5.0,,,,,8
乐山犍为龙门花海景区,http://travel.qunar.com/p-oi38807058-leshanjianweilongmenhua,,犍为龙门花海占地面积1100亩其中七彩油菜花就有600多亩据了解，全四川仅有3个地方有这种大型七彩油菜花观赏园犍为龙门就是其中之一,,,5.0,,,,,8
沐川龙门大峡谷,http://travel.qunar.com/p-oi38336661-muchuanlongmendaxiagu,,,,,5.0,,,具体收费情况以现场公示为主,,8
背峰山公园,http://travel.qunar.com/p-oi36393527-beifengshangongyuan,"

地址:
沙坪镇背峰山

","这是由曾经的荒山改造而成的休闲公园，登上背峰山，人们可以眺望全城风景，山上大概有五千多级台阶，登山途中设有多个烽火台。
",全天免费开放,,5.0,建议游览时间：3小时 - 4小时,,具体收费情况以现场公示为主,,10
四峨山梯田Si'eshan Terraces,http://travel.qunar.com/p-oi35912731-sieshantitian,,,,,5.0,,,具体收费情况以现场公示为主,,10
