名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
雪岭云杉自然保护区,http://travel.qunar.com/p-oi702378-xuelingyunshanziranbao,"

地址:
新疆伊犁地区巩留县东南60千米

",,9:00-17:00,https://img1.qunarzz.com/travel/poi/1408/20/5e591bf183934183ffffffffc8d65eac.jpg_480x360x95_0c817e06.jpg,5.0,建议游览时间：2小时,,30元,,4
吐虎鲁克铁木尔汗麻札,http://travel.qunar.com/p-oi714818-tuhuluketiemuerhanmazha,,吐虎鲁克铁木尔汗麻札位于新疆维吾尔自治区霍城县西北38公里的大麻扎乡，是成吉思汗（公元1162～1227）次子察合台汗的后裔吐虎鲁克？铁木尔汗的陵墓。“麻扎”，阿拉伯语的音译，意思是“圣地”、“圣徒墓”。吐虎鲁克铁木尔汗于1346年登上汗王宝座，1354年正式信奉伊斯兰教，是新疆境内最早信仰伊斯兰教的蒙古可汗，在位期间致力推行伊斯兰教。1363年去世后，后人修建了规模宏大的麻扎宣扬其功德。麻扎完全采用阿拉伯建筑形式，平面呈方形，寝殿用砖砌拱顶，殿内无木柱栋梁。正门朝...吐虎鲁克铁木尔汗麻札位于新疆维吾尔自治区霍城县西北38公里的大麻扎乡，是成吉思汗（公元1162～1227）次子察合台汗的后裔吐虎鲁克？铁木尔汗的陵墓。“麻扎”，阿拉伯语的音译，意思是“圣地”、“圣徒墓”。吐虎鲁克铁木尔汗于1346年登上汗王宝座，1354年正式信奉伊斯兰教，是新疆境内最早信仰伊斯兰教的蒙古可汗，在位期间致力推行伊斯兰教。1363年去世后，后人修建了规模宏大的麻扎宣扬其功德。麻扎完全采用阿拉伯建筑形式，平面呈方形，寝殿用砖砌拱顶，殿内无木柱栋梁。正门朝东，呈拱形，门两侧是用阿拉伯文书写的、赞颂可汗和可敦的铭文。麻扎正面墙壁上用紫、蓝、白3色釉砖，镶嵌出20余种几何图案和植物纹样。吐虎鲁克？铁木尔汗麻扎是新疆著名的伊斯兰教古代建筑之一，建筑主体仍然保存完好。它是研究考证元代以后新疆地区宗教变迁、民族关系、建筑艺术的重要遗迹，具有较高的历史价值。,,,5.0,,,,,5
平定准噶尔勒铭碑,http://travel.qunar.com/p-oi716279-pingdingzhungaerleming,"

地址:
新疆维吾尔自治区昭苏县城西南60公里的格登山上

",平定准噶尔勒铭碑全名为《平定准葛尔勒铭格登山之碑》，位于新疆维吾尔自治区昭苏县城西南60公里的格登山上，北距松拜边防站哨所约100米。立于清乾隆二十五年（1761年）。碑石为青砂石质，由清官兵1000余人从南疆叶城县运进，整个立碑事宜由伊犁参赞大臣督办。通高3．03米，宽0．98米，厚0．27米，分碑额、碑身、碑座三部分，保存基本完好。碑额两面均刻二龙戏珠图案，正面中部刻竖书“皇清”二字，背面中部刻 “万古”二字。碑座两面雕刻万里碧波烘托出一轮朝日的图景。碑身两面竖书...平定准噶尔勒铭碑全名为《平定准葛尔勒铭格登山之碑》，位于新疆维吾尔自治区昭苏县城西南60公里的格登山上，北距松拜边防站哨所约100米。立于清乾隆二十五年（1761年）。碑石为青砂石质，由清官兵1000余人从南疆叶城县运进，整个立碑事宜由伊犁参赞大臣督办。通高3．03米，宽0．98米，厚0．27米，分碑额、碑身、碑座三部分，保存基本完好。碑额两面均刻二龙戏珠图案，正面中部刻竖书“皇清”二字，背面中部刻 “万古”二字。碑座两面雕刻万里碧波烘托出一轮朝日的图景。碑身两面竖书阴刻四种文字的碑文，正面为满文和汉文，背面为蒙文和藏文，其中汉文碑文共计8行240字，用四言叶韵体写成。碑文由乾隆皇帝亲撰，记述乾隆二十年（1756年）清军在格登山平定准噶尔部叛众，叛军首领达瓦齐逃窜南疆，终被乌什回部阿奇木堆集斯伯克擒获并押交清廷这一历史事件的经过，赞颂格登山之战中参战勇士的英雄精神。格登山纪念碑是维护祖国统一，反对民族分裂的历史见证，具有较高的历史价值。,全天,,5.0,,,10元,,5
伊犁天山花海景区,http://travel.qunar.com/p-oi40005112-yilitianshanhuahaijing,,伊犁天山花海景区地处新疆伊犁州伊宁县喀什镇，2022年申报挂牌AAAA景区，是集地区民俗演绎、花田观光、果蔬采摘、自驾宿营、康养研学为一体的大型田园度假休闲旅游综合体。园内包含全球最壮观的连绵起伏12公里薰衣草花海和多样化的生态作物种植区，疆域特色有机林果和特色生物种植和萌宠动物乐园。2021年6月营业以来，迎接游客逾万人次。伊犁天山花海景区坚持生态优先、产业兴旺、乡村文明、融合发展的规划思路，以“大农业”为基础，以“花语世界”为核心，以“精深加工体验”为亮点，积极布局“农业+体验＋休闲＋度假”中高端多元化产品，塑造独特的农旅打卡点，申创中国农业公园、国家5A级景区、世界香料花海窗口地，使之成为伊犁河谷农旅休闲新动力和新名片。,,,5.0,,,具体收费情况以景区现场公示为主,,6
塞克云端草原,http://travel.qunar.com/p-oi38943175-saikeyunduancaoyuan,,,,,5.0,,,,,6
独库公路纪念碑,http://travel.qunar.com/p-oi38359099-dukugonglujinianbei,,,,,5.0,,,具体收费情况以现场公示为主,,7
夏塔古道国家森林公园,http://travel.qunar.com/p-oi38135046-xiatagudaoguojiasenlin,,,,,5.0,,,具体收费情况以现场公示为主,,7
特克斯离街,http://travel.qunar.com/p-oi37204120-tekesilijie,"

地址:
伊犁哈萨克自治州特克斯县博斯坦街中国石油北100米

","离街八卦城其中一条街道，“留住一座城，记住一条街”，这是八卦城人常说的一句话，“城”指八卦城，“街”指离街民族风情步行街；熟悉新疆的人都知道，到伊犁，必游八卦城；到八卦城，则必游离街；乾、坤、震、巽、坎、离、艮、兑八卦城一环八条街，离街就是其中之一；“离”在易经卦爻中代表火的意思，象征着吉祥喜庆，红红火火，因街区刚好处在离卦位置，被称为“离街”，离街总长1700米,总面积约9.2万平方米，由7条巷道和多个特色院落组成，自古有着深厚的文化底蕴，集乌孙文化、丝路文化、草原文化、易经文化等于一体；按照“修旧如旧”设计理念，斥资对离街进行升级改造，保留现有民居院落，在居住功能、邻里结构不变的基础上逐步向旅游服务转型，形成民宿、美食、民族特色产品为一体的休闲街区，温暖的气息，亲切的民风，古而不旧，新雅别致的民宿院落，盛开的鲜花，色彩艳丽的雕塑，飘逸灵动的壁画，炉上一串烤肉，啃着西瓜的小孩，一扇扇油漆斑驳的旧门，粗犷简洁的红砖院墙，好似一幅岁月静好的画卷。",全年 全天开放,,5.0,,,,,8
阿克库勒湖,http://travel.qunar.com/p-oi37184772-akekulehu,"

地址:
新疆维吾尔自治区伊犁哈萨克自治州特克斯县

",这是新疆地区比较少见的大型湖泊，湖畔有草原、雪山、冰川。阿克库勒湖面深邃清澈，形状呈Y字形，静卧在四面高山之中。湖泊周长大约9公里，湖的进水口和出水口都无迹可寻。这座终年不涸的湖泊，在洁白的雪山包围中，和湛蓝的天空，相映出一道魅力无穷的景象。天堂湖在整个乌孙古道徒步的后半段，是整条线路中的一大亮点。随着乌孙古道被更多的人得知，天堂湖的美也慢慢的展现在更多人的眼前。,全年 全天开放,,5.0,,,具体收费情况以现场公示为主,,9
葛洲坝玉湖景区,http://travel.qunar.com/p-oi36183899-gezhoubayuhujingqu,,昭苏玉湖，是一个隐藏在天山冰川腹地神奇的湖泊，蜿蜒曲折的湖水延伸到远方，一年四季，由于光照不同，玉湖水呈现不同的颜色，因此有了“变色湖”的别称。 多彩变幻的湖水颜色让每位见到她的旅客迷醉其中，无不感叹它的神奇的色彩。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,9
