名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
清真西寺,http://travel.qunar.com/p-oi709075-qingzhenxisi,,位于保定市清真寺街15号。保定市原有清真寺9座，现开放的有8座。清真西寺是其中规模最大、历史最久的一座。它始建于明万历四十四年（1616年），修有正殿3间、讲堂及水房，清未民初又以几次扩建修整始具规模。现寺内有房59间，正殿20间，南北讲堂12间，水房18间及工具房、配房等。寺内还有大小碑刻6通。整个寺院保存完好,,https://img1.qunarzz.com/travel/d9/1703/22/da35bfe3b9ac60b5.jpg_480x360x95_43e8d90f.jpg,5.0,,,,,3
历代长城,http://travel.qunar.com/p-oi702714-lidaizhangcheng,,地连九塞，势控燕秦，有长城博物馆之称，最著名和保存最多的是明代长城。辽代，井陉成为“畿右内边”，井陉关，（即固关、娘子关），和阜平县龙泉关、唐县倒马关、易县紫荆关，共为畿辅咽喉。明代，此四处重关连接在一起，在井陉境内的长城达100多千米。,,,5.0,,,,,4
野三坡民族园,http://travel.qunar.com/p-oi716899-yesanpominzuyuan,,野三坡民族园--风情浓郁：野三坡民族园坐落于拒马河畔，三面绕水，四面环山，环境幽美。民族园前身为苗寨，1992年根据全国政协22位少数民族委员关于在北京周边兴建56个少数民族村寨的提案修建。野三坡民族园占地10公倾，建筑面积2400多平方米。游人在此可聆听动人的民族山歌，悦耳的芦笙、葫芦丝吹奏，铿锵的花鼓演奏，观赏具有浓郁民族风情的瑶族服饰展，领路惊险刺激的上刀山、下火海，参与欢快的竹竿舞板鞋舞，也可与8个少数民族的演员手拉手一起跳起欢乐祥和的民族团结舞。游览时...野三坡民族园--风情浓郁：野三坡民族园坐落于拒马河畔，三面绕水，四面环山，环境幽美。民族园前身为苗寨，1992年根据全国政协22位少数民族委员关于在北京周边兴建56个少数民族村寨的提案修建。野三坡民族园占地10公倾，建筑面积2400多平方米。游人在此可聆听动人的民族山歌，悦耳的芦笙、葫芦丝吹奏，铿锵的花鼓演奏，观赏具有浓郁民族风情的瑶族服饰展，领路惊险刺激的上刀山、下火海，参与欢快的竹竿舞板鞋舞，也可与8个少数民族的演员手拉手一起跳起欢乐祥和的民族团结舞。游览时间：2个小时民族园门票：30元/人野三坡民族园民族园迎客民族园大三弦民族园娶亲民族园竹竿舞民族园相亲民族园民族舞蹈表演民族园滚山竹民族园一角民族园苗族少女友情提示：野三坡民族园内于04年又增添红艺人(人妖)表演，让您不用长途跋涉便可欣赏到另类的反串表演，与人妖亲密接触。,,,5.0,,,,,5
野山寨,http://travel.qunar.com/p-oi704574-yeshanzhai,,"野山寨是最新开辟的北京周边景区,位于太行山脉,属河北省易县,距北京180公里,约3小时路程.是抗战时著名的晋察冀边区,杨成武将军率部抗击日寇的地方,又是2000年前燕国下都,山高林密,溪泉密布,平均海拔1300米,有丰富的历史,民族文化内涵;动植物资源多,景区质量受到国家有关旅游专家好评.近年中央电视台,中国旅游报,北京青年报,北京晚报等都有过报道.野山寨,是个天然大凉谷,大氧吧,可春赏杏桃花,夏嬉涧水,秋赏红叶,冬逛民俗参观革命史迹.住南山人家,点篝火燃鞭炮,烤全羊,吃山珍烤野味,篝...野山寨是最新开辟的北京周边景区,位于太行山脉,属河北省易县,距北京180公里,约3小时路程.是抗战时著名的晋察冀边区,杨成武将军率部抗击日寇的地方,又是2000年前燕国下都,山高林密,溪泉密布,平均海拔1300米,有丰富的历史,民族文化内涵;动植物资源多,景区质量受到国家有关旅游专家好评.近年中央电视台,中国旅游报,北京青年报,北京晚报等都有过报道.野山寨,是个天然大凉谷,大氧吧,可春赏杏桃花,夏嬉涧水,秋赏红叶,冬逛民俗参观革命史迹.住南山人家,点篝火燃鞭炮,烤全羊,吃山珍烤野味,篝火晚会,太行山传统名吃板肠炖豆腐,山狗筋,山兔炖土豆等等",,,5.0,,,,,6
白洋淀之窗博物馆Baiyangdian Zhi Chuang Museum,http://travel.qunar.com/p-oi706847-baiyangdianzhichuangbo,,"白洋淀之窗博物馆位于鸳鸯岛上，博物馆以朴实淳厚渔民生活，充分地展现白洋淀的自然资源和水乡美景，以详实的历史资料，珍贵的历史照片和丰富的实物，真实的展示了白洋淀悠久的历史文化，生动的再现小兵张嘎和淀上神兵""雁翎队""的光辉足迹，详细的介绍独具特色的淀区文化。",,https://img1.qunarzz.com/piao/fusion/1502/1c/5f80c2738c5775.jpg_480x360x95_3c7d5aa0.jpg,5.0,建议游览时间：2小时 - 3小时,,包含在鸳鸯岛景区门票中,,6
满城华严寺,http://travel.qunar.com/p-oi39773562-manchenghuayansi,,,,,5.0,,,,,7
黄花沟公园,http://travel.qunar.com/p-oi39631917-huanghuagougongyuan,,,,,5.0,,,,,8
保定水利博物馆,http://travel.qunar.com/p-oi39596008-baodingshuilibowuguan,,,,,5.0,,,具体收费情况以景区现场公示为主,,8
悬空寺,http://travel.qunar.com/p-oi39514893-xuankongsi,,,,,5.0,,,,,9
保定第二师范纪念馆,http://travel.qunar.com/p-oi39317830-baodingdiershifanjinian,,,,,5.0,,,,,9
