名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
百花岭生态旅游区Baihualing Ecology Tourist Zone,http://travel.qunar.com/p-oi10034722-baihualingshengtailu:,"

地址:
保山市隆阳区芒宽乡百花岭村

",百花岭是一个让无数摄影爱好者神魂颠倒的地方，光是听名字就已经够有吸引力了。百花岭位于距离芒宽乡镇约35公里的地方，紧靠高黎贡山自然保护区。这是一个神奇的地方，它集三峡的险峻，黄果树的雄奇，九寨沟的幽静于一体，是一个不折不扣的自然风景区。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/0de695751b23e1b4ed2df2b3b0fc5099.jpg_480x360x95_1eccc092.jpg,5.0,建议游览时间：1小时,,{'腾冲精选景区一日游（线路任选，零等待 出行自由 司机兼向导）\n\n': ['¥280起']},,1
野鸭湖,http://travel.qunar.com/p-oi7527483-yeyahu,"

地址:
保山市 和顺古镇内	

",野鸭湖湿地湖水面积680亩，湖的岸边是万亩森林，覆盖景区山峦、岛屿，湖中青山倒映，山、水、岛互为一体，使野鸭湖湿地素有“滇西小桂林”之称。,全天,https://img1.qunarzz.com/travel/d8/201404/04/a70ff11211c692caddb12cfb.jpg_480x360x95_240d4990.jpg,5.0,建议游览时间：1小时 - 2小时,,免费,,2
龙陵,http://travel.qunar.com/p-oi5941278-longling,,龙陵县位于云南省西部，地处怒江、龙川江两江之间，分别与施甸县、永德县、镇康县、缅甸、潞西市、梁河县、腾冲县、隆阳县相接壤，国境线长19.71公里。县人民政府驻龙山镇，境内有松山战役抗日战场遗址、邦腊掌热矿泉旅游度假区、小黑山省级自然自然保护区、茄子山水库生态旅游区等景点。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/5809f15c82358ea5e6000ed9726ac132.jpg_480x360x95_723ddec1.jpg,5.0,,,,,2
三禾美术馆听雨楼,http://travel.qunar.com/p-oi39772084-sanhemeishuguantingyu,,,,,5.0,,,具体收费情况以景区现场公示为主,,2
野鸭湖,http://travel.qunar.com/p-oi38653989-yeyahu,,,,,5.0,,,位于和顺古镇景区内，需购买和顺古镇景区门票方可进入,,2
保山文昌宫,http://travel.qunar.com/p-oi722955-baoshanwenchanggong,"

地址:
云南省保山腾冲县

",,8:00-20:00,https://img1.qunarzz.com/travel/poi/201211/15/844964427301dbf3ddb12cfb.jpg_480x360x95_73348a5a.jpg,5.0,,,10元,,4
霁虹桥遗址Jihongqiao Relic Site,http://travel.qunar.com/p-oi716507-jihongqiaoyizhi,"

地址:
云南省保山市水寨乡平坡村

",在云南省保山市与永平县交界处的澜沧江上，有一座飞架在悬崖绝壁之上的铁索桥，1986年前的霁虹桥是我国较古老的铁索桥。霁虹桥的位置是西汉的兰津古渡，东汉曾流传“渡博南，越兰津”的歌谣。丝绸之路出现之前两世纪，从四川西昌起，经云南姚安、下关、保山，进入印度等国的“西南丝道”就已形成，霁虹桥就是这条古驿道上的咽喉。此处古为舟筏渡口；东汉永平年初架起藤蔑桥；元贞年（1295年）改架木桥，得名霁虹桥；明代成化十一年（1475年）改建铁索桥，清康熙年间重修。相传当年造铁索桥时，原有的木桥被江水冲毁，要把每根手臂粗，数千斤重、百余米长的铁链从当东岸送到西岸十分困难。一位年轻的工匠从射箭猎兽得到启发，根据他的建议，工匠们在陡峭的东岸用数根粗细不等，与铁链一般长的麻绳由细至粗结好，然后把粗头系在铁链上，细头系在箭尾上，射到西岸，西岸的工匠把麻绳捆在绞车上，摇动转轮，将铁链拖到西岸，固定在埋入地下几米深的铁铸万年桩上。霁虹桥跨度为57.3米，宽3.7米，由18根铁索链悬吊两岸，上铺桥板。霁虹桥西岸绝壁上刻有历代文人墨客书写的“悬崖奇渡”、“金齿咽喉”等等；闻名地理学家徐霞客曾到过此桥。霁虹桥是历代开发西南必经的关隘要道，在地理位置上有着较重要的意义。桥上曾设有税所和办案机构。1942年5月，日本侵略军曾派三十余架飞机在霁虹桥上空轰炸，因地势险要，古桥得以幸免。1986年，古桥被洪水冲毁，今仅剩遗址。,全年 全天开放,https://img1.qunarzz.com/travel/poi/1712/b9/ad322907f3ee3e37.jpg_480x360x95_3d8c2668.jpg,5.0,建议游览时间：0.5小时,,10元,,6
施甸青牛白马广场,http://travel.qunar.com/p-oi39528634-shidianqingniubaimaguang,,,,,5.0,,,,,7
高黎贡山花寨大瀑布,http://travel.qunar.com/p-oi38950605-gaoligongshanhuazhaida,,花寨大瀑布被誉为“天然氧吧”，位于腾冲市五合乡高黎贡山南段，距离市区40公里，是前往保山的必经之路。由于地处高黎贡山腹地地形特殊从而形成了一山分四季，一山有多景。架云之上，沿溪而走，穿越森林，探秘瀑布。,,,5.0,,,,,7
高黎贡山中坪大瀑布,http://travel.qunar.com/p-oi38950434-gaoligongshanzhongping,,高黎贡山中坪大瀑布，位于腾冲市界头镇乡高黎贡山中段，距离市区40公里，由于地处高黎贡山腹地地形特殊从而形成了一山分四季，一山有多景。架云之上，沿溪而走，穿越森林，探秘瀑布。,,,5.0,,,,,8
帕连艺术村,http://travel.qunar.com/p-oi37807217-palianyishucun,,,,,5.0,,,具体收费情况以现场公示为主,,9
