名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
艾雅康鸟类生态博物馆,http://travel.qunar.com/p-oi39036238-aiyakangniaoleishengtai,,“艾雅康鸟类生态博物馆”是世界首个以鸟文化为主题的博物馆。是世界生态组织鸟类生态科普基地和中国青少年鸟类科普实践教育基地。博物馆从“文化科普性、科技娱乐性、展示艺术性、生态教育性、商业体验性”五个维度，运用当代全球最先进的声光电和人机交互等高科技手段，将世界珍稀鸟类惟妙惟肖地展示在观众面前。场馆分10个主题展厅，依次是：鸟文化主旨大厅、鸟类进化之路、岩洞神鸟传说、飞鸟意境殿堂、穿越时空隧道、遨游天空之旅（ AR 人机互动）、万鸟光影神庙、羽诉千古情缘、逐梦艺术空间、魔术娱乐互动等。徜徉其间，观众会了解鸟类演化历程、鸟类基本知识及当下鸟类生存状态，并通过体验互动和文创产品的品赏，在趣味性游玩中不知不觉地增长知识，从而产生保护鸟类保护自然的生态意识，与“鸟王”艾雅康一起，去践行“绿水青山”伟大思想，让我们的生活永远是鸟语花香。朋友，欢迎你的到来！,,,5.0,建议游览时间：2小时 - 3小时,,,,4
四川大渡河峡谷国家地质公园金口河园区,http://travel.qunar.com/p-oi38598226-sichuandaduhexiaguguo,,四川大渡河峡谷国家地质公园金口河园区地理位置优越，周围峡谷幽深，景色俊美，周围还有铁道兵博物馆等景点。,,,5.0,建议游览时间：3小时,,,,5
茨达字库塔,http://travel.qunar.com/p-oi38346712-cidazikuta,,茨达字库塔位于德昌县，塔身仿楼阁五重檐、六角攒尖式砖石结构建筑，第一层有二通碑记，三通功德碑，南开窗；第二、三层除南面开窗外，其余置烧陶人物深浮雕；第四层开窗，北面是人物浮雕，其余四方为“龙吟虎啸”四字；第五层南面开窗。是古人专门用来焚烧字纸的建筑。,,,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,5
星月湖公园,http://travel.qunar.com/p-oi38340389-xingyuehugongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,5
大凉山民族文化创意产业园,http://travel.qunar.com/p-oi38334851-daliangshanminzuwenhua,,大凉山民族文化创意产业园展现的都是凉山民族文化风情，园区内随处可见红、黄、黑彝族三原色的特色装饰，彝族建筑的传统元素穿方斗拱、图腾浮雕、瓦板房屋……,,,5.0,建议游览时间：1小时 - 3小时,,具体收费情况以现场公示为主,,6
科甲巷,http://travel.qunar.com/p-oi36268697-kejiaxiang,,科甲巷位于凉山州会理古城，原名龚家巷，后因居住在此的祖孙三代均中科举故更名为科甲巷，巷内多为明、清时期的古建筑。巷内民居宅院建筑样式多样，雕梁画栋、错落有致、古色古香。,,,5.0,建议游览时间：1小时 - 2小时,,,,6
俄亚大村Eyada Village,http://travel.qunar.com/p-oi35846214-eyadacun,"

地址:
凉山彝族自治州木里藏族自治县

",俄亚大村是个纳西族古寨，全村的房屋连为一体，形成罕见的蜂窝状建筑群。,全年 全天开放,,5.0,建议游览时间：12小时 - 3天,,,,7
金阳县农场Farm of Jinyang County,http://travel.qunar.com/p-oi35644536-jinyangxiannongchang,,,,,5.0,,,具体收费情况以现场公示为主,,8
菜地梁子Caidiliangzi Village,http://travel.qunar.com/p-oi35384430-caidiliangzi,,,,,5.0,,,,,9
啊结核过Ajieheguo Village,http://travel.qunar.com/p-oi35320715-ajieheguo,,,,,5.0,,,具体收费情况以现场公示为主,,9
拉都吉村Laduji Village,http://travel.qunar.com/p-oi35320696-ladoujicun,,,,,5.0,,,具体收费情况以现场公示为主,,10
阿解洛都Ajieluodu Village,http://travel.qunar.com/p-oi35320278-ajieluodou,,,,,5.0,,,具体收费情况以现场公示为主,,10
