名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
六合丝厂,http://travel.qunar.com/p-oi39462514-liuhesichang,,,,,5.0,,,,,1
福音堂,http://travel.qunar.com/p-oi718778-fuyintang,,位于杨天井街7号，又称圣约翰大教堂，建于光绪三十四年，已有近百年历史。它是四川最早的西洋建筑之一，也是西南现存规模最大的基督教堂，曾一度为基督教东川教区总堂，系英国传教士“剑桥七杰”之一的盖世礼筹资修建，澳大利亚工程师设计，教堂临街原有欧式风格又属中式架构的八字形大街门。教堂坐西向东，呈十字形，外观为欧州古典哥特式建筑，内又采取中国传统的台梁式结构，占地6000平方米，建筑面积约1600平方米，可容纳2000余名信徒聚会。堂内既有西方传教讲经设施，又有中式镏...位于杨天井街7号，又称圣约翰大教堂，建于光绪三十四年，已有近百年历史。它是四川最早的西洋建筑之一，也是西南现存规模最大的基督教堂，曾一度为基督教东川教区总堂，系英国传教士“剑桥七杰”之一的盖世礼筹资修建，澳大利亚工程师设计，教堂临街原有欧式风格又属中式架构的八字形大街门。教堂坐西向东，呈十字形，外观为欧州古典哥特式建筑，内又采取中国传统的台梁式结构，占地6000平方米，建筑面积约1600平方米，可容纳2000余名信徒聚会。堂内既有西方传教讲经设施，又有中式镏金碑文。整个建筑中西合璧，是中西文化交融的结晶。1999年，加拿大一英文刊物曾对阆中福音堂作详细介绍，2001年5月，台湾电视台曾专程来阆拍摄，并在黄金时段以“中国名城之旅”电视节目对台湾同胞播放，引起很大反映。天津建工学院、四川大学、四川美术学院等院校师生先后来阆对其建筑设计、技术风格和艺术特色等多方面进行考察研究。有关专家认为，阆中福音堂是外来宗教建筑中的稀世之作，有极高的文物价值。,,,5.0,,,,,2
长滩坝漂流,http://travel.qunar.com/p-oi713881-changtanbapiaoliu,,,,https://img1.qunarzz.com/travel/d1/1512/50/3b146f22c39b65f7.jpg_480x360x95_6d987610.jpg,5.0,,四季皆宜。,,,2
白云山,http://travel.qunar.com/p-oi707631-baiyunshan,,省级白云山风景名胜区位于蓬安县东南面，幅员面积51.13平方公里。318国道公路穿境而过，距蓬安火车站28公里，离南充、广安小平旧居不足50公里，到朱德故居也只有90公里。主景区白云山有森林面积一万多亩，集幽、秀、奇于一身。两山七寨三十三峰形成的两沟二十六弯，山上重山，岩上叠岩。林木以松、柏、杉、樟等乔木为主，伴有灌木、藤本、花、草共400多种植物。林中有白鹭、岩鹰、猫头鹰、野鸡、狐狸等30多种野生动物。杨柳沟自然保护区神似原始森林，灌木苍莽，怪石林立，溪流回环，...省级白云山风景名胜区位于蓬安县东南面，幅员面积51.13平方公里。318国道公路穿境而过，距蓬安火车站28公里，离南充、广安小平旧居不足50公里，到朱德故居也只有90公里。主景区白云山有森林面积一万多亩，集幽、秀、奇于一身。两山七寨三十三峰形成的两沟二十六弯，山上重山，岩上叠岩。林木以松、柏、杉、樟等乔木为主，伴有灌木、藤本、花、草共400多种植物。林中有白鹭、岩鹰、猫头鹰、野鸡、狐狸等30多种野生动物。杨柳沟自然保护区神似原始森林，灌木苍莽，怪石林立，溪流回环，充满原始韵味。,,https://img1.qunarzz.com/travel/d0/1710/55/d111d6b840d886b5.jpg_480x360x95_9b7ebd30.jpg,5.0,,,,,5
南充鹤鸣山旅游景区,http://travel.qunar.com/p-oi39462539-nanchonghemingshanlu:,,,,,5.0,,,,,5
梨树垭,http://travel.qunar.com/p-oi39317855-lishuya,,,,,5.0,,,,,5
白塔公园,http://travel.qunar.com/p-oi39171868-baitagongyuan,,,,,5.0,,,,,5
开汉楼景区,http://travel.qunar.com/p-oi38937118-kaihanloujingqu,,,,,5.0,,,,,6
望月锦绣长城风景区,http://travel.qunar.com/p-oi38337651-wangyuejinxiuzhangcheng,,,,,5.0,,,具体收费情况以现场公示为主,,6
金松湖公园,http://travel.qunar.com/p-oi37189281-jinsonghugongyuan,,,,,5.0,,,具体收费情况以现场公示为主,,9
