名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
苍儿会生态旅游区,http://travel.qunar.com/p-oi709156-cangerhuishengtailu:you,,山西·吕梁山·苍儿会生态旅游经济区为国家级森林公园，总面积360平方公里，地处女皇武则天故里山西省吕梁市文水县。距山西省省会太原仅80公里，全程1小时。经济园区有着丰富的森林植被资源和独特的自然景观，还有历史悠久的人文景观，这里森林葱郁，溪水潺潺，鸟语花香，空气清新。空气达到国家空气质量等级一级水平，水质达到矿泉水标准，绿色植被覆盖率达到92%，森林植被覆盖率达到83%。野生动物70余种，野生药材100余种，野生食用菜20余种，以羊肚菌、野生木耳为代表的绿色食品20余...山西·吕梁山·苍儿会生态旅游经济区为国家级森林公园，总面积360平方公里，地处女皇武则天故里山西省吕梁市文水县。距山西省省会太原仅80公里，全程1小时。经济园区有着丰富的森林植被资源和独特的自然景观，还有历史悠久的人文景观，这里森林葱郁，溪水潺潺，鸟语花香，空气清新。空气达到国家空气质量等级一级水平，水质达到矿泉水标准，绿色植被覆盖率达到92%，森林植被覆盖率达到83%。野生动物70余种，野生药材100余种，野生食用菜20余种，以羊肚菌、野生木耳为代表的绿色食品20余种，野生沙棘、杏、桃、核桃、葡萄等30余种树木满山遍野，四季飘香，因上述诸多植物种类而享有“北方植物园”之美誉。特别是具有一处始建于东汉永平10年的佛寺—东岩寺，是佛教传入中国最早的寺庙之一，比洛阳白马寺还早1年，被誉为“民间第一寺”，具有很高的艺术价值与旅游价值。,,,5.0,,,,,1
汉画像石,http://travel.qunar.com/p-oi703979-hanhuaxiangshi,,汉画像石是汉代人雕刻在墓室、祠堂四壁的装饰石刻壁画。它在内容上包括神话传说、典章制度、风土人情等各个方面。在艺术形式上它上承战国绘画古朴之风，下开魏晋风度艺术之先河，奠定了中国画的基本法规和规范。汉画像石同商周的青铜器、南北朝的石窟艺术、唐诗、宋词一样，各领风骚数百年，成为我国文化艺术中的杰出代表和文化艺术瑰宝。离石是中国汉画像石的主要分布区域之一，离石汉画像石大致可分为两类：一类是天上的神仙世界，描写的是墓主人死后祈求步入的仙境；一类是人间的...汉画像石是汉代人雕刻在墓室、祠堂四壁的装饰石刻壁画。它在内容上包括神话传说、典章制度、风土人情等各个方面。在艺术形式上它上承战国绘画古朴之风，下开魏晋风度艺术之先河，奠定了中国画的基本法规和规范。汉画像石同商周的青铜器、南北朝的石窟艺术、唐诗、宋词一样，各领风骚数百年，成为我国文化艺术中的杰出代表和文化艺术瑰宝。离石是中国汉画像石的主要分布区域之一，离石汉画像石大致可分为两类：一类是天上的神仙世界，描写的是墓主人死后祈求步入的仙境；一类是人间的现实图景，描写的是墓主人生前的享乐生活。,,,5.0,,,,,2
太符观,http://travel.qunar.com/p-oi702491-taifuguan,,在山西汾阳县城东北15公里上庙村。此观始建年代不详，金承安五年在此创建醮坛，刻立碑记，后经明、清修葺，始成现状。为道教庙宇，规模宏敞，布局疏朗，场面开阔。山门三间，有如精巧的牌坊，三彩琉璃团龙，镶贴在门外两壁，劲健有力，观内东西配殿各五间，悬山式屋顶，前檐插廊，东奉后土圣母，西奉五岳大帝，殿内悬塑满壁，塑像壁画基本完备，虽经几次重装，不失原作风格，表现后土圣母在文武侍从护卫下出巡的场景，造型艺术令人赞叹。正北向昊天大帝殿为主体建筑，面宽三间，单檐歇...在山西汾阳县城东北15公里上庙村。此观始建年代不详，金承安五年在此创建醮坛，刻立碑记，后经明、清修葺，始成现状。为道教庙宇，规模宏敞，布局疏朗，场面开阔。山门三间，有如精巧的牌坊，三彩琉璃团龙，镶贴在门外两壁，劲健有力，观内东西配殿各五间，悬山式屋顶，前檐插廊，东奉后土圣母，西奉五岳大帝，殿内悬塑满壁，塑像壁画基本完备，虽经几次重装，不失原作风格，表现后土圣母在文武侍从护卫下出巡的场景，造型艺术令人赞叹。正北向昊天大帝殿为主体建筑，面宽三间，单檐歇山式。正殿三楹，配殿五间的设计颇为稀有。昊天殿结构朴实，用材粗壮，形制手法古朴，俨然全代建筑。殿内奉玉皇大帝，侧有侍者六人，躯体高大，形象逼真，观其风格应是明塑。现存昊天大帝殿为金代原构，余皆明代遗物。左右配其配殿大于正殿的设计，打破了庙宇建筑的惯例，实为罕见。观内还有狄青墓碑一座，保存完好，以及外地迁来的隋代造像碑三块，唐碑、唐幢各一通,,https://img1.qunarzz.com/travel/d1/1805/74/245eb2b9a93b2eb5.jpg_480x360x95_b48a0d78.jpg,5.0,,,,,2
文水西山凤凰公园,http://travel.qunar.com/p-oi38337255-wenshuixishanfenghuang,,,,,5.0,,,具体收费情况以现场公示为主,,4
胜溪湖湿地公园Shengxihu Wetland Park,http://travel.qunar.com/p-oi35832568-shengxihushidigongyuan,,胜溪湖湿地公园内河流、湖泊、池塘、沼泽等水域纵横交汇，水域面积大，是集区域水利、城市湿地、生态文化为一体的湿地公园。,,https://flight-feed.qunarzz.com/as3/271/image/poi_vishnu/888ad117-a266-41fc-8f1f-c4ad18ec0956.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,5
文水县博物馆Wenshuixian Museum,http://travel.qunar.com/p-oi34272151-wenshuixianbowuguan,"

地址:
文水县西大街18号

",文水县博物馆位于山西省吕梁文水县，有陶器、瓷器、石器、铜器、铁器等藏品。,全年 9:00-17:00,,5.0,建议游览时间：2小时,,,,6
吕梁北武当古兵器博物馆Lvliang Beiwu Dang Gubingqi Museum,http://travel.qunar.com/p-oi34271548-lu:liangbeiwudanggubing,"

地址:
吕梁北武当文武学校  (离石区崔家崖）


电话:
18103469990,18003511173

",,全年 周二-周日 9:00-17:00,,5.0,,,免费,,6
华国锋陵园Hua Guofeng’s Cemetery,http://travel.qunar.com/p-oi23343579-huaguofenglingyuan,,陵园位于山西省交城县城西北卦山，当地人亲切地称为“华陵”。顺南望去，整个交城县城一览无余。,,,5.0,建议游览时间：1小时 - 2小时,,具体收费情况以现场公示为主,,8
关帝山Guandi Mountain,http://travel.qunar.com/p-oi23343188-guandishan,,在山西省吕梁山中段地跨交城、方山两县之间，有一个蕴藏着丰富动植物资源的天然宝库，这就是距太原市150公里的关帝山（又称宫帝山、南阳山、三层崖）国家森林公园。该公园设在庞泉沟国家级自然保护区内，1992年9月经林业部批准建立，面积78万亩。,,,5.0,,,具体收费情况以现场公示为主,,8
柏窳山Baiyao Mountain,http://travel.qunar.com/p-oi20952395-boyushan,"

地址:
县城东五公里处

",,全年 8:30-18:00,https://flight-feed.qunarzz.com/as3/376/image/poi_vishnu/5bf8689d-5c9f-4084-981d-124a49ae6afa.jpg,5.0,建议游览时间：12小时 - 3天,,具体收费情况以现场公示为主,,10
