名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
安庆寺,http://travel.qunar.com/p-oi39773269-anqingsi,,,,,5.0,,,,,2
九龙亭,http://travel.qunar.com/p-oi39718746-jiulongting,,,,,5.0,,,,,2
安阳宫,http://travel.qunar.com/p-oi39718526-anyanggong,,,,,5.0,,,,,2
淮阳太昊陵景区,http://travel.qunar.com/p-oi39596036-huaiyangtaihaolingjing,,,,,5.0,,,具体收费情况以景区现场公示为主,,2
周口市美术馆,http://travel.qunar.com/p-oi37190165-zhoukoushimeishuguan,,,,,5.0,,,具体收费情况以现场公示为主,,3
老子历史博物馆,http://travel.qunar.com/p-oi36140857-laozilishibowuguan,"

地址:
周口市鹿邑县紫气大道

",老子历史博物馆位于老子出生地太清宫和老子讲学地明道宫之间，它具有旅游观光、藏品展示、文物收藏、学术研究、文化交流、国学培训和文创产品开发等多种功能。占地面积20余亩，总建筑面积0.5万平方米，其中主馆0.17万平方米。博物馆拥有各类馆藏文物2多万件，展陈主要有历史上各个时期的老子圣像、《道德经》版本等部分构成。老子历史博物馆以传承和弘扬老子文化为己任，竭力为社会大众服务。是我国唯一一所民办老子文化专题博物馆。,夏季：8:00-18:00；冬季：8:30-17:00,,5.0,建议游览时间：2小时 - 3小时,,{'老子历史博物馆门票成人票\n\n': ['¥16起']},,4
"淮阳区主题森林公园-梅园Plum Garden, Huaiyang Theme Forest Park",http://travel.qunar.com/p-oi35831723-huaiyangquzhutisenlin,,梅园是以传承梅文化、集观光、休闲、养生、教育为一体的公益性公园，有六大特色梅园，分别是科普梅园、胜地梅园、诗意梅园、热闹梅园、生态梅园、健康梅园。,,,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,4
到商桥Daoshang Bridge,http://travel.qunar.com/p-oi35559884-daoshangqiao,,,,,5.0,,,具体收费情况以现场公示为主,,5
"项城千佛寺Qianfo Temple, Xiangcheng",http://travel.qunar.com/p-oi35386281-xiangchengqianfosi,,项城为数不多的寺庙，是一处道观寺庙，典型的中轴对称建筑形式。,,,5.0,建议游览时间：0.5小时 - 1小时,,具体收费情况以现场公示为主,,5
郑桥金城五号西瓜育苗基地,http://travel.qunar.com/p-oi35316782-zhengqiaojinchengwuhao,,,,,5.0,,,,,6
张阎楼Zhangyanlou Village,http://travel.qunar.com/p-oi35313648-zhangyanlou,,,,,5.0,,,具体收费情况以现场公示为主,,6
沈丘大闸公园Shenqiu Dazha Park,http://travel.qunar.com/p-oi35306155-shenqiudazhagongyuan,,沈丘大闸公园位于周口市沈丘县，有清澈的河水，茂盛的绿植，环境优美。,,,5.0,建议游览时间：2小时,,,,7
扶沟县博物馆Fugouxian Museum,http://travel.qunar.com/p-oi34273084-fugouxianbowuguan,"

地址:
河南省扶沟县城关镇书院街40号

",扶沟县博物馆以大程书院为依托，其建筑风格壮观，很具有清代建筑特色。同时馆内也提供了大量的实物资料，如银器，铜器，玉器，木器等。,全年 周二-周日 9:00-17:00,,5.0,建议游览时间：1小时 - 2小时,,免费,,8
郸城县中原民俗博物馆Danchengxian Zhongyuan Minsu Museum,http://travel.qunar.com/p-oi34272586-danchengxianzhongyuan,"

地址:
郸城县丁村乡大贺庄

",郸城县中原民俗博物馆位于大贺庄，占地40余亩，被授予“周口市青少年教育基地”。,全年 周二-周日 9:00-17:00,,5.0,建议游览时间：1小时 - 2小时,,免费,,9
黄泛区博物馆Huangfanqu Museum,http://travel.qunar.com/p-oi34271012-huangfanqubowuguan,"

地址:
河南省黄泛区农场场部建场路289号

",,全年 周二-周日 9:00-17:00,,5.0,,,免费,,9
豫东商业街YuDong ShangYe Jie,http://travel.qunar.com/p-oi24441612-yudongshangyejie,,,,,5.0,,,具体收费情况以现场公示为主,,10
