名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
和田胡杨林Hetian Populus Euphratica,http://travel.qunar.com/p-oi713128-hetianhuyanglin,"

地址:
新疆维吾尔自治区于田县塔里木河畔

",胡杨林公园位于新疆轮台县境内的塔里木河畔。这里生长着大量的原始胡杨林。秋季，一片片金黄色的胡杨陪伴着沙漠，自然景色美极了。主要以胡杨林为依托、沙漠公路穿其而过之优势，开发出面积500余公顷的旅游带。公园里胡杨林、沙滩、湖泊，惹来无数中外旅客前来玩赏。,全天,https://img1.qunarzz.com/travel/d5/1510/fb/ad4495b260966.jpg_480x360x95_78b65692.jpg,5.0,建议游览时间：3天,,免费,,1
普鲁火山Puluhuo Mountain,http://travel.qunar.com/p-oi705859-puluhuoshan,"

地址:
和田于田县普鲁村北8-12公里的克里雅河两岸


电话:
0903--2511335

",普鲁火山实为火山熔岩层，来自于南部的昆仑山，活动时间约143万年前。火山熔岩层分布于克里雅河中游两侧的高阶地上，火山熔岩分两层，下层厚7米，为火山集块岩和致密块状熔岩，覆盖在砂砾上，接触面有砾石层被烘烤痕迹；两层间夹12.3米厚的砾石层，上层熔岩厚20米，为集块岩、致密块状岩和气孔状岩石。上、下层熔岩，均形成于第四纪早更新世，属不同时期的两次火山喷发的玄武岩（粗安岩），玄武岩组成阶地陡崖，形似众多奇异造型的怪兽傲视远方，蔚为壮观。火山岩覆盖于河流6级阶地的砂砾石层上，其上覆盖风砂质黄土层。两次火山活动都在南部的昆仑山高山地带，且规模巨大，对研究青藏高原及昆仑山的形成及环境演化意义重大。普鲁火山目前仍处于原始的保存状态。,全天,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/93cdbb60594b3a37f66ba65e95820123.jpg_480x360x95_1ab8fcb5.jpg,5.0,建议游览时间：1小时,,免费,,2
沙漠公路（阿和公路）,http://travel.qunar.com/p-oi38016466-shamogonglu,"
",这条沙漠公路是由交通部门全额投资并沿河流(和田河)修建的我国一条纵穿塔克拉玛干沙漠的等级公路。北起天山南麓绿洲城市阿拉尔市南口镇（十二团），南到昆仑山北缘和田市玉龙喀什镇。其中沙漠地段长407.567公里，非沙漠地段长16.805公里。,全年 全天开放,,5.0,,,具体收费情况以现场公示为主,,4
于田县博物馆Yutianxian Museum,http://travel.qunar.com/p-oi34270037-yutianxianbowuguan,"

地址:
于田县建德路西北角

",于田县博物馆位于新疆维吾尔自治区，馆内藏品非常丰富，珍贵文物众多，这里还可以举办展览。,全年 周二-周日 9:00-17:00,,5.0,建议游览时间：1小时 - 2小时,,免费,,8
策勒县达玛沟佛教遗址博物馆Celeixian Damagou Fojiao Ruins Museum,http://travel.qunar.com/p-oi34269640-celexiandamagoufojiao,"

地址:
策勒县达玛沟乌喀力喀什村

",策勒县达玛沟佛教遗址博物馆位于策勒县，是一个综合性博物馆，收藏有珍贵文物一百余件。,全年 9:00-17:00,,5.0,建议游览时间：1小时 - 2小时,,免费,,8
和田国际步行街Hotan County GuoJi BuXingJie,http://travel.qunar.com/p-oi24440129-hetianguojibuxingjie,"

地址:
新疆维吾尔自治区和田市友谊路与国际步行街交叉口


电话:
+8613779291939

",和田国际步行街是和田比较热闹的一条商业街，整条街不是很大，但环境优美，有一些品牌店和美食，相当热闹。,全年 全天开放,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/3094b64790ca851adffa29d4943e4e8e.jpg_480x360x95_6c43f2d6.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,9
墨玉河Moyu River,http://travel.qunar.com/p-oi24410996-moyuhe,"

地址:
新疆维吾尔自治区墨玉县喀喇昆仑山

",,全年 全天开放,,5.0,,,具体收费情况以现场公示为主,,9
于田老街Yutianlao Street,http://travel.qunar.com/p-oi23343835-yutianlaojie,,于田老街偏安于县城的一角，依旧保持着那份质朴的传统。这里熙攘的街道、斑驳的墙面无不散发着浓郁厚重的民族历史气息。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/a6f0b925dded594352251b97e976c240.jpg_480x360x95_a84fcbdd.jpg,5.0,建议游览时间：2小时 - 3小时,,具体收费情况以现场公示为主,,9
阿瓦提地主庄园Awati Manor,http://travel.qunar.com/p-oi22764571-awatidizhuzhuangyuan,"

地址:
羌尕墩买里村

",,全年 8:00-18:00,,5.0,,,具体收费情况以现场公示为主,,10
策勤古杨Cele Ancient Field,http://travel.qunar.com/p-oi20925451-ceqinguyang,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/c9b06355d634fd345b61739a4d738656.jpg_480x360x95_52a181b1.jpg,5.0,建议游览时间：1小时,,具体收费情况以现场公示为主,,10
光明文化广场Guangming Cultural Square,http://travel.qunar.com/p-oi19977391-guangmingwenhuaguangchang,,,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/8ff85a8c0cf27459bd089441b48e8120.jpg_480x360x95_741e962c.jpg,5.0,,,具体收费情况以现场公示为主,,10
昆仑广场Kunlun Square,http://travel.qunar.com/p-oi19975454-kunlunguangchang,,,,,5.0,,,具体收费情况以现场公示为主,,10
