名字,链接,地址,介绍,开放时间,图片链接,评分,建议游玩时间,建议季节,门票,小贴士,Page
民权国家森林公园,http://travel.qunar.com/p-oi38961074-minquanguojiasenlingong,,,,,5.0,,,,,4
商丘市虎跃动物王国,http://travel.qunar.com/p-oi38667066-shangqiushihuyuedongwu,,"园区介绍：
商丘市虎跃动物王国，占地47万平方米，预算投资10亿元人民币，从2021年1月正式动工，现已初具规模，建成后将是集大型动物园、大型野生动物救助基地、大型科普研学基地、大型游乐娱乐基地，大型动物演艺基地、大型动物影视基地等功能于一体的综合性动物园。
本园致力于打造国内具有体验感的动物主题乐园，以沉浸式的动物主题体验和互动为特色的动物园。
2022年春节游园会介绍：
本届游园会是本园的启动预热活动，规模宏大。目前已经进入各种食草食肉动物几十余种，同时引入进驻中国马戏之乡宿州埇桥的大型马戏团常年表演，为游园观众带来特别的视觉盛宴！30多个动物萌宠展区，人与动物近距离接触，360度全方位欣赏各种表演。3套精彩演出每天3轮9场表演,演出节目高潮翻涌，精彩不断！三个大型表演大厅可同时容纳3000多人观看演艺节目，每天可满足两万人进园游玩，整个节日周期进园人次可达20万人，可谓规模空前!    回馈父老乡亲，报答邻里百姓，园区规定适龄的老人孩子都有免费票，到任何售票网点都能随意领取。假日春节，带上父母，领着孩子，高高兴兴来动物园开开眼界，让你开开心心游园会，和和暖暖过大年！
",,,5.0,,,,,4
文庙,http://travel.qunar.com/p-oi36410756-wenmiao,"

地址:
商丘市永城市芒山镇王引河东侧

",文庙景区位于芒砀群山西部。春秋末年，孔子携弟子周游列国途经芒砀山，曾在此避雨晒书、演礼讲学而得名，景区内有孔子避雨处、文庙、观音阁。,全年 08:00-18:00,,5.0,建议游览时间：1小时 - 2小时,,15元,,5
中共中央中原局扩大会秘书处旧址,http://travel.qunar.com/p-oi36398636-zhonggongzhongyangzhong,,1949年元月31日至2月8日，陈毅、李先、张际春、宋任穷、李达、杜润生和7个纵队的首长及豫皖苏中央分局、南、豫西、桐柏、江汉、鄂豫皖等区负责人参加会议。,,,5.0,建议游览时间：0.5小时 - 1小时,,,,5
僖山景区,http://travel.qunar.com/p-oi36219153-xishanjingqu,"

地址:
商丘市永城市芒山镇僖山村


电话:
0370-5971666

",芒砀山地质公园僖山景区，占地14.5公顷，是集旅游、人文、娱乐于一体的地质公园，园区内设置蹦极、游船、沙滩谷等水上娱乐设施。僖山景区的建设，对打造芒砀山汉文化旅游景区品牌，提高永城知名度具有重要意义。[1]僖山是芒砀山群中东部的一座东西走向的小石山，其北面为鱼山，西北为磨山，西南与保安山相望。此山相传西周宋国第八代君主宋僖公葬于此而得名，出土珍贵文物金缕玉衣。,全年 08:00-18:00,,5.0,建议游览时间：3天,,"{'僖山景区门票成人票\n\n': ['¥30起'], '僖山景区门票优待票\n\n': ['¥15起'], '汉梁王陵门票+僖山景区门票成人票\n\n': ['¥85起']}",,5
宁陵县博物馆Ninglingxian Museum,http://travel.qunar.com/p-oi34274093-ninglingxianbowuguan,"

地址:
宁陵县张弓南路72号

",,全年 周二-周日 8:30-17:00,,5.0,,,免费,,8
睢阳区博物馆Suiyangqu Museum,http://travel.qunar.com/p-oi34272301-suiyangqubowuguan,"

地址:
商丘市睢阳区古城内大隅首街

",,全年 8:00-17:30,,5.0,建议游览时间：2小时 - 3小时,,免费,,8
柘城县博物馆Zhechengxian Museum,http://travel.qunar.com/p-oi34271897-zhechengxianbowuguan,,柘城县博物馆内藏品丰富，珍贵文物较多，经常举办展览。,,,5.0,建议游览时间：0.5小时 - 1小时,,收费,,8
睢县博物馆Suixian Museum,http://travel.qunar.com/p-oi34270192-suixianbowuguan,"

地址:
睢县北湖景区湖心岛

",睢县博物馆内共有三个展览部分，分别是历史概况、文物精品和大型石刻，主要的展品有瓷器、玉器和青铜造像等。,全年 周二-周日 8:30-18:00,,5.0,建议游览时间：1小时 - 2小时,,免费,,9
芒砀山汉墓群Han Dynasty Tombs in Mangdang Mountain,http://travel.qunar.com/p-oi27338897-mangdangshanhanmuqun,,芒砀山汉墓群是汉朝梁国刘武及其家族的墓葬群。共包括13座墓葬宛如庞大的地下宫殿，结构复杂、气势恢宏。为汉文化的研究提供了珍贵的资料。,,https://tr-osdcp.qunarzz.com/tr-osd-tr-manager/img/5e71eec0ae2b8f86771fd3773d394062.jpg_480x360x95_d53b18c1.jpg,5.0,建议游览时间：2小时,,,,9
查牙山Chaya Mountain,http://travel.qunar.com/p-oi26639021-chayashan,,,,,5.0,,,具体收费情况以现场公示为主,,9
金大福名吃一条街JinDaFu MingChi YiTiao Jie,http://travel.qunar.com/p-oi24441547-jindafumingchiyitiaojie,,,,,5.0,,,,,10
庄子故里Zhuangzi Hometown,http://travel.qunar.com/p-oi24412892-zhuangziguli,"

地址:
河南省民权县顺和乡青莲寺村


电话:
0370-8701022

",庄子故里位于民权县，景区内有一口老井，深数丈，光泽似黑玉，泉清而味甘，曾为庄子生活汲水处，保存至今，当地人称之为庄子井；另外，庄子故里的附近有庄周墓，现存墓冢高2米，非常珍贵。,全年 8:00-18:00,https://flight-feed.qunarzz.com/as3/376/image/poi_vishnu/b89a857f-b04f-4b07-a4d3-a6bc6f980e72.jpg,5.0,建议游览时间：3小时,,,,10
